Clone_ID,JEM_Founder_Pheno,Founder_CD57 (y/n),Plate_Well,Phenotype,Founder_CD57 (y/n) JaM,JakMic_Founder pheno,JakMic_Founder_Pheno_simple
1,EFF,n,P1_A03,R7+RA+62L+127-KLRG1+57-,n,INT,INT
2,INT,n,P1_A05,R7+RA+62L+127+KLRG1+57-,n,MEM,MEM
3,EFF,y,P1_A12,R7-RA+62L+127+KLRG1+57-,n,INT (R7-127+62L+),INT
4,INT,n,P1_D09,R7+RA+62L+127+KLRG1-57-,n,MEM,MEM
5a,EFF,y,P1_D12,R7-RA-62L+127+KLRG1-57+,y,EFF 57+,EFF
5b,MEM,n,P1_C11,R7+RA+62L+127+KLRG1+57-,n,MEM,MEM
7,INT,n,P1_F10,R7+RA+62L+127+KLRG1+57-,n,MEM,MEM
8,EFF,y,P1_H01,R7-RA+62Llow127-KLRG1-57+,y,EFF 57+,EFF
9,MEM,n,P1_H10,R7+RA+62L+127+KLRG1+57-,n,MEM,MEM
10,INT,n,P1_A08,R7+RA+62L+127-KLRG1+57-,n,INT (R7+127-),INT
11,MEM,n,P1_B10,R7+RA+62L+127+KLRG1+57-,n,MEM,MEM
13,MEM,n,P1_F02,R7+RA+62L+127+KLRG1+57-,n,MEM,MEM
14,EFF,y,P1_F04,R7-RA+62L-127-KLRG1-57+,y,EFF 57+,EFF
15,EFF,n,P2_A04,R7-RA-62L-127-KLRG1+57-,n,EFF,EFF
16,EFF,n,P2_B11,R7-RA+62L-127-KLRG1-57+,y,EFF 57+,EFF
17,EFF,n,P2_D12,R7-RA-62L+127-KLRG1+57-,n,EFF,EFF
18,MEM,n,P2_F01,R7+RA-62L+127+KLRG1+57-,n,MEM,MEM
19,INT,n,P2_G01,R7+RA+62L+127-KLRG1+57-,n,INT (R7+127-),INT
20,MEM,n,P2_G09,R7+RA+62L+127+KLRG1+57-,n,MEM,MEM
21,MEM,n,P2_H01,R7+RA+62L+127+KLRG1-57-,n,MEM,MEM
22,MEM,n,P2_H04,R7+RA+62L+127+KLRG1-57-,n,MEM,MEM
23,MEM,n,P2_H05,R7+RA+62L+127+KLRG1+57-,n,MEM,MEM
24,MEM,n,P2_A05,R7+RA+62L+127+KLRG1+57-,n,MEM,MEM
