,celltype
GZMH,True
NKG7,True
FGFBP2,True
GZMB,True
GPR56,True
GNLY,True
SPON2,True
FCGR3A,True
S1PR5,True
FLNA-1,True
PRF1,True
FCRL6,True
ZNF683,True
EFHD2,True
CST7,True
AOAH,True
ITGAL,True
FGR,True
APMAP,True
CCL4,True
KLRD1,True
FAM211A-AS1,True
RPSA,True
LDLRAP1,True
DGKA,True
RPL4,True
RPLP0,True
LDHB,True
NOSIP,True
SELL,True
IL7R,True
CCR7,True
TCF7,True
GZMK,True
LTB,True
C1orf228,False
PAX8-AS1,False
FOS,False
EEF1A1P25,False
AMICA1,False
CD28,False
SATB1,False
RPLP0P6,False
RHOH,False
C1orf162,False
CAMK4,False
ALOX5AP,False
HOPX,False
NSG1,False
STOM,False
CD8B,False
KLRB1,False
RP11-23P13.6,False
ITM2A,False
BCR,False
DDX10,False
MT-ND5,False
MIR4435-1HG,False
CD5,False
TSPYL2-1,False
DFNB31,False
LGALS1,False
TTPAL,False
KLRG1,False
HLA-DRB1,False
ANXA2,False
CD99,False
TIGIT,False
GAS7,False
F2R,False
ITGAM,False
TADA3,False
ITGB1,False
CD63,False
CTSW,False
LY6E,False
IL2RB,False
TMSB4XP8,False
BZRAP1,False
CD300A,False
FCGR3B,False
