,gene_name
0,LRRC28
1,PLS3-1
2,REG4
3,AMICA1
4,AC010970.2
5,KLRC2
6,CXCR6
7,KLRC3
8,KLRD1
9,ANXA1
10,CD2
11,IL32
12,TIMD4
13,GPR15
14,CCL4L1
15,KLRB1
16,MALAT1
17,KLRC1
18,ALOX5AP
19,CCL3L1
20,MIR155HG
21,LAG3
22,SAMD3
23,LAIR2
24,PLEK
25,B2M
26,RP11-217O12.1
27,RP3-477M7.5
28,CD74
29,CCL4
30,CCL3L3
31,CCL5
32,FTL
33,LGALS3BP
34,PDGFA
35,IFITM1
36,CCL4L2
37,GIMAP4
38,DOCK5
39,CADM1
40,MT-TN
41,CSF1
42,SLAMF7
43,ACTB
44,CD40LG
45,RPL38P4
46,CCL3
47,HLA-DRB5
48,SELL
49,TMSB10P1
50,ID3
51,FAM49A
52,CCL20
53,CD200R1
54,RP11-465B22.3
55,MAF
56,IFNG
57,IL2RA
58,ASB2
59,STMN1
60,GNG8
61,SRGN
62,NKG7
63,S1PR1
64,SH3BGRL3
65,FCGR3A
66,CCL23
67,LTB
68,AC092580.4
69,EOMES
70,SRRT
71,TMSB10
72,EPAS1
73,CCR2
74,CLDND1
75,IFI44L
76,NPTN
77,AOAH
78,CD300A
79,RDH10
80,FTLP3
81,KLRG1
82,PDE7B
83,CD9
84,S100A4
85,GZMA
86,PER3
87,APOBEC3C
88,LRRN3
89,UBA52P5
90,COTL1
91,HLA-DMA
92,CD3G
93,LPAR6
94,RCBTB2
95,CD52
96,GIMAP7
97,SKIL
98,PFN1P1
99,MX1
100,CCDC50
101,GZMB
102,CRIM1
103,ID2
104,MT-CYB
105,MT-TE
106,C1orf21
107,HLA-DRB6
108,RGS1
109,HLA-DQB1
110,HLA-DPA1
111,LAT2
112,ISG20
113,XBP1
114,STEAP1
115,CXCR3
116,NDFIP2
117,IFITM2
118,SIRPG
119,NCR3
120,LTA
121,CD82
122,SGK1
123,STK17B
124,RP11-81H14.2
125,PFN1
126,NCR1
127,MT-TI
128,SIT1
129,MT-CO2
130,PATL2
131,MT-ND4L
132,CTSL
133,CTLA4
134,ITM2A
135,HLA-DRA
136,VAMP5
137,KIAA0101
138,XAF1
139,CAPG
140,CDKN1A
141,MT-TG
142,SPOCK1
143,C3orf14
144,HNRNPH1
145,IFITM3
146,ADAM19
147,ITGB1
148,SHC4
149,CMTM6
150,IL18RAP
151,CST7
152,NUCB2
153,CTNNB1
154,MT2A
155,FKBP11
156,HLA-DRB1
157,CTSC
158,ITGB1P1
159,ZBTB32
160,SLA
161,EWSR1
162,CLECL1
163,CD28
164,MT-TH
165,HLA-B
166,CLEC7A
167,GZMK
168,AKR1C3
169,HOXB2
170,PRDX2
171,SMCO4
172,MKI67
173,PAX8-AS1
174,LINC00861
175,SOCS2
176,TC2N
177,GOLIM4
178,CORO1A
179,GNPTAB
180,IFI6
181,CREM
182,MT-TF
183,ISG15
184,KIAA0319L
185,IDH2
186,USP18
187,CDKN2B
188,FAIM3
189,PHLDA1
190,SOX4
191,MPZL2
192,LY6E
193,CLIC3
194,CTSW
195,ZWINT
196,SUPT3H
197,LYAR
198,WSB2
199,RNF19A
200,MT-ND4
201,TPI1P1
202,DESI1
203,MT-TC
204,ANXA2P2
205,HLA-G
206,RP11-291B21.2
207,RP11-673C5.1
208,HSH2D
209,RUNX2
210,MT-RNR2
211,CD27
212,BIN1
213,MT-ND5
214,BST2
215,CTSH
216,PMCH
217,NAMPT
218,RRM2
219,HMGN2P8
220,LGALS1
221,IFI27L2
222,EMP3
223,KIAA1217
224,LCK
225,CD7
226,TNFSF8
227,ACTG1
228,NEAT1
229,MAP3K6
230,RPS19
231,MCM4
232,ITGA4
233,CD38
234,RPL6
235,FUT8
236,DPYSL2
237,CEACAM1
