,Donor,Timepoint,clone_id,DonorDay,HLA Type,TRA,cloneCount_A,nSeqCDR3_A,allVHitsWithScoreA,allJHitsWithScoreA,TRA2,cloneCount_A2,nSeqCDR3_A2,allVHitsWithScoreA2,allJHitsWithScoreA2,TRB,cloneCount_B,nSeqCDR3_B,allVHitsWithScoreB,allDHitsWithScoreB,allJHitsWithScoreB,TRD,cloneCount_D,nSeqCDR3_D,TRG,cloneCount_G,nSeqCDR3_G,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,n_counts,n_genes,is_clone0
P20407_A30_D14_p5_M14,,,B317,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3134,8.050384453067021,16633.98,9.719263,131.8527,4.889241,0.7926708,16633.98,3134,0
P20407_A30_D14_p5_P14,,,B278,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3049,8.022896869601457,16370.248,9.703282,124.25534,4.830354,0.75903153,16370.248,3049,0
P20407_A30_D14_p5_B14,,,B501,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2911,7.976595409316577,15719.757,9.662737,131.54234,4.8869023,0.8367963,15719.757,2911,0
P20407_A30_D14_p5_E14,,,B0,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2582,7.8567067930958405,14524.177,9.583639,113.80375,4.743224,0.78354704,14524.177,2582,1
P20407_A30_D14_p5_I14,,,B277,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2853,7.956476798036782,15595.924,9.654829,144.56166,4.9806,0.92691946,15595.924,2853,0
P20407_A30_D14_p5_C14,,,B352,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2790,7.934155233536322,15356.438,9.639356,127.511604,4.856019,0.8303462,15356.438,2790,0
P20407_A30_D14_p5_H14,,,B517,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3234,8.081784206935001,16835.365,9.731297,133.74539,4.903387,0.7944312,16835.365,3234,0
P20407_A30_D14_p5_O14,,,B842,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3910,8.271548374755515,19562.762,9.881434,172.92088,5.1586003,0.8839288,19562.762,3910,0
P20407_A30_D14_p5_A14,,,B964,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3099,8.039157390473237,16440.086,9.707539,122.02205,4.8123636,0.74222267,16440.086,3099,0
P20407_A30_D14_p5_J14,,,B245,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3099,8.039157390473237,16528.723,9.712915,118.25313,4.7812486,0.7154402,16528.723,3099,0
P20407_A30_D14_p5_N14,,,B901,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2933,7.984121958702927,15257.996,9.632924,140.62401,4.9531755,0.9216414,15257.996,2933,0
P20407_A30_D14_p5_K14,,,B496,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3145,8.053887083618223,16533.785,9.713222,110.533325,4.7143235,0.66853005,16533.785,3145,0
P20407_A30_D14_p5_L14,,,B424,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3134,8.050384453067021,16688.818,9.722554,120.07031,4.7963715,0.7194656,16688.818,3134,0
P20407_A30_D14_p5_D14,,,B682,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3675,8.209580483475577,18707.89,9.836754,142.6839,4.9676156,0.7626937,18707.89,3675,0
P20407_A30_D14_p5_F14,,,B460,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3177,8.064007347096661,16904.016,9.735366,121.29116,4.8064046,0.7175287,16904.016,3177,0
P20407_A30_D14_p3_F21,,,B1000,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3246,8.085486772102845,17115.379,9.747791,148.43532,5.0068636,0.86726284,17115.379,3246,0
