,Donor,Timepoint,clone_id,DonorDay,HLA Type,TRA,cloneCount_A,nSeqCDR3_A,allVHitsWithScoreA,allJHitsWithScoreA,TRA2,cloneCount_A2,nSeqCDR3_A2,allVHitsWithScoreA2,allJHitsWithScoreA2,TRB,cloneCount_B,nSeqCDR3_B,allVHitsWithScoreB,allDHitsWithScoreB,allJHitsWithScoreB,TRD,cloneCount_D,nSeqCDR3_D,TRG,cloneCount_G,nSeqCDR3_G,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,n_counts,n_genes,is_clone0
P20407_JH_D15_p1_N20,,,C353,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,5806,8.66681936537205,26923.863,10.200806,147.25734,4.9989495,0.54693985,26923.863,5806,0
P20407_JH_D15_p1_O20,,,C26,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3474,8.153349757998892,18635.533,9.832879,129.78358,4.8735437,0.6964308,18635.533,3474,0
P20407_JH_D15_p1_H20,,,C42,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,4194,8.341648618901306,21431.453,9.972662,157.95505,5.0686216,0.7370244,21431.453,4194,0
P20407_JH_D15_p2_E20,,,C567,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,2168,7.682021510826875,13091.54,9.479798,116.99172,4.7706146,0.8936437,13091.54,2168,0
P20407_JH_D15_p1_D20,,,C413,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3809,8.245384468120747,19879.564,9.897498,126.507774,4.8481774,0.63637096,19879.564,3809,0
P20407_JH_D15_p1_C20,,,C42,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,5513,8.615045591583742,26270.537,10.176241,143.25305,4.971569,0.5452993,26270.537,5513,0
P20407_JH_D15_p1_E20,,,C212,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3834,8.251924713801357,20158.764,9.911444,126.83583,4.8507466,0.6291846,20158.764,3834,0
P20407_JH_D15_p1_L20,,,C128,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,2533,7.837554360881084,14514.596,9.582979,158.781,5.0738044,1.0939403,14514.596,2533,0
P20407_JH_D15_p1_B20,,,C218,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3787,8.239593454305968,19950.22,9.901046,125.80476,4.8426485,0.63059336,19950.22,3787,0
P20407_JH_D15_p1_K20,,,C338,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3162,8.059276223305648,17146.75,9.749622,149.18246,5.011851,0.87003344,17146.75,3162,0
P20407_JH_D15_p1_I20,,,C135,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3723,8.222553638396958,19582.455,9.882441,135.06456,4.9131293,0.6897223,19582.455,3723,0
P20407_JH_D15_p1_J20,,,C35,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3278,8.095293776844649,17776.078,9.7856655,148.22705,5.005469,0.8338569,17776.078,3278,0
P20407_JH_D15_p1_P20,,,C26,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3282,8.096512917501594,17962.37,9.79609,113.933556,4.7443542,0.6342902,17962.37,3282,0
P20407_JH_D15_p1_M20,,,C62,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3859,8.258422462458876,20076.994,9.90738,134.97081,4.9124403,0.672266,20076.994,3859,0
P20407_JH_D15_p1_G20,,,C498,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,6239,8.738735461363474,28104.297,10.243713,146.43425,4.9933825,0.52103865,28104.297,6239,0
P20407_JH_D15_p3_F22,,,C407,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,4340,8.375860015299594,21796.27,9.98954,142.57329,4.9668455,0.6541179,21796.27,4340,0
P20407_JH_D15_p3_I22,,,C19,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3043,8.020927718981577,17091.42,9.74639,126.905685,4.851293,0.7425111,17091.42,3043,0
P20407_JH_D15_p3_A22,,,C530,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3301,8.102283624480073,18102.812,9.803878,132.68843,4.895512,0.7329714,18102.812,3301,0
P20407_JH_D15_p3_G22,,,C62,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,5595,8.629807335785372,25815.367,10.158764,134.7901,4.9111104,0.52213126,25815.367,5595,0
P20407_JH_D15_p3_H22,,,C99,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3194,8.069342366811636,17594.73,9.775412,146.3409,4.9927487,0.83173144,17594.73,3194,0
P20407_JH_D15_p3_E22,,,C156,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3195,8.069655306886165,17651.428,9.778628,126.246864,4.846129,0.7152218,17651.428,3195,0
P20407_JH_D15_p3_C22,,,C165,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3319,8.107720061910534,18016.385,9.799092,145.16568,4.9847407,0.80574256,18016.385,3319,0
P20407_JH_D15_p3_D22,,,C160,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3773,8.235890725928495,19697.709,9.888309,128.56395,4.8641744,0.6526848,19697.709,3773,0
P20407_JH_D15_p3_J22,,,C183,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3841,8.253748343328501,20064.578,9.906761,142.77272,4.9682336,0.71156603,20064.578,3841,0
P20407_JH_D15_p3_M22,,,C156,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,5516,8.61558951327243,26046.3,10.167669,140.5572,4.952704,0.53964365,26046.3,5516,0
P20407_JH_D15_p3_K22,,,C583,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,2363,7.768110378525988,14060.378,9.5511875,126.18412,4.845636,0.89744467,14060.378,2363,0
P20407_JH_D15_p3_L22,,,C42,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3550,8.174984532943087,18920.732,9.848066,141.94435,4.9624553,0.7502054,18920.732,3550,0
