,Donor,Timepoint,clone_id,DonorDay,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,n_counts,n_genes,is_clone0
P20407_YFV2003_D15_p6_F11,YFV2003,15,D184,YFV2003_D15,4897,8.496582237512113,22545.455,10.023334,139.7393,4.9469094,0.6198114,22545.455,4897,0
P20407_YFV2003_D15_p6_H11,YFV2003,15,D994,YFV2003_D15,3293,8.099857910737585,17071.645,9.745233,127.94151,4.859359,0.7494387,17071.645,3293,0
P20407_YFV2003_D15_p6_E11,YFV2003,15,D555,YFV2003_D15,3955,8.282988692742602,19401.451,9.873155,133.41862,4.900959,0.6876734,19401.451,3955,0
P20407_YFV2003_D15_p6_D11,YFV2003,15,D678,YFV2003_D15,5446,8.602820277383675,24346.188,10.100172,138.41028,4.9374213,0.56850904,24346.188,5446,0
P20407_YFV2003_D15_p6_A11,YFV2003,15,D59,YFV2003_D15,3150,8.055475141757274,16392.254,9.704625,122.852036,4.8190875,0.74945176,16392.254,3150,0
P20407_YFV2003_D15_p6_K11,YFV2003,15,D50,YFV2003_D15,2641,7.879291485082271,14392.996,9.574567,126.87838,4.8510795,0.88152856,14392.996,2641,0
P20407_YFV2003_D15_p6_M11,YFV2003,15,D1147,YFV2003_D15,3571,8.18088094199639,17911.193,9.793237,149.44879,5.0136228,0.8343877,17911.193,3571,0
P20407_YFV2003_D15_p6_C11,YFV2003,15,D272,YFV2003_D15,2549,7.843848638152472,13869.481,9.5375185,127.96243,4.859521,0.9226187,13869.481,2549,0
P20407_YFV2003_D15_p6_L11,YFV2003,15,D522,YFV2003_D15,3249,8.086410275323782,16352.878,9.70222,146.09383,4.9910707,0.893383,16352.878,3249,0
P20407_YFV2003_D15_p6_J11,YFV2003,15,D140,YFV2003_D15,3329,8.110727582974489,17150.723,9.749854,133.89003,4.90446,0.780667,17150.723,3329,0
P20407_YFV2003_D15_p6_N11,YFV2003,15,D1780,YFV2003_D15,3785,8.239065331769268,18725.4,9.837689,147.07689,4.9977317,0.78544056,18725.4,3785,0
P20407_YFV2003_D15_p6_B11,YFV2003,15,D435,YFV2003_D15,2894,7.970740390007095,15602.348,9.655241,139.54503,4.945528,0.89438486,15602.348,2894,0
P20407_YFV2003_D15_p6_I11,YFV2003,15,D153,YFV2003_D15,2820,7.944846711001996,14952.752,9.612718,115.52896,4.7581396,0.77262676,14952.752,2820,0
P20407_YFV2003_D15_p6_G11,YFV2003,15,D698,YFV2003_D15,3112,8.043342170441608,16347.594,9.701898,123.63739,4.8254085,0.7563033,16347.594,3112,0
P20407_YFV2003_D15_p6_O3,YFV2003,15,D74,YFV2003_D15,3527,8.168486417126681,17770.91,9.785375,141.42819,4.958838,0.79584104,17770.91,3527,0
P20407_YFV2003_D15_p6_P3,YFV2003,15,D1223,YFV2003_D15,3722,8.222285073872717,18638.691,9.833049,124.02848,4.8285418,0.66543555,18638.691,3722,0
P20407_YFV2003_D15_p6_H3,YFV2003,15,D698,YFV2003_D15,3396,8.130647968160584,17388.99,9.76365,133.06496,4.8983245,0.76522535,17388.99,3396,0
P20407_YFV2003_D15_p6_E3,YFV2003,15,D1549,YFV2003_D15,2689,7.897296472595885,14588.517,9.588058,130.6583,4.88021,0.8956242,14588.517,2689,0
P20407_YFV2003_D15_p6_D3,YFV2003,15,D0,YFV2003_D15,1958,7.580189417944541,11668.572,9.36474,149.7182,5.015412,1.2830893,11668.572,1958,1
P20407_YFV2003_D15_p6_A3,YFV2003,15,D1450,YFV2003_D15,3229,8.080237416216702,17011.518,9.741705,122.78592,4.8185534,0.7217811,17011.518,3229,0
P20407_YFV2003_D15_p6_K3,YFV2003,15,D142,YFV2003_D15,2822,7.945555428253489,15246.487,9.63217,120.12314,4.796808,0.7878742,15246.487,2822,0
P20407_YFV2003_D15_p6_M3,YFV2003,15,D261,YFV2003_D15,2778,7.929846429742503,15196.019,9.628855,133.36559,4.900564,0.87763506,15196.019,2778,0
P20407_YFV2003_D15_p6_C3,YFV2003,15,D845,YFV2003_D15,2784,7.932003152361385,14977.277,9.614356,129.99814,4.875183,0.8679691,14977.277,2784,0
P20407_YFV2003_D15_p6_L3,YFV2003,15,D257,YFV2003_D15,5137,8.544419177669829,23099.47,10.047608,125.24543,4.8382277,0.54220045,23099.47,5137,0
P20407_YFV2003_D15_p6_J3,YFV2003,15,D677,YFV2003_D15,4371,8.382975849296429,20867.807,9.946011,127.88668,4.8589334,0.61284196,20867.807,4371,0
P20407_YFV2003_D15_p6_N3,YFV2003,15,D548,YFV2003_D15,2606,7.865955413933502,14637.028,9.591378,126.95048,4.851643,0.8673241,14637.028,2606,0
P20407_YFV2003_D15_p6_B3,YFV2003,15,D451,YFV2003_D15,2871,7.962763930168115,15517.737,9.649803,140.42587,4.9517756,0.90493786,15517.737,2871,0
P20407_YFV2003_D15_p6_I3,YFV2003,15,D825,YFV2003_D15,2303,7.742402021815782,12757.166,9.453927,147.27591,4.999075,1.1544563,12757.166,2303,0
P20407_YFV2003_D15_p6_G3,YFV2003,15,D521,YFV2003_D15,2757,7.922261058353247,14854.908,9.606153,128.6617,4.8649287,0.8661224,14854.908,2757,0
P20407_YFV2003_D15_p7_M5,YFV2003,15,D65,YFV2003_D15,2038,7.620214770574455,11910.985,9.385301,124.81555,4.834817,1.0479028,11910.985,2038,0
P20407_YFV2003_D15_p7_K5,YFV2003,15,D410,YFV2003_D15,2740,7.916078096302786,15019.924,9.6172,115.88013,4.761149,0.7715094,15019.924,2740,0
P20407_YFV2003_D15_p5_P5,YFV2003,15,D201,YFV2003_D15,4725,8.460834457746854,22347.213,10.014502,142.88538,4.969017,0.6393879,22347.213,4725,0
P20407_YFV2003_D15_p5_G5,YFV2003,15,D998,YFV2003_D15,3603,8.189799618728228,18152.531,9.806621,143.8966,4.9760203,0.7927083,18152.531,3603,0
P20407_YFV2003_D15_p5_B5,YFV2003,15,D877,YFV2003_D15,4767,8.469682208745185,22338.01,10.01409,133.17252,4.8991265,0.59617,22338.01,4767,0
P20407_YFV2003_D15_p7_P5,YFV2003,15,D1323,YFV2003_D15,6406,8.765146421639022,26846.236,10.197918,130.52072,4.879164,0.48617885,26846.236,6406,0
P20407_YFV2003_D15_p7_A5,YFV2003,15,D28,YFV2003_D15,2889,7.969011781106478,15624.278,9.656645,122.01596,4.812314,0.78093827,15624.278,2889,0
P20407_YFV2003_D15_p5_E5,YFV2003,15,D599,YFV2003_D15,3495,8.159374736775426,17936.281,9.794637,144.21921,4.9782443,0.80406415,17936.281,3495,0
P20407_YFV2003_D15_p5_I5,YFV2003,15,D1310,YFV2003_D15,4412,8.392310009269547,21055.45,9.954962,135.60838,4.9171185,0.64405364,21055.45,4412,0
P20407_YFV2003_D15_p7_H5,YFV2003,15,D1123,YFV2003_D15,3304,8.103191752285786,16914.768,9.736001,134.41664,4.908356,0.79467034,16914.768,3304,0
P20407_YFV2003_D15_p7_N5,YFV2003,15,D279,YFV2003_D15,3068,8.029107054619736,16385.918,9.704239,106.59182,4.6783447,0.6505087,16385.918,3068,0
P20407_YFV2003_D15_p5_C5,YFV2003,15,D403,YFV2003_D15,2563,7.849323818040561,14159.348,9.558201,134.29468,4.907455,0.9484524,14159.348,2563,0
P20407_YFV2003_D15_p7_D5,YFV2003,15,D298,YFV2003_D15,2947,7.988882253309227,15558.181,9.652406,121.9608,4.811866,0.7839014,15558.181,2947,0
P20407_YFV2003_D15_p5_H5,YFV2003,15,D364,YFV2003_D15,2943,7.987524479848767,15887.214,9.673333,141.96262,4.962583,0.8935652,15887.214,2943,0
P20407_YFV2003_D15_p7_B5,YFV2003,15,D1188,YFV2003_D15,2983,8.001019961323651,15908.901,9.674697,119.69451,4.7932625,0.7523745,15908.901,2983,0
P20407_YFV2003_D15_p5_O5,YFV2003,15,D301,YFV2003_D15,4079,8.313852267398207,19592.975,9.8829775,128.40843,4.8629737,0.65538,19592.975,4079,0
P20407_YFV2003_D15_p7_C5,YFV2003,15,D122,YFV2003_D15,3258,8.089175678837561,17183.963,9.75179,121.12145,4.805016,0.7048517,17183.963,3258,0
P20407_YFV2003_D15_p7_F5,YFV2003,15,D570,YFV2003_D15,2838,7.951207156472972,15215.6455,9.630145,134.70204,4.9104614,0.8852864,15215.6455,2838,0
P20407_YFV2003_D15_p5_A5,YFV2003,15,D768,YFV2003_D15,4346,8.377241230988792,21003.441,9.952489,146.8708,4.996339,0.6992702,21003.441,4346,0
P20407_YFV2003_D15_p7_O5,YFV2003,15,D553,YFV2003_D15,4575,8.428580533059634,21754.586,9.987626,113.53905,4.740916,0.5219086,21754.586,4575,0
P20407_YFV2003_D15_p5_J5,YFV2003,15,D1394,YFV2003_D15,3226,8.079308192051961,17066.383,9.744925,136.61267,4.924443,0.80047816,17066.383,3226,0
P20407_YFV2003_D15_p5_N5,YFV2003,15,D1525,YFV2003_D15,2883,7.96693349840484,15402.476,9.642348,125.146576,4.8374443,0.8125095,15402.476,2883,0
P20407_YFV2003_D15_p7_L5,YFV2003,15,D0,YFV2003_D15,2321,7.7501841622578365,13279.837,9.494078,147.76364,5.002359,1.1126916,13279.837,2321,1
P20407_YFV2003_D15_p5_K5,YFV2003,15,D332,YFV2003_D15,3806,8.244596756382498,18897.62,9.846844,133.92915,4.90475,0.7087091,18897.62,3806,0
P20407_YFV2003_D15_p5_L5,YFV2003,15,D425,YFV2003_D15,2339,7.757906208351747,12748.355,9.453236,117.96259,4.778809,0.9253162,12748.355,2339,0
P20407_YFV2003_D15_p7_I5,YFV2003,15,D378,YFV2003_D15,3149,8.055157731819678,16505.71,9.711522,124.80325,4.834719,0.75612164,16505.71,3149,0
P20407_YFV2003_D15_p7_J5,YFV2003,15,D310,YFV2003_D15,3156,8.057377488557991,16409.496,9.705676,126.43034,4.84757,0.7704706,16409.496,3156,0
P20407_YFV2003_D15_p3_O14,YFV2003,15,D1231,YFV2003_D15,4062,8.309676895987726,19714.004,9.889135,128.25151,4.86176,0.65056044,19714.004,4062,0
P20407_YFV2003_D15_p3_E14,YFV2003,15,D1211,YFV2003_D15,3288,8.098338846189057,16793.96,9.728834,138.51964,4.9382052,0.82481813,16793.96,3288,0
P20407_YFV2003_D15_p3_L14,YFV2003,15,D10,YFV2003_D15,2421,7.792348924113037,13527.508,9.512554,133.02017,4.89799,0.98333097,13527.508,2421,0
P20407_YFV2003_D15_p3_N14,YFV2003,15,D12,YFV2003_D15,2727,7.911324018963353,14771.25,9.600506,140.77275,4.9542255,0.95301855,14771.25,2727,0
P20407_YFV2003_D15_p3_C14,YFV2003,15,D0,YFV2003_D15,2310,7.745435610274381,13271.951,9.493484,154.96655,5.0496416,1.1676246,13271.951,2310,1
P20407_YFV2003_D15_p3_H14,YFV2003,15,D1487,YFV2003_D15,3963,8.285008895449879,19135.934,9.859375,146.42206,4.9932995,0.76516813,19135.934,3963,0
P20407_YFV2003_D15_p3_A14,YFV2003,15,D1183,YFV2003_D15,3002,8.00736706798333,15912.251,9.674908,118.10749,4.7800264,0.74224246,15912.251,3002,0
P20407_YFV2003_D15_p3_F14,YFV2003,15,D1232,YFV2003_D15,3288,8.098338846189057,17107.97,9.747358,138.8845,4.9408174,0.81181175,17107.97,3288,0
P20407_YFV2003_D15_p3_I14,YFV2003,15,D57,YFV2003_D15,3347,8.116118431609365,17616.98,9.776675,164.8191,5.1108975,0.9355696,17616.98,3347,0
P20407_YFV2003_D15_p3_G14,YFV2003,15,D371,YFV2003_D15,2662,7.887208585813932,14968.013,9.613737,137.42825,4.930352,0.9181463,14968.013,2662,0
P20407_YFV2003_D15_p3_K14,YFV2003,15,D485,YFV2003_D15,2821,7.945201132412759,15192.767,9.62864,125.745735,4.842183,0.8276684,15192.767,2821,0
P20407_YFV2003_D15_p3_M14,YFV2003,15,D306,YFV2003_D15,3149,8.055157731819678,16793.562,9.72881,123.00298,4.820306,0.7324413,16793.562,3149,0
P20407_YFV2003_D15_p3_P14,YFV2003,15,D0,YFV2003_D15,1495,7.310550158534422,9433.07,9.152082,141.9914,4.9627843,1.5052512,9433.07,1495,1
P20407_YFV2003_D15_p3_B14,YFV2003,15,D1344,YFV2003_D15,4373,8.383433201236713,20927.39,9.948862,133.07913,4.8984303,0.63590884,20927.39,4373,0
P20407_YFV2003_D15_p3_D14,YFV2003,15,D637,YFV2003_D15,4163,8.33423142973486,19824.86,9.894742,148.13663,5.004863,0.74722666,19824.86,4163,0
P20407_YFV2003_D15_p3_J14,YFV2003,15,D0,YFV2003_D15,2052,7.627057417018934,11971.603,9.390376,199.14456,5.29904,1.6634746,11971.603,2052,1
P20407_YFV2003_D15_p8_O20,YFV2003,15,D1574,YFV2003_D15,3033,8.017637159908478,16102.302,9.68678,144.26567,4.9785643,0.89593196,16102.302,3033,0
P20407_YFV2003_D15_p4_I20,YFV2003,15,D774,YFV2003_D15,2883,7.96693349840484,15470.927,9.646783,133.3131,4.9001737,0.86170083,15470.927,2883,0
P20407_YFV2003_D15_p8_E20,YFV2003,15,D49,YFV2003_D15,2230,7.7102051944325325,12235.25,9.412158,115.60697,4.758809,0.9448681,12235.25,2230,0
P20407_YFV2003_D15_p4_C20,YFV2003,15,D0,YFV2003_D15,2687,7.89655270164304,14941.246,9.611948,129.46455,4.8711014,0.86649096,14941.246,2687,1
P20407_YFV2003_D15_p8_L20,YFV2003,15,D774,YFV2003_D15,2576,7.854381210652365,14185.37,9.560037,119.76041,4.7938085,0.84425294,14185.37,2576,0
P20407_YFV2003_D15_p8_C20,YFV2003,15,D701,YFV2003_D15,3415,8.13622555490846,17386.56,9.763511,134.27348,4.9072986,0.7722832,17386.56,3415,0
P20407_YFV2003_D15_p8_H20,YFV2003,15,D1142,YFV2003_D15,4461,8.403352374992478,21302.004,9.966603,144.85304,4.9825997,0.67999727,21302.004,4461,0
P20407_YFV2003_D15_p4_P20,YFV2003,15,D0,YFV2003_D15,2819,7.944492163932159,15401.063,9.642257,127.38699,4.855049,0.82713115,15401.063,2819,1
P20407_YFV2003_D15_p4_L20,YFV2003,15,D582,YFV2003_D15,3084,8.034306936339489,16163.016,9.690543,128.69888,4.8652153,0.79625535,16163.016,3084,0
P20407_YFV2003_D15_p8_A20,YFV2003,15,D651,YFV2003_D15,2760,7.923348211930154,15139.5205,9.62513,127.489426,4.8558464,0.84209687,15139.5205,2760,0
P20407_YFV2003_D15_p4_M20,YFV2003,15,D86,YFV2003_D15,5619,8.634086942887738,24877.977,10.1217785,132.69478,4.8955593,0.5333825,24877.977,5619,0
P20407_YFV2003_D15_p4_J20,YFV2003,15,D201,YFV2003_D15,3728,8.22389538017882,18631.527,9.8326645,130.44124,4.87856,0.7001103,18631.527,3728,0
P20407_YFV2003_D15_p4_N20,YFV2003,15,D281,YFV2003_D15,4924,8.502079553606189,23060.195,10.045907,127.28232,4.8542333,0.5519568,23060.195,4924,0
P20407_YFV2003_D15_p4_F20,YFV2003,15,D985,YFV2003_D15,6147,8.723882104658486,26144.1,10.171417,136.8618,4.926252,0.52349025,26144.1,6147,0
P20407_YFV2003_D15_p4_E20,YFV2003,15,D1248,YFV2003_D15,2175,7.685243607975833,12812.824,9.45828,135.28386,4.91474,1.0558473,12812.824,2175,0
P20407_YFV2003_D15_p4_B20,YFV2003,15,D103,YFV2003_D15,2798,7.937017489515454,14762.699,9.599927,123.47657,4.8241177,0.83640915,14762.699,2798,0
P20407_YFV2003_D15_p8_F20,YFV2003,15,D277,YFV2003_D15,5073,8.531884740159228,23078.232,10.046688,121.045654,4.804395,0.5245014,23078.232,5073,0
P20407_YFV2003_D15_p4_A20,YFV2003,15,D354,YFV2003_D15,2985,8.001689978099135,15862.123,9.671752,120.445076,4.7994623,0.7593251,15862.123,2985,0
P20407_YFV2003_D15_p4_O20,YFV2003,15,D255,YFV2003_D15,3043,8.020927718981577,16062.655,9.684315,121.22461,4.8058605,0.75469846,16062.655,3043,0
P20407_YFV2003_D15_p8_I20,YFV2003,15,D1818,YFV2003_D15,3550,8.174984532943087,18471.879,9.824059,137.94894,4.9341063,0.7468052,18471.879,3550,0
P20407_YFV2003_D15_p4_H20,YFV2003,15,D106,YFV2003_D15,5397,8.59378379357795,24127.523,10.09115,155.72711,5.0545063,0.6454335,24127.523,5397,0
