,Condition,Cell_Number,Clone_ID,Day,In_Vivo_Clone_ID,Project_ID,Donor_ID,Method,Vb,D,Jb,TCR Beta,Nuc_Seq_TRB,Va,Ja,TCR Alpha,Nuc_Seq_TRA,Va2,Ja2,TCR Alpha2,Nuc_Seq_TRA_2,Notes,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,n_counts
P1902_1001,In_Vivo,1.0,92,136.0,,P1902,,,,,,,,,,,,,,,,,1321,7.186901020411631,6893.74,8.838514,169.3698,5.1379714,2.4568636,6893.74
P1902_1002,In_Vivo,1.0,93,136.0,,P1902,,,,,,,,,,,,,,,,,1552,7.347943823148687,8020.537,8.989885,165.38968,5.1143327,2.0620773,8020.537
P1902_1003,In_Vivo,1.0,94,136.0,,P1902,,,,,,,,,,,,,,,,,1682,7.428333194190806,8795.356,9.082093,170.00983,5.1417212,1.9329498,8795.356
P1902_1004,In_Vivo,1.0,410,136.0,,P1902,,,,,,,,,,,,,,,,,1317,7.183870715062453,7563.135,8.931173,125.521164,4.8404098,1.6596447,7563.135
P1902_1005,In_Vivo,1.0,95,136.0,,P1902,,,,,,,,,,,,,,,,,1484,7.3031700512368,7641.9014,8.941532,168.74458,5.134295,2.2081492,7641.9014
P1902_1007,In_Vivo,1.0,95,136.0,,P1902,,,,,,,,,,,,,,,,,1754,7.470224135899966,8659.517,9.066529,173.60304,5.162515,2.004766,8659.517
P1902_1008,In_Vivo,1.0,0,136.0,,P1902,,,,,,,,,,,,,,,,,1582,7.367077059881012,7966.9985,8.983189,163.3381,5.101926,2.0501838,7966.9985
P1902_1009,In_Vivo,1.0,149,136.0,,P1902,,,,,,,,,,,,,,,,,1573,7.3613754289773485,8183.9326,9.01005,191.49733,5.2600822,2.3399181,8183.9326
P1902_1010,In_Vivo,1.0,361,136.0,,P1902,,,,,,,,,,,,,,,,,1828,7.511524648390866,9332.846,9.141402,178.49709,5.190159,1.9125687,9332.846
P1902_1011,In_Vivo,1.0,95,136.0,,P1902,,,,,,,,,,,,,,,,,1446,7.277247726631484,7626.4565,8.939509,165.94812,5.117683,2.1759531,7626.4565
P1902_1012,In_Vivo,1.0,97,136.0,,P1902,,,,,,,,,,,,,,,,,1648,7.407924322559599,8548.294,9.053604,184.22618,5.2215776,2.1551223,8548.294
P1902_1013,In_Vivo,1.0,95,136.0,,P1902,,,,,,,,,,,,,,,,,1623,7.392647520721623,8410.36,9.037338,168.49576,5.1328278,2.0034308,8410.36
