gene_name,F_pval
WASH7P,0.00011907338043774693
MTND2P28,0.02142008537332915
hsa-mir-6723,0.04314996025244566
MTATP6P1,8.537575946037385e-08
NOC2L,0.3779565264370788
ISG15,1.411325510614828e-09
RP11-465B22.3,7.958882913440753e-20
TNFRSF18,8.736329548529898e-07
TNFRSF4,0.17453529075667756
SDF4,0.20360308115893141
UBE2J2,0.8351154076974248
CPSF3L,0.1465482051235795
AURKAIP1,0.0216705460314738
CCNL2,0.43778845817474654
MRPL20,0.3765559993674168
SSU72,0.04527613628924048
CDK11B,0.9365543872341273
CDK11A,0.14567353622944137
NADK,0.5731441875115211
GNB1,0.0699495773912127
C1orf86,0.13072602123438692
SKI,0.6354878483588349
RER1,0.15464382829027484
PANK4,0.5830992488829115
TNFRSF14,0.46016057172815705
WRAP73,0.18121902392283085
LRRC47,0.001861317178557658
C1orf174,0.1604433144085566
KCNAB2,0.0032950538786298595
RPL22,0.11163161744547372
ICMT,0.009758043866637688
ACOT7,0.02906594098187992
TNFRSF25,0.21834388420928824
NOL9,0.051167501007830594
THAP3,0.30942688266465973
CAMTA1,0.20853515908312795
VAMP3,0.68590604159675
PER3,3.392412402560383e-15
TNFRSF9,0.0006309165876564677
PARK7,0.0002029832817833862
ENO1,0.027916122856781703
RP3-477M7.5,4.182420270875021e-26
CA6,0.005853929758643963
H6PD,0.8743718934649953
PIK3CD,0.04227858844375464
CLSTN1,0.8243738772135891
CTNNBIP1,0.1345203818526493
LZIC,0.0015616568192676312
UBE4B,0.053251120868405194
PGD,4.3530055991379676e-05
DFFA,0.6981387142939273
TARDBP,0.006150838035317896
RP4-635E18.8,0.981966657921049
SRM,0.5041336696147439
EXOSC10,0.46454547860492845
MTOR,0.04758551620047997
UBIAD1,0.00810697706698753
FBXO44,0.02539672735557298
FBXO6,0.05719364755371249
MAD2L2,0.07544230347347602
AGTRAP,0.01071215750213595
KIAA2013,0.08823189002238575
MIIP,0.0007385482151724724
TNFRSF1B,0.05207701214611611
PRDM2,0.9658403516749862
EFHD2,0.0003260087968216288
CASP9,0.11641406439507185
DNAJC16,0.3146298792863488
DDI2,0.20376321463029828
PLEKHM2,0.6537042123270442
RP11-169K16.7,0.08649867118657646
RP11-169K16.8,0.2588217292991505
RP11-169K16.9,0.1866651478040677
SPEN,0.5123107456768918
ZBTB17,0.05551400818589353
FBXO42,0.7647689371564723
SZRD1,0.0316135033048593
NECAP2,0.05619145349582596
CROCCP2,0.004893480497970254
EIF1AXP1,0.25255080064722646
SDHB,0.012260584835807466
RCC2,0.6030604090522476
UBR4,0.35501146204998446
EMC1,0.12138967783100676
MRTO4,0.03858651463517244
AKR7A2,0.33976120790802355
CAPZB,0.00019773937263490402
MINOS1,9.441952563205895e-06
NBL1,0.32733628282284954
UBXN10-AS1,0.16464785509441082
MUL1,0.6240674680358519
DDOST,0.11371495651594918
HP1BP3,0.36338552395981155
EIF4G3,0.7710994389744419
USP48,0.1852544182434386
LINC00339,0.19479183031525923
CDC42,0.021642213117581934
ZBTB40,0.5179176914821999
LUZP1,0.81358583941213
HNRNPR,0.0013017054002637954
ID3,6.7641270161834895e-21
RPL11,0.0010092846682426336
TCEB3,0.18244441152841515
PITHD1,0.4344875925945327
LYPLA2,0.511683911518197
GALE,0.13485031088506247
HMGCL,0.8431814890619413
PNRC2,0.25017174648638474
SRSF10,0.03458828494875734
NIPAL3,0.2248556838453209
RCAN3,0.4827320159617805
SRRM1,0.029492953211579805
RUNX3,0.017770763416608902
SYF2,0.8166534585082037
C1orf63,0.11005749465033887
TMEM50A,0.16762930221068428
MTFR1L,0.1874675256158168
STMN1,3.884957096464427e-19
PAFAH2,0.056691188256737975
PDIK1L,0.5815466352442815
CEP85,0.0006227926675184082
SH3BGRL3,1.5565301098254711e-18
UBXN11,3.1500826858638714e-06
CD52,4.142590455637949e-14
DHDDS,0.6328089668807207
HMGN2,5.31088406897391e-06
RPS6KA1,0.16256334066516515
ARID1A,0.29915162585554916
GPN2,0.42073672694646247
NUDC,0.4635695088206254
TMEM222,0.7305343262167099
SYTL1,0.8739717713911143
MAP3K6,4.5847435496244684e-08
WASF2,0.34219067457199787
RP1-159A19.3,1.5714967080446162e-05
IFI6,9.99814043506544e-10
FAM76A,0.14907960948706428
STX12,0.27621828504627477
PPP1R8,0.19487258843705746
THEMIS2,0.3138048750984392
RPA2,0.016896531551204817
EYA3,0.5502791447334094
SPCS2P4,0.08520613868700794
DNAJC8,0.5018319162840263
ATPIF1,0.0036624797944531085
PHACTR4,0.008512868647411293
SNHG3,0.46417326733267494
TRNAU1AP,0.4874239909602187
SNHG12,0.6960319642230306
SNORD99,0.39499920747441764
TAF12,0.22597122497681082
GMEB1,0.26082669266899994
YTHDF2,0.989268955313787
EPB41,0.5936478218934342
RP4-604A21.1,1.3797586662209458e-05
SRSF4,0.520230769557094
LAPTM5,0.03943664919104894
PUM1,0.571059796958322
SNRNP40,0.00037551894385615044
ZCCHC17,0.5230553523427774
PEF1,0.19978144351866728
PTP4A2,1.6456100232856233e-06
KHDRBS1,0.0590613082637964
KPNA6,0.41157980961475504
TXLNA,0.0007964756042876657
CCDC28B,2.0933529262476973e-06
TMEM234,0.15261635074202165
EIF3I,0.1782637675059182
LCK,4.004262230096774e-08
HDAC1,0.0025917178036330875
BSDC1,0.2500438255583149
ZBTB8OS,0.08358697497643253
RBBP4,0.0353720331060305
YARS,0.00689133419086174
S100PBP,0.6423629790506454
RNF19B,0.17888702720253735
AK2,0.054411069898374256
SMIM12,0.023400948424555992
ZMYM6,0.04746176348135081
SFPQ,0.9615845242058518
ZMYM4,0.03355805222499092
KIAA0319L,1.6565879766006316e-09
NCDN,1.2726935126531122e-05
RP4-728D4.2,0.14166631337758107
PSMB2,0.004246243338397118
CLSPN,1.0378462161052902e-05
AGO4,0.02376122768818462
AGO1,0.6030451730504263
AGO3,0.05295892178154041
ADPRHL2,0.1409972568470514
TRAPPC3,0.02837070169332191
MAP7D1,0.3509848853212956
THRAP3,0.0772401196085863
EVA1B,0.05400835122364439
LSM10,0.266623048407353
MRPS15,0.00032467551727260086
MEAF6,0.7463987398945136
SNIP1,0.009854203462717303
GNL2,0.6415095372851218
CDCA8,0.04185156065185638
C1orf122,0.12989350306961464
INPP5B,0.12043748605612756
SF3A3,0.15210858197522137
UTP11L,0.8365830996181288
RRAGC,0.6952182010258002
MYCBP,0.12229103495613008
AKIRIN1,0.03559044256610723
NDUFS5,0.21556726642472068
MACF1,0.00013856169692640934
PABPC4,0.2377458031826594
PPIE,0.3457239088028872
CAP1,0.0001328664330908817
PPT1,0.00144239445524377
ZMPSTE24,0.3803216903610017
SMAP2,0.37528591387381066
EXO5,0.42909278848068944
NFYC,0.33933749786506
CTPS1,0.04801129589303168
HIVEP3,0.4479732230401513
FOXJ3,0.5648446344321127
PPCS,0.4872652461824799
TMSB4XP1,3.550384219179799e-05
PPIH,0.011600804424872005
YBX1,0.04271861437947817
LEPRE1,0.07521405885481046
C1orf50,0.9973028454865209
CCDC23,0.009280443944138513
ZNF691,0.6596352933388874
SLC2A1,0.21123989925400732
EBNA1BP2,0.39641304130528005
ELOVL1,0.49316166366720016
MED8,0.226538689722918
SZT2,0.3833176606538525
ATP6V0B,0.0004874663647572105
DMAP1,0.39707383794146717
ERI3,0.3996373914169077
RNF220,0.42688397737866846
KIF2C,0.0008278567755885426
RPS8,0.0010458525904464514
PLK3,0.13764680759704007
EIF2B3,0.10301560142427361
UROD,0.16770766191335598
MUTYH,0.522471245523196
TOE1,0.5272334935323768
PRDX1,0.028717573057709694
AKR1A1,0.10450392178849398
NASP,0.12569016629787425
GPBP1L1,0.23926888195140586
TMEM69,0.12676817655892803
POMGNT1,0.5910216834092643
UQCRH,0.039745308929366424
NSUN4,0.608193939707921
MKNK1,0.07899617891110937
MOB3C,0.6267472695188875
EFCAB14,0.1564100287342943
CMPK1,0.04275180069374126
FAF1,0.9482322263391822
CDKN2C,0.003340479644301902
RNF11,0.27980341376448326
EPS15,0.10618250716299299
OSBPL9,0.8537874823540534
NRD1,0.0007813345357426701
TXNDC12,0.7465334984252543
KTI12,0.06168315958880906
BTF3L4,0.14190031276562898
PRPF38A,0.12322206280056784
ZCCHC11,0.9374174742782485
GPX7,0.006493767693779769
RP11-159C21.4,0.0545423669161307
ECHDC2,0.6591918880084581
SCP2,0.03278791605799013
CPT2,0.5849026319511816
C1orf123,0.2948123323541812
LRP8,0.000662528304510016
YIPF1,0.4963400597866132
HSPB11,0.3189198130114034
TMEM59,0.08436929731797196
TCEANC2,0.5439821963229421
MRPL37,0.018221188171670073
SSBP3,2.2236993868561975e-05
USP24,0.07352043305794083
RPS26P15,0.8653740064229944
OMA1,0.8558169400003595
MYSM1,0.5928485361104137
TM2D1,0.3084480283240725
USP1,0.0022048580936415304
ALG6,0.7227619616628513
ITGB3BP,0.6026091491975278
PGM1,0.1727127929692821
JAK1,0.013298421344724837
LEPROT,0.0008612511472683893
PDE4B,0.2846482015851062
MIER1,0.0558547850807631
