gene_name,pval
MTND2P28,0.5003085704983651
hsa-mir-6723,0.02121836417844248
MTATP6P1,9.61546821701676e-05
RP11-206L10.9,0.7042431657756139
LINC01128,0.6671577095416992
NOC2L,0.29313479527502595
ISG15,2.753478837866512e-06
RP11-465B22.3,0.00044930995815139433
TNFRSF18,0.023826402390931607
TNFRSF4,0.6868290157536505
SDF4,0.09141906374672783
UBE2J2,0.0027841074484184674
PUSL1,0.6022904137379104
CPSF3L,0.6459799718538968
AURKAIP1,0.3180066328934769
CCNL2,0.6109852338710108
RP4-758J18.2,0.17791452739877847
MRPL20,0.9008858177744271
SSU72,0.6876804416187594
CDK11B,0.6210765634232805
SLC35E2B,0.12046614937525667
CDK11A,0.9134897373502487
SLC35E2,0.21482177662462376
NADK,0.7107768948753604
GNB1,0.3948777933515649
PRKCZ,0.6623295700312648
C1orf86,0.28970955456739816
RER1,0.6481632791058726
PANK4,0.7656477235961853
RP3-395M20.8,0.030431313737084343
TNFRSF14,0.008492764721476427
FAM213B,0.7965366176243728
TPRG1L,0.49514683375564916
WRAP73,0.79885242262017
LRRC47,0.04210975149204042
CEP104,0.6216249925064947
C1orf174,0.0005684924485214337
KCNAB2,0.6982933237995375
RPL22,0.005026246944869645
RNF207,0.7758473507976219
ICMT,0.3195237023401509
ACOT7,0.08610784376306971
TNFRSF25,0.4148502335501481
NOL9,0.9283045536026373
ZBTB48,0.6808082888131106
KLHL21,0.7487664437241413
THAP3,0.0422959633737046
DNAJC11,0.4682678566827685
CAMTA1,0.7386945051006624
VAMP3,0.2837770344810444
PER3,0.5954738448437052
TNFRSF9,0.02376623442533589
PARK7,0.13515048818791014
RERE,0.7778481176588813
RP5-1115A15.1,0.6169871794216
ENO1,0.06255924828478394
CA6,0.44146456899059144
RP3-510D11.1,0.3735923816799237
RP3-510D11.2,0.4698848999872132
PIK3CD,0.6740312835872924
RP11-558F24.4,0.4407262197200227
CLSTN1,0.36199862838098146
LZIC,0.11896747938368367
RP11-84A14.4,0.11717705120728877
NMNAT1,0.2474105193946481
UBE4B,0.6853428488971989
KIF1B,0.5715700035111808
PGD,0.05777926544949699
APITD1,0.772873812544611
DFFA,0.26973346100394385
PEX14,0.12619463580510673
TARDBP,0.021595037385171628
RP4-635E18.8,0.5333106264424564
SRM,0.7880222433053936
EXOSC10,0.07447137092312581
RP4-635E18.6,0.7270530895887695
MTOR,0.5106368105935544
UBIAD1,0.3891662400000014
FBXO2,0.40439517019714255
FBXO44,0.29882026357853764
FBXO6,0.5996467276555939
MAD2L2,0.07806162548250041
DRAXIN,0.0015864219579768207
AGTRAP,0.018564577402703737
CLCN6,0.41105257022660113
PLOD1,0.6628723744102719
MFN2,0.7978360364879065
MIIP,0.15741745401127086
TNFRSF1B,0.15082217364941813
VPS13D,0.5004785829437239
DHRS3,0.001543690068809937
PRDM2,0.7131152092732571
EFHD2,0.7670311053666591
CASP9,0.7142656148605933
DNAJC16,0.8671406132009175
AGMAT,0.5970716220133107
DDI2,0.8143535813947839
PLEKHM2,0.51143179557399
RP11-169K16.7,0.9275015880775709
RP11-169K16.9,0.9641959173022575
SPEN,0.015772186682908796
ZBTB17,0.5259886276572915
C1orf134,0.6028450714823902
FBXO42,0.1499611885632022
SZRD1,0.21841058447178519
NECAP2,0.5848818949342272
NBPF1,0.8058145714957585
CROCCP2,0.5398343885023249
EIF1AXP1,0.7871059322861413
ATP13A2,0.28397940396416793
SDHB,0.04978220147588925
RCC2,0.8805255425521321
UBR4,0.725770299952578
EMC1,0.27012836520996564
MRTO4,0.32053424575226447
AKR7A2,0.1475900519522699
PQLC2,0.07231209703145322
CAPZB,1.5805293980007847e-05
MINOS1,0.22569555453407614
NBL1,0.4909639343267719
TMCO4,0.4162226096655131
OTUD3,0.3491904113380162
UBXN10-AS1,0.025505937587495024
MUL1,0.18630015666646088
DDOST,0.03559216741064648
HP1BP3,0.5664752652375477
EIF4G3,0.12835606048911793
RPS15AP6,0.7921529849770954
ECE1,0.7325844379912159
NBPF3,0.42282560165152505
USP48,0.05823027616904355
LINC00339,0.31149801623583445
CDC42,0.035589505994477307
ZBTB40,0.988674035055822
KDM1A,0.17142248611680577
LUZP1,0.13000190857440622
HNRNPR,0.014992073759081192
ID3,0.020602940206864085
RPL11,0.6444461708619154
TCEB3,0.006274261499639147
RP5-886K2.3,0.07470198530400564
PITHD1,0.3774336059235373
LYPLA2,0.8593618647640484
GALE,0.2885530281924084
HMGCL,0.11260948487105048
FUCA1,0.8853339626738234
PNRC2,0.11216072731234548
SRSF10,0.35849006749162
IFNLR1,0.5495485755705085
NIPAL3,0.0658931499350561
RCAN3,0.06287291614676184
SRRM1,0.43763247027742097
RUNX3,0.08450471814269586
SYF2,0.03055493410818667
C1orf63,0.1523471313998368
TMEM50A,0.9805673556597022
TMEM57,0.46701219070376665
MTFR1L,0.6491207174025955
STMN1,0.04376606833639566
PAFAH2,0.7838404448556694
PDIK1L,0.8363758971195882
CEP85,0.48719435135750944
SH3BGRL3,0.0015006999002060866
UBXN11,0.3256168167023787
CD52,3.584739679126406e-06
DHDDS,0.21348445928332105
HMGN2,0.040334690114725465
RPS6KA1,0.11573770429034747
ARID1A,0.4356863887955419
PIGV,0.04236104176093904
ZDHHC18,0.06663254371079748
GPN2,0.2594839331723922
GPATCH3,0.7741980759699585
NUDC,0.2471963864362851
SLC9A1,0.7770382671485049
TMEM222,0.15442004300521245
SYTL1,0.413729566525719
MAP3K6,0.04720022186826032
WASF2,0.5309863517874307
RP1-159A19.3,0.61524068212821
IFI6,2.7355704705754114e-08
FAM76A,0.10876088394958063
STX12,0.2656825341145873
PPP1R8,0.01336067488360873
THEMIS2,0.32767284646860756
RPA2,0.03686076861325351
EYA3,0.036704389663620794
