gene_name,total variance,interclonal variance,intraclonal variance,ANOVA F,p
ABCE1,1425.1671,117.317318718764,1307.849814414978,3.845992089173478,0.00023681513028397193
PDIA6,2472.9558,201.92336798086762,2271.0323371887207,3.8121273133858824,0.00026219405669899147
YY1,1452.5638,118.3669972519856,1334.19682097435,3.8037753706178625,0.0002688559225483456
PBXIP1,2118.145,170.54558230005205,1947.5994930267334,3.754438151835339,0.0003117657059553632
TFDP1,757.49097,60.741336908060475,696.7495845642406,3.7377630035644125,0.00032774746876843735
UBR1,530.5398,41.668472575751366,488.87123779952526,3.654409634992592,0.00042060424697831544
PDCD6,2742.8677,212.53636115416884,2530.331284046173,3.601305703304384,0.0004928548668838752
SURF1,1361.4739,104.37621675804257,1257.0977466106415,3.5598904743619344,0.0005575865961152113
PBX4,666.2561,50.26904042332899,615.9870518874377,3.498913007255997,0.0006684300736442759
PRSS23,676.7765,51.012246414613216,625.7641763435677,3.495166626198358,0.0006759076077034964
TMEM141,1030.348,76.60392271447927,953.744052246213,3.443684056165856,0.0007874085383313235
POGZ,578.93274,42.63652856182307,536.2962117195129,3.408640825984883,0.0008734764173715583
CERK,1495.3577,107.43515210971236,1387.922536611557,3.318832301656829,0.0011385988402480825
FIS1,2411.2095,171.21201718598604,2239.997359752655,3.2771088791192717,0.0012873024160292288
HIF1AN,900.5978,62.62883270531893,837.9689713716507,3.2044279609126733,0.0015931920603469336
ATP6V1F,3081.504,213.69763629883528,2867.8064732551575,3.1948760286856936,0.0016383595825526672
IFT74,614.9857,42.60129911825061,572.3843791782856,3.191091102655807,0.0016566025322607685
MTAP,409.12476,27.88113150629215,381.24365788698196,3.1355367849467233,0.001948439085508597
C16orf87,944.4256,64.12453542742878,880.3010663986206,3.1231808768547427,0.002019896450734148
C19orf10,3147.0112,212.53313293307656,2934.478047609329,3.105273894255009,0.0021280341327580684
BIN3,1010.8919,68.0394539439585,942.8525397777557,3.0940061831247183,0.002198963334705725
RPAP2,499.26117,33.57667366489386,465.684483198449,3.0913632197808196,0.0022159328036224723
GIMAP6,1021.2708,68.59149241194245,952.6792883253656,3.0869362577741377,0.0022446443223535666
SF3B5,3075.248,204.6124534374103,2870.6357164382935,3.0560335088471837,0.0024554617007972682
UTP15,425.1149,28.14881497155875,396.9660868793726,3.0402608227647416,0.002570409577425269
INPP5F,605.67957,39.89229938492463,565.7872742307372,3.0230130899535252,0.0027021335353199453
MYSM1,533.70374,34.869610311463475,498.8341445326805,2.997057355615823,0.0029128874028463577
MED20,1384.6951,89.81837238743901,1294.876618862152,2.973999730951515,0.003113521090318312
LRRC8D,796.67505,51.596183663699776,745.0788249969482,2.969063541149742,0.003158194972403146
CTNNBL1,2098.3801,134.7061952643562,1963.6737768650055,2.9411851347222613,0.0034224978622574495
UPF3B,1108.7623,71.00112911313772,1037.7611051797867,2.9334048034093483,0.0035000342123912057
BAG6,724.4407,46.086833538953215,678.3537196516991,2.912894749065698,0.003712736103744474
RNASEH1,1246.2761,78.90472361794673,1167.3713270425797,2.897998217662297,0.0038750724310788577
ESD,991.8606,62.61520735166948,929.2452549934387,2.889040326842223,0.003976001732814237
EMG1,2456.6853,154.0792947486043,2302.6061782836914,2.8689881164439845,0.00421130559237219
ANTXR2,2124.4617,132.6539532621391,1991.8077578544617,2.855465455281048,0.004377589394309634
IER3IP1-1,1557.7458,96.61192432790995,1461.1337718963623,2.8349466251697497,0.004642177878456789
