gene_name,pval
MIR101-1,2.8133759003066998e-12
ULK2,1.1081914662091702e-09
RFC3,1.002777572227703e-06
RP11-96D1.5,1.7503880220858385e-06
ZNF180,3.3115068068631057e-06
ZNF331,9.214312275666299e-06
CENPJ,1.0421954191046188e-05
MIR3671,1.3889414557597238e-05
MLST8,1.9582636112348363e-05
DIS3L2,4.042585065040636e-05
RP11-425I13.3,6.967400457689306e-05
SUZ12P,9.056608054796904e-05
C1D,0.00013404449019501446
STIM2,0.00018668114305252616
TMEM204,0.000344632946806007
SDHAP3,0.0004204368756769757
XPO4,0.00042125181493910224
UTP3,0.0005693385900261226
ORMDL2,0.0006771360422128177
PLK3,0.0006860131971778522
AC138123.2,0.0007200566378490492
CKS2,0.0007246288708201045
NSL1,0.0007941411841702052
ARL13B,0.0008555416322088377
VMA21,0.0009052549965128207
C12orf66,0.0011082735156936001
MAP3K4,0.0011626034511398394
KIF22,0.001291561022822208
UBL7-AS1,0.0013618713553667293
ATP5I,0.0016294209163292518
AZI2,0.00166978444749711
RP11-544A12.4,0.0016925878729500976
TNKS2,0.0017392393313120451
GSPT1,0.0017400493240152272
AP5S1,0.0017776016292105213
RNASEH2A,0.001839536993501283
HIPK3,0.0018606784304570033
TAMM41,0.002021432455322311
RP11-410L14.2,0.002253964163718403
P4HB,0.002380120993926435
ALKBH5,0.002622676737994079
ASB1,0.0026696013491774692
HOOK3,0.0026892404758276037
TRMT5,0.002694655742250572
SPAST,0.002839108722114362
GGCX,0.002973409282626651
CAPN10,0.0031442420191371842
PRSS21,0.0032326304030028024
CCDC141,0.003275489558947915
CLPX,0.003303152923348339
ERCC5,0.0033377723090711998
NDUFAF7,0.0034252130132738554
LUC7L,0.003640976759032174
DBT,0.0038906825409510313
MRPL50,0.004079917922596393
RP13-297E16.4,0.004240367663710054
C4orf3,0.004419656400523786
CHCHD10,0.004501664755619897
GDPGP1,0.004753669755669459
COG6,0.0048443406467176525
MBOAT1,0.004854674162718638
UBXN7,0.005152632234233148
ZNF133,0.0054029111479445445
MFF,0.0055433264474840874
INTS5,0.0055882888151579406
IFIT2,0.005709504376480509
NMRAL1,0.005809067011423726
ZNF862,0.005974804135551995
ADAM17,0.006030590855174255
TMEM229B,0.006104371298894367
GTF2B,0.0061146364920584605
KIF1B,0.00626409512150959
SIDT1-AS1,0.006350524368244907
SPTAN1,0.006375758403159013
RNU12,0.0064546576443420016
MED23,0.00661380343142291
RGCC,0.006615058518657712
MYBL1,0.006667379227102588
SERINC1,0.006787396119317042
KLF10,0.006903366204263313
NADSYN1,0.007075017553476964
GDE1,0.007121902581970161
MXD4,0.0071713904737976345
MAT2A,0.007227029966906432
STAT5A,0.007558916065901555
ERP44,0.007601658545241999
ID2,0.007674183951534153
LUCAT1,0.0077112522922519475
SPAG9,0.007775431182658108
XRCC6BP1,0.007845846576155158
FIP1L1,0.007917965726406613
RP5-1115A15.1,0.007998179410951612
RP5-1028K7.2,0.00812322186439134
CDK16-1,0.008224817507636442
PTGES3P2,0.0083886915566734
LMO4,0.008392976896091428
CDKAL1,0.008507400316121816
PEBP1P3,0.008670496647971752
RN7SL2,0.00874592021726978
AMDHD2,0.008777584281536605
PDK1,0.008876369331127232
XPNPEP1,0.009037635302234363
MYH9,0.009144024087306945
AC025171.1,0.009223200791253864
IL10RA,0.00935510727415102
CSRP1,0.009378066637174085
VEZF1,0.009530953330516543
NCOA2,0.00959461830719025
C12orf49,0.009688563333982155
SGOL1,0.009690572151032993
TRIM56,0.00977869538149588
TRIAP1,0.009856133272255038
RTF1,0.010697837858584271
PSMF1,0.010726405809634357
SLC6A6,0.010793589088122169
ATP6V0E2,0.010806903216070578
NFKBIE,0.010872167061868636
LILRP2,0.010882644580269864
CRYGS,0.011067702646771769
DYRK4,0.01107430913091615
RPP25,0.011086039362378269
C12orf65,0.011288787089246282
TEX10,0.011297449671197337
CD97,0.011307399017959012
LYG2,0.01138946872867542
AP000254.8,0.011526525831647148
TMEM135,0.011581740668821942
TSEN34,0.011711677144655862
BAG5,0.011753315751289907
MEI1,0.011907011032965934
ILF3-AS1,0.011955425650984073
SETDB2,0.012002684531091186
RAP1A,0.012318875031401855
FAM120A,0.012358862538602857
DARS2,0.012447882736001298
ARL4D,0.012573966258655504
PSMA2-1,0.012820255218993737
MRPL1,0.013119444988557154
MARK3,0.013233301940511324
MGST2,0.013375417699081777
RP4-569M23.4,0.013525900046516805
PTPN22,0.013752816419523433
IGHV1-3,0.013821820161255025
ARHGAP10,0.013828691358792273
KPNA3,0.014009360087923113
ZNF580,0.014025079217494447
TMEM147,0.014202389248316231
RP11-89K10.1,0.014270797750178112
FOXJ2,0.014443312518530557
AC083799.1,0.014450065031477314
C7orf43,0.014594451734189705
SREK1IP1,0.01468830640928036
STX6,0.014734919103465794
ABAT,0.014812997342237283
CLPP,0.014995875563999379
ACADM,0.01504317518976432
ALOX5AP,0.015283588013782375
EIF2D,0.01531179881933325
C19orf35,0.015340568744868251
PSMD6-AS2,0.015497598206258555
AC004257.3,0.0155205064904518
SCYL1,0.015527385306488081
COPB1,0.01558453082634572
ATAT1,0.015838048939269662
RP13-582O9.5,0.016311193742983492
NSUN2,0.016496083542100203
CEP44,0.016556550945977428
HSPA4,0.016680120350517066
BRF2,0.016684691567316504
ERLIN1,0.016795310604026833
FH,0.016873147622876998
VPS72,0.01707257200919134
TNIK,0.017354799770865712
SERTAD3,0.01746585750191671
MKRN1,0.017486044722319943
CSNK1D,0.017622813916651416
C1orf54,0.018103259555491497
CTC-523E23.11,0.01819163536223751
B4GALT5,0.018368984708556944
HSD17B8,0.018371792728268478
BLOC1S1,0.018444397049518776
UBR4,0.018496005909219106
RNF145,0.018898927705311777
ELMOD2,0.01952471796702676
PRPF31,0.01955467039784387
AFG3L2,0.019579619002536186
NDUFA2,0.019591740529076133
SCAPER,0.019767755752522955
IFT52,0.019959076794780477
FAM131A,0.02008640455251913
ADAT1,0.02011875717814611
SMYD2,0.020126972882870717
RPGR,0.02012871471521338
RP11-337C18.8,0.020390994173414535
POLR2K,0.020739019687087544
PIGB,0.020847059152280994
GYS1,0.020967057803083937
NDE1,0.02127228585694631
OGDH,0.021321419452645946
RNU7-45P,0.021491636833564344
SNRPD2,0.02151569743240284
ALG10B,0.021756808950556896
MAEA,0.021860043873424804
AP001432.14,0.022073856829777114
CAMK1D,0.022165496818084905
SLC35A5,0.02219642006238281
GCLM,0.022209715159852563
HELQ,0.022325304941071957
KCTD10,0.022348710625525983
DEPDC1B,0.022375948899444453
NUDT1,0.022616348907953863
RP11-1094M14.11,0.022938719375688223
TANK,0.023031410239914007
RRP1,0.02345701437146228
SLC35C1,0.023483761473637538
SRSF11,0.02357924108667725
ZNF845,0.024165157333653972
IKZF2,0.024193266897858137
CMTM7,0.024265005947054014
PROK2,0.024379160085241863
MPZL2,0.02447862173211463
SLC27A3,0.02453456475313749
SEMA4A,0.02457899594300196
SLC41A3,0.024727391575161434
SIRT6,0.02506407789775766
YIPF1,0.0251481147633657
ZNF790,0.0251489281787418
PHYH,0.02535475414758356
METTL14,0.02540103825683239
KCTD7,0.025561269615649803
RGS10,0.025843565127518675
DPY30,0.025924237816476653
NUDT6,0.02621566283369602
PRKD2,0.026257487539956454
HOXB2,0.0263727272695361
HEATR2,0.026422315527895455
ROGDI,0.026637740982227202
MTHFD2L,0.02669870700764008
DNAJB12,0.027007820678314226
SLC16A1,0.02704468162003151
ZNF350,0.027187215420139205
HSP90AA1,0.027241257672610833
RP3-322G13.5,0.0272999326278791
RXRB,0.02759222435229102
WDR36,0.027654241169627333
ST6GAL1,0.027887115718603965
GPR183,0.027904476920173338
EIF5A,0.028048897685675145
PRNP,0.02816068381023463
MT-ATP8,0.028273352909929547
KLHL21,0.02840510495398346
TRIM39,0.028581236780304657
PIAS3,0.02867849699432545
PRPF18,0.028784985540827392
NPRL2,0.028916258363739043
KDELC2,0.029182305346730796
RBM25,0.02932217060153432
C1orf74,0.02940691870480829
INVS,0.029540879667533708
PRMT10,0.02983944240116867
MSN,0.030111660501019558
MTPAP,0.030117437039603207
RTN3,0.03020253513616821
