gene_name,total variance,interclonal variance,intraclonal variance,ANOVA F,p
LRRC28,3795.3354,2150.0641280412674,1645.2710050344467,56.02967487282699,8.880817186113218e-58
PLS3-1,1399.5194,765.1807247400284,634.338740559062,51.718618894874375,1.6675048889808167e-54
REG4,1592.97,853.9732651114464,738.9967542886734,49.545689516453194,8.464181129989064e-53
AMICA1,3789.3022,2007.6078813672066,1781.6941401571967,48.31142785597566,8.199558566813118e-52
AC010970.2,113.19789,53.244806200265884,59.95308857411146,38.07762235659321,4.236297919304417e-43
KLRC2,2903.4702,1353.309981316328,1550.1603764216416,37.43042741350224,1.6334675783299334e-42
CXCR6,3656.9214,1648.9499152898788,2007.971533715725,35.20902882882333,1.8189728296222642e-40
KLRC3,994.3357,446.2662671934813,548.0694562345743,34.91102448469831,3.456305146493828e-40
KLRD1,3032.746,1319.7071748375893,1713.038864850998,33.03045031969152,2.0974561401933088e-38
ANXA1,3694.811,1600.341854546219,2094.4692521095276,32.75992566831009,3.8162367109321743e-38
CD2,383.09158,163.83985386230052,219.25171348452568,32.039128099411265,1.8991443970497587e-37
IL32,110.80702,46.39456569775939,64.41243909299374,30.881721485808466,2.5762794293531983e-36
TIMD4,2454.483,1020.0391559880518,1434.4439723491669,30.488593250083465,6.30163212250546e-36
GPR15,2079.5078,861.1978939175606,1218.3099275231361,30.30744383474148,9.530398090276825e-36
CCL4L1,3718.016,1520.6217052936554,2197.3940827846527,29.669987793834807,4.117737611230144e-35
KLRB1,2694.5276,1057.0589177161455,1637.4689293205738,27.67771667941492,4.3175264797303405e-33
MALAT1,207.07918,80.15734138898551,126.92182560265064,27.07765977785448,1.7957607136339156e-32
KLRC1,2956.2627,1125.9509721323848,1830.3115396499634,26.37537210709404,9.660780003629536e-32
ALOX5AP,3461.5955,1286.5013774037361,2175.094078063965,25.359246348223053,1.1338658358019926e-30
CCL3L1,1605.8031,576.0751471817493,1029.7279333472252,23.986162883947816,3.336887380190478e-29
MIR155HG,2232.6177,797.2702353000641,1435.347721837461,23.815108226688732,5.107950659875088e-29
LAG3,2003.5653,694.665373764261,1308.8998948335648,22.754817245920776,7.31322157444546e-28
SAMD3,2027.8362,698.376217648387,1329.4599707126617,22.522588864126238,1.3168227664895875e-27
LAIR2,3156.7373,1077.9389723874629,2078.798323124647,22.232379604599707,2.7534054163474666e-27
PLEK,3151.9485,1075.5698369145393,2076.378660917282,22.20936750396896,2.9196227896989395e-27
B2M,43.278084,14.736778201418929,28.541298482567072,22.137723193349522,3.5045597430632816e-27
RP11-217O12.1,154.7895,51.68992047687061,103.09958179295063,21.49577429806179,1.8145332200303474e-26
RP3-477M7.5,1017.2701,336.2781654894352,680.9918938465416,21.17195002707117,4.1823949804956674e-26
CD74,1063.0503,346.4429272413254,716.6073032617569,20.72786648679488,1.322621082248642e-25
CCL4,1531.3993,494.91993371397257,1036.4792892932892,20.472856888877118,2.5701874183376393e-25
CCL3L3,2621.219,844.578202009201,1776.6406297683716,20.381888044441222,3.2594194868822685e-25
CCL5,163.0455,51.97052811551839,111.07499863952398,20.060647492639035,7.560305367248055e-25
FTL,146.19504,46.19965594448149,99.99538363516331,19.809016942689077,1.4652465811005942e-24
