gene_name,F_pval
KLRC1,1.422734078818092e-45
KLRB1,7.50231101563243e-45
REG4,4.729890247435027e-43
HPGD,2.4611129645893454e-38
CD9,7.669740448571372e-31
CAPG,5.6478124896881374e-30
KLRD1,1.2338139321058692e-28
COL5A2,1.6990214757014487e-27
PLS3-1,4.417378834221527e-27
RP3-477M7.5,2.146174023362518e-26
GNLY,1.5731491447897725e-25
ENTPD1,1.7016713533240573e-25
ALOX5AP,3.3990239537207328e-25
B2M,7.145475302982537e-25
FOXP3-1,3.622614297748661e-24
SELL,1.0849292638510197e-23
IGFBP3,1.2083029437188943e-23
CCR2,9.344844171558091e-23
GPR15,5.115556073988933e-22
RP11-493L12.5,9.859042076922764e-21
IFITM3,1.7015388496493518e-20
IFITM1,3.746361073488948e-20
IFITM2,3.8574916700393184e-20
PHLDA1,4.891646699619065e-20
CSF1,1.348767142008765e-19
AC010970.2,2.256921108691865e-19
RP11-217O12.1,5.125366079496434e-19
GZMA,1.8665060080485577e-18
HLA-DPA1,2.1938254095402774e-17
LAT2,2.424737572564582e-17
CTLA4,6.441534045218443e-17
GZMB,6.943293089106806e-17
AC017002.1,1.9658439608083507e-16
CD7,2.2586434448104173e-16
RPS19,3.663919448157277e-16
CD52,3.782980390732499e-16
KIR2DS4,4.825536892825688e-16
SPOCK2,7.790986384055666e-16
ITM2C,1.3092772583869894e-15
CD28,3.7422594879615916e-15
LAIR2,4.8674700303716886e-15
MT-CYB,5.815451001340516e-15
ITGAE,6.0639362901547e-15
GTSF1,7.649159861469459e-15
KIR2DL4,9.019408480683477e-15
MAL,1.0316116858813888e-14
HOXB2,1.4722720233967822e-14
EGFL6,2.1993867249538096e-14
HLA-DRB6,2.928499877778982e-14
KLRC2,2.935925084737454e-14
EPAS1,3.636998137842591e-14
PPP1R14B,3.803570693223734e-14
WIPF3,4.600624080340986e-14
AC092580.4,1.8921075854629109e-13
PMCH,5.252379098630139e-13
ASB2,5.467757024510185e-13
LAG3,8.655669531140997e-13
LILRB1,1.2873813018559052e-12
PPP1R14BP3,1.4878494982868145e-12
CD40LG,1.5135656184330552e-12
KIR2DL3,1.5498004518711419e-12
RCBTB2,1.721385181486601e-12
HLA-DRB5,2.8720924714624344e-12
PTMA,3.1477364793673954e-12
CLECL1,3.559919889684036e-12
SOX4,4.039923999973482e-12
MT-CO3,5.910685800481508e-12
SLAMF7,8.09523514219952e-12
SAMD3,9.03877467995139e-12
IDH2,9.706912431363929e-12
SNAP47,1.0206898297804179e-11
ITM2A,1.0758120284164615e-11
APOBEC3C,1.1203259251618214e-11
ANXA1,1.5262604331474712e-11
SRGN,2.3739676929355093e-11
HLA-DMA,2.9432961793097604e-11
CD70,4.464631796475342e-11
CMTM6,6.384070989596837e-11
RDH10,6.387654023863682e-11
GGTA1P,1.0339046419515323e-10
KLRC3,1.1616894335334079e-10
RP11-40C6.2,1.3296121613987438e-10
RPL23A,1.397116965893309e-10
MALAT1,1.7744896919094395e-10
ABLIM1,2.0621685039325385e-10
CYBA,2.3162660423770432e-10
RPL38P4,2.614684276607996e-10
LRRC28,3.049538608206919e-10
S100A4,3.249683495226821e-10
CCL23,3.513036109289394e-10
F2R,3.586768698525315e-10
ITGA1,3.5915680401913054e-10
TTC39C,4.433796334132772e-10
MT-TE,5.228758803883078e-10
SMCO4,5.45859676644465e-10
UBB,5.883810627783519e-10
IFNG,5.977125939063699e-10
MAF,6.243013387408695e-10
TBCD,6.694974908618388e-10
LDHA,8.716436622415534e-10
PTGIS,8.913764796661775e-10
TXK,1.1024836240424406e-09
CD96,1.308310414399843e-09
LPAR5,1.4577626568075425e-09
HLA-DRB1,1.6256748330518982e-09
MSC,1.6557835656514917e-09
HPGDS,1.6954214394159236e-09
TNFRSF18,2.2716468516465323e-09
ZBTB32,3.0711315025531153e-09
CTD-2328D6.1,3.370815213115431e-09
FTL,3.3849836724871746e-09
RPS26,3.5039623270313888e-09
CD27,3.683418259983425e-09
RGS16,4.256090908052927e-09
