gene_name,pval
KIR3DL2,8.463630499522172e-29
CENPN,3.2679098283164678e-21
GNLY,8.373332735960271e-17
FKBP1A,1.3004914440523293e-14
GZMK,2.3862314718056756e-14
KIR2DL4,3.677584780877513e-14
ABCB1,8.066386937755665e-14
CCL5,9.871880704011507e-14
HRH2,1.3539968660059694e-12
GZMA,1.5712270943503622e-12
TALDO1,3.803512146135202e-12
MT-TE,1.3309865299533827e-11
ALOX5AP,1.1909790954426265e-10
IL17RB,1.8866929540837862e-10
AC092580.4,2.1518062335619897e-10
CYB5B,2.838759202158844e-10
FEZ1,3.000226943525167e-10
TMSB4XP8,3.24141710342379e-10
EIF3G,6.876486708980008e-10
REG4,7.097543517852418e-10
GINS2,1.8415728573715916e-09
HPGDS,2.7712450920752487e-09
EGFL6,3.4359747830935396e-09
SNORD17,5.056885936294877e-09
XCL1,6.853091422715293e-09
KLRC1,7.265383154046246e-09
ASB9,8.025717004367923e-09
KLRB1,8.034296902324723e-09
PSMC2,9.270122755632384e-09
CCL4L2,1.0613338899157514e-08
VDAC3,1.1539184626214089e-08
CD74,1.9190963504577203e-08
CANX,1.9631691110534095e-08
HPGD,1.974995959757924e-08
IFI6,2.7355704705754114e-08
PSMC5,3.538535564308937e-08
RP4-728D4.2,3.879101198282413e-08
RP11-81H14.4,4.447205185869447e-08
IL32,4.54868914314077e-08
ZNF577,5.982766539733435e-08
ACTB,6.941880894305715e-08
PPIB,6.943375410655964e-08
GIMAP7,7.2948587427975e-08
ID2,7.560023358570057e-08
NEK3,8.103384719161684e-08
CLDND1,9.206483447682884e-08
CLNS1A,9.867752891736234e-08
KLRD1,9.886417280839922e-08
MT-TP,1.0628410782034654e-07
B2M,1.0780840084230843e-07
KIR2DL3,1.3468932075056968e-07
GTSF1,1.427998116168137e-07
PLS3-1,2.1754849685695177e-07
TERF2IP,2.3639588338938342e-07
GGH,2.6928038194810933e-07
RP11-392P7.6,2.7253273652232153e-07
CADM1,2.8091978226289833e-07
MSC,3.7813478021625015e-07
DOCK5,3.814645348231884e-07
PSMD6,5.623126668987683e-07
CXCR6,6.213701493598319e-07
KIR2DS4,6.733843087285751e-07
NFKBIA,7.60956106352416e-07
SELL,8.008727458244399e-07
STYK1,8.046961793045141e-07
CHDH,1.034571186543548e-06
ETV5,1.0535369805789947e-06
CTSC,1.2221954959392852e-06
CCL4L1,1.3351188830396068e-06
CCR3,1.3518155725599088e-06
TMSB4XP4,1.5073010973604744e-06
NKG7,1.6051771873886228e-06
CTC-550B14.7,1.779807089635421e-06
CD40LG,1.8424693917914697e-06
CCDC90B,1.944169757211393e-06
LINC00892,1.98816874462968e-06
CSAD,2.0224599772881853e-06
FTH1,2.076687531681715e-06
GLDC,2.1241690243412643e-06
RPS19,2.309989848451047e-06
TCEA2,2.5405009071356147e-06
ISG15,2.753478837866512e-06
ARL16,2.817799363082212e-06
MLX,3.225424440144701e-06
APOBEC3C,3.5010114943375303e-06
CD52,3.584739679126406e-06
MT-RNR1,3.823801865103487e-06
TMSB4X,4.077155152333295e-06
TMSB10,5.182469887792422e-06
C5orf56,5.2581483222698624e-06
PPP1R14BP3,6.183576842668513e-06
KLRK1,6.882773481890362e-06
RAD51,9.352539122562864e-06
PRMT1,9.586655661797127e-06
PIR,1.0253794894015194e-05
IFNG,1.0340798385418121e-05
APBB2,1.0473085727131651e-05
HOXB2,1.059432262312773e-05
LINC00861,1.1840393794852582e-05
TMSB4XP1,1.1867317188818064e-05
FKBP3,1.2035694696051111e-05
TXK,1.2833231834723801e-05
NDUFS8,1.2991157347983833e-05
SYNGR2,1.3191377197677545e-05
LAIR2,1.340232987499954e-05
RAB27A,1.3973747287195714e-05
HLA-DPA1,1.403649907693494e-05
PIM2-1,1.4105582220947907e-05
TMED10,1.4832083571337768e-05
TIMD4,1.5006903234706255e-05
SKIL,1.556189228333663e-05
STK17B,1.5674767017248844e-05
CAPZB,1.5805293980007847e-05
C3orf14,1.6295094526727312e-05
PFN1,1.6811776140559746e-05
TSEN15,1.692867069772679e-05
TFDP2,1.7645803811674886e-05
ATPIF1,1.9067797780526125e-05
ARPC1B,2.0465859924228567e-05
GADD45B,2.1063026472402712e-05
RP11-217O12.1,2.2336514461793412e-05
SLAMF1,2.2357151503688616e-05
RPL7,2.3441762052336393e-05
STIP1,2.428618323283845e-05
RP11-316P17.2,2.503951714664309e-05
RP11-349A22.5,2.582087143925757e-05
FTL,2.620202703793893e-05
TCEAL1,2.6210342103356214e-05
GZMH,2.7038898182874126e-05
MYL12A,2.704557831464898e-05
TXN,2.884591825535932e-05
CCZ1B,3.030198626821822e-05
EZR,3.0500974713691662e-05
TADA1,3.07402989950261e-05
EMP3,3.142432672079432e-05
CD8B,3.17148341760698e-05
BRWD3,3.387131185364483e-05
ANXA1,3.8369311321337326e-05
ARNT,3.903692360521858e-05
MT-ATP6,4.101048350976195e-05
GPR15,4.304966762040099e-05
Y_RNA-737,4.418314416906982e-05
RABAC1,4.5555739542674746e-05
TM6SF1,4.561687749005351e-05
FCGR3A,4.696080935154684e-05
TNIP3,5.0306425099384414e-05
CD70,5.145980377675588e-05
GLIPR2,5.2399850531907684e-05
LAPTM4A,5.2463125094977565e-05
RPS27,5.2552898513519576e-05
PNISR,5.471491783169696e-05
RCN1,5.546570752276987e-05
GART,5.55959401078069e-05
PRSS21,5.564729432541707e-05
ACADVL,5.838880856679149e-05
IFITM1,6.064589118449177e-05
RP11-81H14.2,6.199204499045256e-05
VBP1-1,6.353552082882463e-05
PCNP,6.392016491930162e-05
HNRNPL,6.532075169423413e-05
RQCD1,6.564562414798991e-05
PLAUR,6.589754644365483e-05
TMEM186,6.601698991342911e-05
NRD1,6.640066468949306e-05
GZMB,6.763329028293644e-05
ACOT2,6.90311101491715e-05
SH3GLB1,7.422415992607505e-05
DNAJC9,7.463117799566034e-05
