,0
0,MFN2
1,YRDC
2,RPL5
3,TRMT13
4,RP11-14N7.2
5,CHTOP
6,ATP8B2
7,UCHL5
8,SNRPGP10
9,LZTS2
10,RP11-326C3.11
11,RPLP2
12,RPS13
13,IMMP1L
14,CKAP5
15,PRPF19
16,FAU
17,CFL1
18,IL18BP
19,RPS3
20,VPS11
21,ATN1
22,HIST4H4
23,RP11-841C19.1
24,CCT2
25,ZFC3H1
26,GNPTAB
27,TDG
28,OASL
29,RPS29
30,CINP
31,B2M
32,GNB5
33,BNIP2
34,MAP2K5
35,ASB7
36,GDE1
37,CORO1A
38,CDK10
39,RPA1
40,AC027763.2
41,CTDNEP1
42,METTL23
43,SMARCA4
44,CTD-2013N17.1
45,CTD-3001H11.1
46,RPL18
47,RPL13A
48,ZNF331
49,RPL28
50,ZNF460
51,RPS5
52,CHMP2A
53,TMSB10
54,RPL31
55,AC009505.2
56,H3F3AP4
57,METTL21A
58,SLC23A2
59,ADRM1
60,YTHDF1
61,RPL3
62,ST13
63,SAMM50
64,OGG1
65,TGFBR2
66,GOLGA4
67,ARL6IP5
68,DHX36
69,TNIK
70,GAK
71,TAPT1
72,KLF3
73,HOPX
74,BTF3
75,CTD-2037K23.2
76,RPS23
77,RPS14
78,MXD3
79,HIST1H4J
80,RANP1
81,MRPS18B
82,RPS18
83,LEMD2
84,DNPH1
85,TSPYL4
86,MRPL18
87,GGCT
88,RP9
89,ELMO1-AS1
90,HNRNPA1P8
91,LINC-PINT
92,C7orf49
93,DCTN6
94,WRN
95,RPL30
96,DERL1
97,RPS6
98,PSMD5-AS1
99,EEF1A1P5
100,RPL7A
101,MT-CO1
102,MT-ATP8
103,TMSB4X
104,RPS4X
105,CHM
106,RPL10-1
107,WASH6P
108,RNU6-37P
109,RP1-43E13.2
110,UBXN11
111,FAM229A
112,IPO13
113,JAK1
114,WDR77
115,TADA1
116,SUCO
117,TIMM17A
118,CHRM3-AS2
119,AGAP8
120,CSTF2T
121,TRUB1
122,TSPAN32
123,DRAP1
124,C11orf30
125,RPS25
126,ANO6
127,STAT6
128,RAB21
129,RPL13AP25
130,TEP1
131,DHRS1
132,SDR39U1
133,WDR89
134,PTPLAD1
135,MPG
136,CHTF18
137,TSR3
138,C16orf54
139,TMEM208
140,PLCG2
141,COX10-AS1
142,KIAA0195
143,UBE2O
144,ARHGDIA
145,STRA13
146,GPS1
147,KLF16
148,BTBD2
149,TMEM205
150,TMEM161A
151,YIF1B
152,RAB4B
153,AC006129.2
154,ZNF224
155,ZC3H4
156,BCL2L12
157,KDM3A
158,R3HDM1
159,HAT1
160,FAM126B
161,LINC00493
162,CPNE1
163,IFT52
164,PRMT2
165,SUN2
166,SUMF1
167,TFDP2
168,MFSD1
169,DNAJB11
170,TMEM129
171,RPL9
172,RP11-33B1.4
173,NAA15
174,RAD1
175,BIN2P2
176,RBM22
177,ZFP62
178,SKIV2L
179,FKBP5
180,RP11-313P13.5
181,EIF4H
182,MDH2
183,MCM7
184,SMIM19
185,TMEM70
186,MRPL50
187,DPM2
188,TOR1A
189,FBXW5
190,BCOR
191,APEX2
192,AC004074.3
193,MCTS1
194,UBR4
195,RSBN1
196,NBPF10
197,C1orf43
198,TAGLN2
199,ATF6
200,CD247
201,LARP4B
202,PRKCQ-AS1
203,ZNF37BP
204,COX15
205,GRK5
206,CAPRIN1
207,C11orf83
208,SIDT2
209,AMICA1
210,BLOC1S1
211,ORMDL2
212,TSPAN31
213,TMEM5
214,RFC5
215,COG3
216,BIVM
217,MLH3
218,ARID3B
219,LINS
220,FAHD1
221,DCTN5
222,ITGAM
223,CBFB
224,MLYCD
225,MBTPS1
226,CYBA
227,GPS2
228,COA3
229,PLEKHM1
230,ICT1
231,DYM
232,GTF2F1
233,DNASE2
234,UPF1
235,UBA2
236,LSR
237,USF2
238,FAM98C
239,UXS1
240,RPL5P9
241,RAB3GAP1
242,PCNA
243,TOP1
244,TTPAL
245,ELMO2
246,UQCR10
247,ABHD14B
248,NCBP2
249,ZBTB49
250,RP11-448G15.3
251,SEL1L3
252,OCIAD1
253,PRMT10
254,TMEM154
255,MRPL36
256,C5orf42
257,LST1
258,PBX2
259,BTBD9
260,PTP4A1
261,GTF2H5
262,SKAP2
263,MPLKIP
264,SRI
265,TECPR1
266,RASA4B
267,MTSS1
268,PUF60
269,RANBP6
270,HSDL2
271,SET
272,TTF1
273,PDZD11
274,TAF1
275,RPL21P134
276,RPL19P21-1
