,0
0,TNFRSF1B
1,VPS13D
2,EFHD2
3,ZNF683
4,FGR
5,SPCS2P4
6,TRNAU1AP
7,ZMYM4
8,ZMPSTE24
9,LEPRE1
10,C1orf228
11,TGFBR3
12,CSDE1
13,RNU1-59P
14,S100A6
15,S100A4
16,FLAD1
17,FCRL6
18,CD84
19,SLAMF1
20,FCGR3A
21,SELL
22,PRRC2C
23,GAS5
24,MR1
25,ITPKB
26,TOMM20
27,CNST
28,ITGB1
29,FUT11
30,TCTN3
31,ANO9
32,TSPAN32
33,NAP1L4
34,OSBPL5
35,CD6
36,SF1
37,CTSW
38,PRCP
39,PRSS23
40,CD3D
41,SORL1
42,TNFRSF1A
43,CD27
44,KLRB1
45,KLRD1
46,KLRC4-KLRK1
47,LDHB
48,NELL2
49,TUBA1B
50,HIGD1AP1
51,TESPA1
52,DGKA
53,IFNG-AS1
54,RP11-81H14.2
55,ATP2B1
56,CMKLR1
57,VPS29
58,PPP1CC
59,OASL
60,RHOF
61,ESD
62,RNASEH2B
63,MBNL2
64,GZMH
65,GZMB
66,SYNE2
67,RBM25
68,FOS
69,GPR65
70,CINP
71,RASGRP1
72,RP11-23P13.6
73,INO80E
74,ITGAL
75,ITGAM
76,CYLD
77,GPR56
78,AP1G1
79,COTL1
80,MAP1LC3B
81,TCF25
82,RAP1GAP2
83,TTC19
84,SNORD3B-2
85,CCL5
86,CCL4
87,CCR7
88,KAT7
89,TRIM37
90,DNAI2
91,CD300A
92,NPLOC4
93,CD7
94,DYM
95,KDSR
96,CYB5A
97,AES
98,C19orf10
99,ARRDC5
100,XAB2
101,S1PR5
102,BRD4
103,PGPEP1
104,GPATCH1
105,ACTN4
106,FCGBP
107,LTBP4
108,KCNN4
109,GRWD1
110,PIH1D1
111,NOSIP
112,NKG7
113,LAIR2
114,RPLP0P6
115,ZFP36L2
116,CCT4
117,PLEK
118,GNLY
119,POLR1A
120,PTCD3
121,CD8B
122,LINC00152
123,MGAT4A
124,SNORD89
125,PAX8-AS1
126,RABL2A
127,UGGT1
128,CD28
129,PASK
130,CST7
131,CTSA
132,PREX1
133,USP16
134,C21orf2
135,COL18A1
136,MIF
137,MIAT
138,GGA1
139,APOBEC3G
140,ADSL
141,MLC1
142,CX3CR1
143,RPSA
144,NKTR
145,LRIG1
146,CD96
147,COX17
148,PLXND1
149,TOPBP1
150,GPR171
151,RP11-393N4.2
152,AP2M1
153,FYTTD1
154,SPON2
155,NSG1
156,FGFBP2
157,RHOH
158,TXK
159,SRP72
160,ADH5
161,OSTC
162,IL7R
163,GZMK
164,LNPEP
165,TCF7
166,DDX46
167,IRF4
168,HIST1H4K
169,HLA-H
170,HLA-A
171,TUBB
172,HLA-C
173,LTB
174,PSMB8
175,RPL10A
176,TAF8
177,HSP90AB1
178,FYN
179,RPS12
180,SHPRH
181,SYNE1
182,ACTB
183,EEF1A1P6
184,AOAH
185,SEPT7P2
186,FAM133B
187,SLC12A9
188,NRF1
189,AC093106.7
190,FDFT1
191,DOK2
192,AP3M2
193,SLA
194,LY6E
195,RPL8
196,JAK2
197,RMRP
198,RABGAP1
199,PTRH1
200,CLIC3
201,ASMTL
202,P2RY8
203,CD99
204,RAB9A
205,SH2D1A
206,PDZD4-1
207,VAMP7
208,ISG15
209,CDK11A
210,RP3-395M20.8
211,ENO1
212,DFFA
213,CLCN6
214,SH3BGRL3
215,SRSF4
216,MACF1
217,MED8
218,GNG5
219,GSTM2
220,C1orf162
221,MAN1A2
222,CD160
223,RNVU1-13
224,RNVU1-19
225,C1orf43
226,PBXIP1
227,FCGR3B
228,CD247
229,GNPAT
230,SCCPDH
231,GATA3
232,CELF2
233,NMT2
234,CSGALNACT2
235,ZNF22
236,ANK3
237,GRK5
238,RP11-572P18.1
239,ATHL1
240,IFITM2
241,C11orf21
242,RP11-16F15.2
243,FAR1
244,PRR5L
245,CD5
246,FTH1
247,FRMD8
248,NEAT1
249,POLD4
250,PLEKHB1
251,RP11-693N9.2
252,CASP4
253,DDX10
254,AMICA1
255,CACNA2D4
256,MRPL51
257,GAPDH
258,M6PR
259,KLRG1
260,A2M
261,YBX3
262,AMIGO2
263,PCED1B-AS1
264,ZNF740
265,KIAA1033
266,ALOX5AP
267,RGCC
268,AP1G2
269,RNF31
270,NIN
271,AHSA1
272,RPSAP4
273,SNHG10
274,PATL2
275,RP11-592N21.1
276,SCAMP2
277,HAPLN3
278,TARSL2
279,SPSB3
280,ATF7IP2
281,GGA2
282,NLRC5
283,DPEP2
284,PER1
285,NDEL1
286,FAM211A-AS1
287,LGALS9
288,RP11-848P1.4
289,CCL4L1
290,ORMDL3
291,TMUB2
292,CCDC43
293,CBX1
294,KIF19
295,ARMC7
296,H3F3B
297,LGALS3BP
298,METRNL
299,ENOSF1
300,PTPRM
301,HDHD2
302,PMAIP1
303,HSBP1L1
304,CNN2
305,ADAMTS10
306,WDR83
307,JUNB
308,CALR
309,DCAF15
310,DDA1
311,FXYD5
312,GIPR
313,ZNF331
314,ZNF580
315,ADCY3
316,SLC4A1AP
317,SRSF7
318,SOS1
319,MAT2A
320,VAMP5
321,IL18RAP
322,CD8BP
323,MIR4435-1HG
324,SMPD4
325,CXCR4
326,ZEB2
327,ARPC2
328,AGAP1
329,CXXC11
330,SIRPG
331,TTPAL
332,ITGB2
333,BCL2L13
334,PPIL2
335,BCR
336,CTA-292E10.6
337,MAFF
338,ATF4
339,RP11-12M9.3
340,DESI1
341,GRAMD4
342,SBF1
343,HACL1
344,OXNAD1
345,SATB1
346,WDR6
347,TCTA
348,UMPS
349,ATP2C1
350,MYNN
351,MCCC1
352,ZNF141
353,FAM200B
354,PI4K2B
355,HOPX
356,RP11-408P14.1
357,PLAC8
358,LEF1
359,RP11-36C20.1
360,C5orf42
361,GZMA
362,ZCCHC9
363,RPS23
364,PPIP5K2
365,LYRM7
366,CDC42SE2
367,HAVCR2
368,GFPT2
369,TMEM14C
370,RPS4XP7
371,NCR3
372,HLA-DRB5
373,HLA-DRB1
374,NUDT3
375,SRPK1
376,MAPK14
377,GLO1
378,TFEB
379,RP1-199J3.5
380,TNFAIP3
381,ARID1B
382,TMEM181
383,RPL21P75
384,STAG3L3
385,STAG3L2
386,CCDC132
387,ARPC1B
388,POP7
389,ZNHIT1
390,POLR2J3
391,SLC35B4
392,HIPK2
393,BRAF
394,NCAPG2
395,XPO7
396,DDHD2
397,LYPLA1
398,RBMXP2
399,SLC25A6P2
400,POLR1E
401,RP11-575L7.8
402,RP13-93L13.2
403,DFNB31
404,CNTRL
405,RPL35
406,MVB12B
407,TTC16
408,LINC00963
409,ABL1
410,MT-ND2
411,MT-ND4
412,MT-TS2
413,MT-ND5
414,MAGED1-1
415,TSPYL2-1
416,PIN4
417,ITM2A
418,BRWD3
419,BEX4
420,TSC22D3
421,PNMA3
422,G6PD-1
423,CDK11B
424,RER1
425,TNFRSF25
426,RP3-477M7.5
427,DHRS3
428,CDC42
429,RCAN3
430,LDLRAP1
431,CD52
432,RPS8
433,PRDX1
434,CMPK1
435,RP11-159C21.4
436,JUN
437,PDE4B
438,EEF1A1P11
439,LRIF1
440,RHOC
441,S100A10
442,MSTO1
443,MSTO2P
444,SMG5
445,FCRL3
446,BLZF1
447,C1orf21
448,RGS2
449,PTPRC
450,RP11-295P9.3
451,SRGN
452,PRF1
453,SPOCK2
454,LDB1
455,ACSL5
456,FAM53B
457,ADAM8
458,ILK
459,ZNF143
460,RPS13
461,POLR2G
462,TCIRG1
463,CCDC82
464,CD3G
465,KLRC4
466,RP11-291B21.2
467,HNRNPA1
468,CD63
469,MYL6
470,PABPC1P4
471,GLTP
472,PEBP1
473,RPLP0
474,RPL21P1
475,EIF2B1
476,ALG5
477,TPT1
478,RPS4XP16
479,LINC00402
480,EMC4
481,ANXA2
482,RPL4
483,SMAD3
484,CLK3
485,CHSY1
486,SRRM2
487,PRSS21
488,RPL21P119
489,RPS15A
490,HNRNPA1P48
491,CPNE2
492,FHOD1
493,ZDHHC7
494,FAM101B
495,PFN1
496,XAF1
497,GAS7
498,TMEM11
499,EVI2B
500,ACBD4
501,RP5-867C24.4
502,TBX21
503,BZRAP1
504,UBALD2
505,SMCHD1
506,ANKRD20A5P
507,WDR7
508,MIDN
509,MATK
510,ZBTB7A
511,ZNF791
512,AD000092.3
513,RPSAP58
514,ZNF146
515,RABAC1
516,FOSB
517,ZNF600
518,ZNF320
519,LENG1
520,LAIR1
521,ZNF548
522,AC092580.4
523,ACTR2
524,TMSB10
525,CD8A
526,UXS1
527,LINC00116
528,CCDC115
529,ARHGAP15
530,AC009951.1
531,DPP4
532,CASP8
533,EEF1B2
534,AC018738.2
535,CRNKL1
536,APMAP
537,KIF3B
538,TOP1
539,PLCG1
540,RPS4XP3
541,COL6A2
542,TPST2
543,PIK3IP1
544,NCF4
545,IL2RB
546,LGALS1
547,APOBEC3C
548,TTC38
549,TADA3
550,RPL32
551,RASSF1
552,RYBP
553,TIGIT
554,EEF1A1P25
555,RPL4P4
556,LYAR
557,RPL9
558,AASDH
559,TMSB4XP8
560,RP11-402J6.3
561,FBXW7
562,HSP90AA4P
563,DROSHA
564,CCDC152
565,CWC27
566,F2R
567,CTC-451P13.1
568,RASGRF2
569,CAMK4
570,NPM1
571,BNIP1
572,UIMC1
573,HLA-B
574,PBX2
575,PACSIN1
576,ELOVL5
577,RPL39P3
578,SYNCRIP
579,SNHG5
580,BACH2
581,PNISR
582,TSPYL1
583,REPS1
584,TMEM106B
585,OSBPL3
586,AC005154.6
587,AC006014.8
588,RPS3AP26
589,GIMAP1
590,GIMAP5
591,SLC4A2
592,NEIL2
593,SLC25A37
594,RP11-51J9.5
595,PPAPDC1B
596,PDE7A
597,CSPP1
598,PAG1
599,PABPC1
600,ST3GAL1
601,CDC37L1
602,AQP3
603,SIT1
604,STOM
605,RXRA
606,C9orf69
607,SLC25A6
608,MAGED2
609,RPS4X
610,HNRNPH3P1
611,NGFRAP1
612,FLNA-1
