,celltype
GZMK,True
LTB,True
CCR7,True
IL7R,True
TCF7,True
TPT1,True
SELL,True
EEF1A1P5,True
NOSIP,True
CD28,True
B2M,True
TBX21,True
TTC38,True
ITGAM,True
KLRD1,True
ITGB2,True
CCL4,True
FGR,True
CST7,True
CX3CR1,True
PRF1,True
AOAH,True
FCRL6,True
EFHD2,True
S1PR5,True
FCGR3A,True
HLA-B,True
ZNF683,True
ZEB2,True
SPON2,True
GNLY,True
NKG7,True
GZMB,True
GPR56,True
FGFBP2,True
GZMH,True
RPLP2,False
RHOH,False
MT-CO3,False
KLRB1,False
RPL19,False
LAIR2,False
RPL4,False
RPS18,False
RPLP0P6,False
RPL13,False
RPS29,False
RPLP1,False
C1orf228,False
PAX8-AS1,False
RPS12,False
FAM211A-AS1,False
RPL32,False
MT-ND2,False
CAMK4,False
RPS28,False
RPL18A,False
AMICA1,False
PDE4B,False
C1orf162,False
PASK,False
SATB1,False
RPL4P4,False
TSPYL2-1,False
DFNB31,False
RPL3,False
RPS14,False
RPLP0,False
RPS4X,False
RPSA,False
HNRNPA1,False
RPL13A,False
SNHG5,False
RPL5,False
TMEM11,False
DGKA,False
RPS8,False
RPS19,False
RPL10A,False
KLRC4-KLRK1,False
STOM,False
DPP4,False
LDLRAP1,False
NSG1,False
RPS6,False
EEF1A1P6,False
CD300A,False
RP11-23P13.6,False
HOPX,False
KLRG1,False
ITM2A,False
ALOX5AP,False
SPOCK2,False
DDX10,False
CD5,False
ARPC2,False
MAT2A,False
LGALS1,False
HLA-DRB1,False
TIGIT,False
CD7,False
F2R,False
IL2RB,False
CD63,False
FCGR3B,False
BZRAP1,False
