,A1_06_D180,A1_30_D180,JH_D2000
1,C1orf228,ALOX5AP,AOAH
2,CCL4,AMICA1,BZRAP1
3,CCR7,ARPC2,CAMK4
4,CD300A,B2M,CCR7
5,CD7,C1orf162,CD300A
6,COL18A1,CCL5,CD63
7,EEF1A1P6,CD160,COL6A2
8,FCGR3A,CD28,CST7
9,FCRL6,CD300A,CX3CR1
10,FGFBP2,CD5,DGKA
11,GNLY,DDX10,DPP4
12,GPR56,DFNB31,EEF1A1P5
13,GZMB,GFPT2,EFHD2
14,GZMH,GNLY,F2R
15,GZMK,GPR56,FAM211A-AS1
16,IFNG-AS1,GZMH,FCGR3A
17,IL7R,HAVCR2,FCGR3B
18,ITGAM,HLA-DRB1,FCRL3
19,KCNN4,HLA-DRB5,FCRL6
20,KLRB1,HOPX,FGFBP2
21,KLRD1,IL7R,FGR
22,LAIR2,ITGB2,GNLY
23,LTB,ITM2A,GPR56
24,NKG7,KLRB1,GZMB
25,NOSIP,KLRD1,GZMH
26,PAX8-AS1,KLRG1,GZMK
27,RHOH,MAT2A,HLA-B
28,RP11-23P13.6,MT-CO3,HNRNPA1
29,RPL13,MT-ND2,IL2RB
30,RPL4,MT-ND5,IL7R
31,RPLP0,MVB12B,KLRB1
32,RPS12,NSG1,KLRC4-KLRK1
33,RPSA,PASK,LDLRAP1
34,S1PR5,RNVU1-19,LGALS1
35,SELL,RP11-23P13.6,LTB
36,TCF7,RPL21,NKG7
37,,RPLP1,NOSIP
38,,SATB1,PDE4B
39,,SPON2,PRF1
40,,TSPYL2-1,PRSS21
41,,ZNF683,RPL10A
42,,,RPL13
43,,,RPL13A
44,,,RPL18A
45,,,RPL19
46,,,RPL3
47,,,RPL32
48,,,RPL4
49,,,RPL4P4
50,,,RPL5
51,,,RPLP0
52,,,RPLP0P6
53,,,RPLP2
54,,,RPS12
55,,,RPS14
56,,,RPS18
57,,,RPS19
58,,,RPS4X
59,,,RPS6
60,,,RPS8
61,,,S1PR5
62,,,SNHG5
63,,,SPOCK2
64,,,STOM
65,,,TBX21
66,,,TIGIT
67,,,TMEM11
68,,,TPT1
69,,,TTC38
70,,,USP30-AS1
71,,,ZEB2
72,,,ZNF683
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
