gene_name,F_pval,highly_variable_rank,on_ratio
RPS19,2.625112611579508e-08,7223.0,1.0
MT-ND4,4.238685628722976e-09,5968.0,1.0
SERF2,0.0085741630240843,,1.0
AC010970.2,2.151594431784171e-43,,1.0
RPS27,0.0001244732083861546,,1.0
ACTB,4.024903657251919e-21,1536.0,1.0
CCL5,8.20696695396225e-25,1490.0,1.0
TMSB4X,1.619599304042592e-05,,1.0
MT-ND4L,5.139476809952223e-12,,1.0
B2M,4.664117226718923e-27,,1.0
PFN1,8.376212051264454e-11,7220.0,1.0
HNRNPH1,4.379043998185615e-11,,1.0
MT-CO1,1.3318610875025645e-05,,1.0
MT-CO3,0.00039816653183324995,6967.0,1.0
MALAT1,5.260717879412312e-32,5915.0,1.0
RPS26,0.004492941109265192,,1.0
MT-ATP6,1.2169246940198788e-06,,1.0
MT-CYB,6.085930734136758e-14,,1.0
MT-RNR2,3.031387053869416e-08,,1.0
MT-CO2,5.064089806982209e-12,,1.0
MYL6,4.559222160503453e-05,,1.0
SRP14,0.01686607167179848,5522.0,1.0
MYL12A,0.00168995253361305,,1.0
APOBEC3C,5.479356924044017e-15,,1.0
MTATP6P1,6.672530564984919e-08,,1.0
ARPC2,0.015810803464537386,,1.0
IL32,7.8178282242251e-36,,1.0
SH3BGRL3,5.978229410211806e-19,,1.0
FTL,7.102645177511634e-25,5407.0,1.0
HNRNPL,1.8608875402895416e-06,,0.9971671388101983
EIF5A,3.559070883170818e-05,6183.0,0.9971671388101983
RPLP1,0.012117790206033515,,0.9971671388101983
ARHGDIB,1.6005110209647599e-06,4998.0,0.9971671388101983
CAPZA1,2.9943396910824582e-05,,0.9971671388101983
GZMB,8.167815225116933e-14,201.0,0.9971671388101983
MT-ATP8,0.000212060571949966,,0.9971671388101983
UBB,0.6559606128758535,,0.9971671388101983
H3F3B,0.0010542044794956164,,0.9971671388101983
MT-TE,1.1954180177331925e-13,,0.9971671388101983
TMSB4XP1,4.091346480793268e-05,,0.9971671388101983
CD3D,4.5177406988684464e-05,,0.9971671388101983
RPL7,0.15317959824342745,,0.9971671388101983
TMSB4XP8,3.6238431565298735e-06,,0.9971671388101983
MT-RNR1,3.5596682382820096e-07,4823.0,0.9971671388101983
PFN1P1,9.669756062274796e-13,,0.9943342776203966
RPL41,0.028216848447178124,,0.9943342776203966
IL2RG,0.03497307204218485,6694.0,0.9943342776203966
TMSB10,3.543394577050974e-17,1579.0,0.9943342776203966
STK17B,1.6380035576089779e-12,3455.0,0.9943342776203966
GNLY,0.00020032791778906066,5427.0,0.9943342776203966
SON,0.5169486188950161,,0.9943342776203966
NKG7,8.625829934857559e-19,4433.0,0.9915014164305949
AC092580.4,7.210033185103816e-18,6772.0,0.9915014164305949
MT-ND5,2.8310164699372754e-08,4994.0,0.9915014164305949
CD3G,1.154014609617795e-14,6596.0,0.9915014164305949
CD2,1.743682443232382e-37,4929.0,0.9915014164305949
SRGN,8.537508670414893e-19,4489.0,0.9915014164305949
RP11-217O12.1,1.1299891359583128e-26,,0.9915014164305949
ARF6,0.005823712697136006,,0.9915014164305949
SET,0.03731589408073622,5138.0,0.9915014164305949
LTB,5.97761317227281e-18,153.0,0.9886685552407932
RPL36AL,0.18315485957627128,,0.9886685552407932
CFL1,4.2058511197453373e-07,2978.0,0.9886685552407932
MT-TY,0.06626508483789444,,0.9886685552407932
RPS14,0.0076365252924939465,,0.9886685552407932
ID2,1.7268629271331318e-13,4011.0,0.9886685552407932
CALR,1.553243142402247e-05,,0.9858356940509915
PPP1CB,0.0014037541661464157,7137.0,0.9858356940509915
TMSB4XP4,2.506714474439188e-07,357.0,0.9830028328611898
TMBIM6,0.06128941522640067,5513.0,0.9830028328611898
CTNNB1,2.568662825612329e-10,,0.9830028328611898
CALM1,4.516832818163876e-05,6636.0,0.9830028328611898
HLA-A,9.510849525819972e-06,7088.0,0.9830028328611898
MT-TP,1.2503845410161729e-05,,0.9830028328611898
PTPRC,0.0030812265595869053,7141.0,0.9801699716713881
RPL31,0.001907885554375619,,0.9801699716713881
HLA-B,5.047163536799781e-10,6867.0,0.9801699716713881
RPL21,0.04017551321159658,,0.9801699716713881
CCL4,7.8702718731033615e-25,26.0,0.9801699716713881
C6orf62,9.367111724055643e-05,7435.0,0.9801699716713881
MT-TC,1.1937966858389614e-08,,0.9801699716713881
MTA2,0.12253105382487836,,0.9773371104815864
CLIC1,0.0598930471700204,,0.9773371104815864
YWHAZ,0.17307423075072917,6715.0,0.9773371104815864
RPS29,0.006896952184384013,,0.9745042492917847
IFI6,7.414831360970316e-10,4186.0,0.9745042492917847
MT-ND2,0.06390765851849871,,0.9745042492917847
GMFG,0.010549755161786219,,0.9745042492917847
RPL18A,0.0049893406613596356,,0.9745042492917847
FTH1,4.757360223941575e-05,,0.9716713881019831
RPL23A,0.014720353278204232,,0.9716713881019831
S100A6,0.019854797319759088,7489.0,0.9716713881019831
CALM2,0.4446866932441713,5233.0,0.9716713881019831
CD74,9.193978957276079e-26,148.0,0.9716713881019831
DAZAP2,0.5928809230896726,,0.9688385269121813
HLA-C,0.0020570785396362454,6581.0,0.9688385269121813
FTLP3,3.140270957226075e-16,,0.9688385269121813
CD52,2.9454526604357455e-14,3262.0,0.9688385269121813
ATP5L,0.03504913367843723,,0.9688385269121813
CST7,1.4637802658171577e-10,655.0,0.9660056657223796
