gene_name,F_pval,highly_variable_rank,on_ratio
HIST1H4C,0.00021081100436840382,1.0,0.6915887850467289
CSF2,1.0583105856297076e-08,3.0,0.29283489096573206
EGR1,0.000190486804952858,5.0,0.3146417445482866
RRM2,2.143641195215735e-07,7.0,0.07165109034267912
LRRC28,2.6913430457614464e-50,8.0,0.3364485981308411
STMN1,7.071224090230106e-13,9.0,0.14330218068535824
IFNG,8.421754286529952e-17,10.0,0.67601246105919
CCL4L1,1.5275159639812514e-30,11.0,0.5545171339563862
TNFRSF9,0.0020558043593867747,13.0,0.3613707165109034
YWHAQP6,0.9154925540537204,14.0,0.028037383177570093
RNU5F-1,0.4053377975079716,15.0,0.03426791277258567
IL2RA,1.2092179791335797e-19,16.0,0.6230529595015576
BAK1P1,0.7586992715883292,17.0,0.018691588785046728
TMEM106A,0.21231163424842756,18.0,0.01557632398753894
TK1,0.00014498705732005063,19.0,0.06542056074766354
KIR2DL4,0.006759536923515497,20.0,0.14641744548286603
RPL24P2,0.6363242519931847,21.0,0.018691588785046728
HMGB2,0.007658015115876487,22.0,0.38006230529595014
TMEM201,0.3032506790320909,23.0,0.009345794392523364
PPIAP29,0.46418276656658486,24.0,0.01557632398753894
ZWINT,1.2584539762751055e-06,25.0,0.09345794392523364
CCL4,4.864067120692123e-20,26.0,0.9781931464174455
ZBED2,0.002667440088946814,28.0,0.09034267912772585
RP1-179N16.3,0.003105084477899617,29.0,0.01557632398753894
ANKRD42,0.8254493656946333,30.0,0.012461059190031152
SEPT7P9,0.7036837143089464,31.0,0.018691588785046728
CDC20,0.003838624757094375,32.0,0.03115264797507788
FCGR3A,1.0927817830071759e-16,33.0,0.22429906542056074
MCM7,0.11984151413458063,34.0,0.09345794392523364
SKP1P1,0.309259328141685,35.0,0.009345794392523364
RP11-506M13.3,0.8253958965200793,36.0,0.009345794392523364
NPIPA5,0.5658944855098448,37.0,0.018691588785046728
AHDC1,0.3593222538992714,38.0,0.021806853582554516
RP11-62H7.3,0.11124381164060257,39.0,0.024922118380062305
SOX4,6.40317894364077e-09,40.0,0.12461059190031153
AMICA1,2.5849030068485067e-48,41.0,0.5077881619937694
KIR3DL1,2.2681303315877046e-08,42.0,0.03115264797507788
RP11-1035H13.2,0.8607179649065473,43.0,0.028037383177570093
HLA-DRA,2.5268196987130522e-09,45.0,0.2803738317757009
ADORA2A,0.3101546550723169,46.0,0.024922118380062305
CHAMP1,0.06988447292488055,47.0,0.018691588785046728
RP11-767N6.7,0.484192562734428,48.0,0.009345794392523364
CCNB1,0.016979775107817542,49.0,0.08099688473520249
RP11-1074O12.1,0.2230901847548813,50.0,0.009345794392523364
AARSD1,0.2482556173288457,51.0,0.01557632398753894
NR4A2,0.020786069797717095,52.0,0.14953271028037382
NDUFA5P11,0.3446097060386027,53.0,0.006230529595015576
CCL23,8.598395224255117e-17,54.0,0.14018691588785046
ZNF682,0.194200501814706,55.0,0.01557632398753894
CD200R1,4.445604559363827e-19,56.0,0.11838006230529595
AP000251.3,1.7131243744140077e-06,57.0,0.006230529595015576
NUSAP1,0.0030658422095418436,58.0,0.19937694704049844
CSF1,2.6513438196682824e-20,59.0,0.43613707165109034
KLRB1,2.2738535698305515e-32,60.0,0.32710280373831774
GTF2H2B,0.07439998104707156,61.0,0.021806853582554516
COPRS,0.6247958834215172,63.0,0.024922118380062305
AC083899.3,0.02997085865442608,64.0,0.0
HMGN2,6.720358552071729e-05,65.0,0.794392523364486
FLT3LG,0.3691177543083174,66.0,0.03115264797507788
SLA,2.2934025600098805e-09,67.0,0.6137071651090342
C20orf194,0.1671332466623977,68.0,0.006230529595015576
LRRC37A,0.11831056545999571,69.0,0.0
AC098614.2,0.2914020481070301,70.0,0.01557632398753894
ZNF320,0.7654500762252113,71.0,0.009345794392523364
CBWD3,0.1384191214412408,72.0,0.024922118380062305
AC093323.3,0.33046101141918177,73.0,0.024922118380062305
NAF1,0.34069903920861816,74.0,0.018691588785046728
RP11-277L2.3,0.7091775740128097,75.0,0.012461059190031152
ZNF773,0.6426086955478841,76.0,0.021806853582554516
NFKBIA,0.2532856801190133,77.0,0.4766355140186916
CROCC,0.39086453599584836,80.0,0.021806853582554516
FGFBP2,2.005740704166691e-06,81.0,0.07165109034267912
SF3A3P2,0.640002667933937,82.0,0.009345794392523364
KIAA1324,0.0024614347885694274,83.0,0.028037383177570093
RP5-1073O3.2,0.9419200482785884,84.0,0.04361370716510903
AC079949.1,0.14211663709112954,85.0,0.08722741433021806
RGPD8,0.02323641087791064,86.0,0.01557632398753894
UCP2,0.00022471939365707475,87.0,0.573208722741433
RP13-104F24.3,0.28210421130821,88.0,0.028037383177570093
MOGS,0.5481938609457035,89.0,0.037383177570093455
AC144530.1,0.2452765314700972,90.0,0.006230529595015576
MCM3,0.005267386524238192,91.0,0.20249221183800623
HNRNPA1L2,0.3098840031545813,93.0,0.028037383177570093
GINS2,7.265592633962925e-08,94.0,0.040498442367601244
KCTD17,0.49629091092115263,95.0,0.03426791277258567
TNRC18,0.03671023843625407,96.0,0.021806853582554516
TAOK2,0.4282881886732149,97.0,0.018691588785046728
ATXN7L3,0.7453417194446669,98.0,0.024922118380062305
AC015849.19,0.05032926973670916,99.0,0.04361370716510903
MCC,0.2774632798399561,100.0,0.01557632398753894
REG4,8.039268360935873e-46,101.0,0.1277258566978193
SH2B1,0.32594013640906444,102.0,0.018691588785046728
STAG3L1,0.5893581553578977,103.0,0.006230529595015576
LGALS1,1.7195382277714256e-06,104.0,0.7289719626168224
