,TPM_p,UMI_p,TPM_logp,UMI_logp
NKG7,6.190242105845244e-136,9.112257075162697e-122,135.20829236500632,121.04037403643228
GNLY,1.1073588595850762e-127,8.637024839177434e-123,126.9557116153618,122.06363583141508
FTH1,1.929446988305057e-96,4.875428277229009e-80,95.71456714920083,79.31198722811568
ITGAD,2.1428833365073246e-91,3.431478627627348e-92,90.66900147230407,91.46451870169315
KLRD1,4.051536669050599e-85,6.729953068540439e-89,84.39238022609062,88.17198796432655
FCER1G,2.2760189062496927e-80,9.498624092897423e-78,79.64282413469972,77.0223392991468
LYAR,1.6261297951714782e-68,1.8375107788839193e-75,67.78884479264292,74.73577010465407
CD84,4.2423956203403555e-68,8.445989535377367e-75,67.37238883423548,74.07334946100379
TIMD4,6.964995148720601e-55,4.3902686070659995e-61,54.157079181736016,60.357508907776584
CD74,3.5182509470939566e-51,5.996739294165456e-48,50.45367318675142,47.22208483153015
BMS1P5,2.0942152617564166e-50,4.817355463822792e-40,49.678978679778425,39.31719130671005
GZMA,2.1168094739837695e-50,7.821746940258506e-59,49.67431822942563,58.106696239039366
GSTM2,3.582642259223122e-49,2.931992066389782e-53,48.445796555663634,52.53283720917682
HLA-DPA1,1.4849707718767573e-47,5.066952490180902e-46,46.82828209431819,45.295253167812945
LAIR2,1.1168018209824802e-46,3.9810239005439477e-47,45.952023886588755,46.40000521507021
RPL13,1.2809819152884102e-46,1.3588539193610071e-78,45.892457001516746,77.86682722864307
SPOCK2,1.4119537172441252e-46,2.534801694152245e-50,45.850179538889684,49.59605601128298
LAIR1,1.0278391530453533e-44,2.949966848819769e-50,43.988074842938374,49.53018286451524
BMS1P1,1.6355077487513246e-44,1.925862208889915e-48,43.786347393922384,47.71537478889346
RGS1,1.4009180021699154e-41,5.1233301992214276e-40,40.85358728387718,39.290447652892254
LIMA1,1.8191387813830943e-40,1.0551942517071751e-38,39.7401341675172,37.976667583324705
CD7,4.0610652969060044e-40,1.9003065784356788e-41,39.391360027535825,40.721176328214504
BMS1P6,1.4055768096020341e-39,1.722059386024136e-40,38.85214541681224,39.76395187577559
RPS20,4.370497740632388e-39,1.269055333727322e-21,38.35946909994024,20.896519441255553
TIGIT,4.688775099232845e-39,1.4322174552102657e-36,38.32894059803628,35.843991037595146
TMSB10,2.9060938359258213e-38,3.1115530548373234e-16,37.53669036671837,15.507022789496594
HLA-DPB1,5.07366966324781e-38,2.7556623058695275e-37,37.294677812261874,36.559774004356306
RP11-144G6.12,2.9548870322869066e-37,1.015310961724586e-33,36.52945911789347,32.99340092496449
BMS1P7,1.1683310786292316e-36,4.085641986882138e-34,35.93243407053952,33.388739692019186
SELL,1.205932232810202e-36,1.0255869808044982e-38,35.91867709662663,37.98902750089142
PAX8-AS1,3.852508735995659e-36,2.6663498518212433e-41,35.41425636779698,40.57408286739513
HLA-DRB5,1.788448711101711e-35,3.0031124667650674e-32,34.747523509976794,31.52242840313873
IL5,6.067609600871624e-34,3.9668543186913904e-35,33.21698237014661,34.40155374854279
AGAP10,6.599841517117652e-34,3.878322392291856e-28,33.180466493104745,27.411356092272843
CD8A,5.3993748058395545e-33,6.71842846834803e-33,32.26765652426832,32.172732302443535
EOMES,1.4219056032474633e-32,1.945393891037091e-39,31.84712923437244,38.71099245223819
RPS9,2.3472950955348512e-32,5.819291232229451e-16,31.629432308651847,15.235129907562522
CD44,6.036637227881531e-32,1.5746821900138751e-29,31.219204922318323,28.802807084446176
HS3ST3B1,3.9046874750320838e-31,1.030574323452992e-37,30.408413720634467,36.98692068209772
CST7,2.5678365231781422e-30,9.147056029369486e-28,29.59043262832186,27.03871866067975
AGAP9,2.9528038662634922e-30,3.3857897768444776e-26,29.529765399167115,25.47034001066616
RCBTB2,3.2069551252282896e-30,3.103631397683035e-33,29.49390711709123,32.50812986327015
HLA-DRB1,9.23543318290893e-30,1.0774308586391473e-29,29.03454272940242,28.967610590007087
AE000661.37,1.9019884447445284e-29,9.42503478180607e-33,28.720792125883847,32.025717038414626
IL4,5.071490813727522e-29,3.221729697760619e-30,28.29486435683951,29.491910899576453
RNF125,7.344985708168315e-29,1.7055507247502726e-23,28.134009044920653,22.768135359720937
HMOX1,9.426317185517429e-29,5.4338613281273514e-30,28.025657950784495,29.264891448950433
PPAP2A,3.0697202403877466e-28,2.616969479267729e-28,27.5129012022401,27.58220134234403
TMSB4X,3.3512819275466403e-28,0.0041338228244183,27.474789035480896,2.3836481411645596
CD226,8.98580047877069e-28,6.201623951988262e-32,27.046443228735527,31.207494571624622
AC092580.4,2.164722989655607e-27,7.879142305398233e-26,26.66459767056284,25.10352105564573
CTGLF12P,6.049009370739195e-27,1.044712607586751e-25,26.21831574271084,24.981003164199034
GPR183,1.2695540130667641e-26,9.851379501050543e-29,25.896348817375657,28.00650295044198
FADS2,7.961362064359025e-26,2.2805363073041724e-27,25.09901262492177,26.641963009177772
RPL4P1,1.209824590683138e-25,1.2017943613683316e-29,24.917277592345236,28.92016983795996
MAL,2.2364337112909397e-25,4.186578292166887e-25,24.65044396994704,24.378140782745877
HOMER2,1.057200774430446e-24,2.33791263021313e-25,23.97584252740682,24.631171722825727
RPS29,1.4817355692487988e-24,1.460162792424472e-20,23.829229293699967,19.83559872235915
RPS21,1.5552671990624023e-24,8.252083146103092e-11,23.808194987274092,10.083436404824935
NDFIP2,1.8893166837817636e-24,4.947354924150399e-27,23.723695240335612,26.305626932152332
MGAT4A,2.266079698395788e-24,3.0357580960759177e-27,23.64472481999564,26.517732838087827
INPP4B,2.69951860337439e-24,2.8687258081426276e-25,23.56871367529961,24.542310959492333
RPL12,3.202756791918019e-24,5.093420369702726e-11,23.49447603915018,10.292990479192296
CLIC3,1.9749575381072663e-23,7.3835402088985745e-22,22.704442237335723,21.131735355719343
GPR15,2.005653020033524e-23,1.756065369408518e-23,22.697744198194417,22.7554593215478
EPAS1,2.429437384655737e-23,4.849321131669935e-24,22.614494289788432,23.314319055089616
CAPG,4.4566492872626807e-23,6.458147506648128e-25,22.35099154105393,24.189892039747516
FXYD5,4.6402055382782276e-23,1.0164842092172741e-23,22.33346278190998,22.99289936361037
PTPRK,7.468822279406108e-23,1.0653299258056834e-25,22.126747874473647,24.972515873194876
LPAR6,1.1584887343569538e-22,9.226149914124137e-25,21.936108185119927,24.03497949289403
GAB2,1.2232949408414484e-22,4.1480819363757177e-22,21.91246882036595,21.382152673651273
LGALS3,1.8124063749371047e-22,2.3673130230041356e-23,21.741744418907807,22.625744312761558
RAB6B,2.169233221235296e-22,1.9982085160827576e-26,21.66369375308008,25.699359194458854
FURIN,3.2453393542535274e-22,1.5869366758814707e-23,21.488739883771487,22.799440402712033
CCL3,8.065879817164431e-22,8.78366025078093e-21,21.093348253334,20.05632447094324
S100A10,1.1153629988344982e-21,4.617379879122448e-26,20.952583766934776,25.335604393887255
TIMP1,1.8238196751499832e-21,1.228561544125284e-22,20.739018103484973,21.910603082892063
GPR56,2.6867609475087915e-21,9.998471673269996e-24,20.570770972865787,23.000066379459142
RPL28,3.025137155639544e-21,5.935395287234467e-16,20.519254930238926,15.226550352472142
TFEC,3.531286114693281e-21,2.408886415652824e-22,20.4520670932558,21.61818367746873
CD8B,4.348229428465143e-21,4.690525008285801e-20,20.3616875490182,19.32877854418458
PXN,4.577687885240788e-21,3.092047241168491e-21,20.339353821608736,20.50975387942963
VIM,4.7219031210214755e-21,4.8165950995497705e-12,20.325882927557462,11.317259860520148
RPL18A,5.0268750991319356e-21,7.784389330340948e-14,20.298701905388928,13.10877545128668
NELL2,2.5369178511515555e-20,2.727899291899511e-20,19.59569359559624,19.56417166692599
RPL37A,3.0114189081264373e-20,8.854316996438892e-19,19.521228827073305,18.052844933753175
RP11-94L15.2,3.555884688720904e-20,1.197204177576781e-17,19.44905233090323,16.921831776382984
ABCB1,5.75574242618953e-20,2.3948682897497563e-19,19.239898649305882,18.62071836642804
SORL1,1.129148181989259e-19,1.5824340679878467e-20,18.947249060380322,19.800674375784897
FGFBP2,1.2342506230212675e-19,3.532024212043305e-21,18.908596644886533,20.45197632799346
DOCK5,1.7627915116523747e-19,6.417997419944765e-20,18.7537990494098,19.192600461828235
KRAS,2.2363125248938782e-19,2.5404967946563296e-20,18.65046750384803,19.595081348702493
RPL30,2.2519869090419777e-19,0.028829280880727077,18.64743413839767,1.540166190543709
LAG3,2.998766342320419e-19,3.040802581474418e-16,18.52305737225121,15.517011774712628
ERI1,7.312945071745485e-19,2.3761548063347354e-17,18.135907688592358,16.624125268511204
HLA-DQB1,1.691405803355673e-18,3.0553552725254344e-17,17.771752183641276,16.514938283317814
XXbac-BPG181M17.5,1.8840095251368645e-18,2.1061115164640083e-18,17.724916905840423,17.676518637090346
ANXA2,1.893209878034589e-18,1.0455424163327188e-17,17.72280123821803,16.980658343711372
RPS8,5.922676365438267e-18,4.752114849630232e-05,17.22748199799292,4.323113071823597
RPL36A-1,1.1977383489452197e-17,8.40960589286247e-06,16.921638045068782,5.075224356469106
HLA-DQB2,1.595147391679591e-17,1.5604219995114381e-16,16.797199181926107,15.80675793544364
MBP,1.9620147700940514e-17,1.6169474827919026e-18,16.70729772756453,17.791304085414605
VAMP5,2.46641226399541e-17,1.1536995873664351e-17,16.607934328789053,16.937907262700083
IGHV1OR15-1,3.2014791721503434e-17,6.681208619949127e-17,16.494649319218418,16.175144967240733
RPL36,3.5366907904217706e-17,7.60282629480671e-09,16.451402908487125,8.119024931921338
CCL4L1,3.6223184497336956e-17,2.233360334094995e-16,16.44101337211067,15.651041201476636
CACNA2D4,4.009000438938545e-17,3.2050200480217085e-17,16.39696389619932,16.494169249540494
CALM1,4.358847016030149e-17,2.0368414846179585e-21,16.360628373299328,20.691042768267604
RPLP1,6.511048616486721e-17,0.001161231142133442,16.186349061865037,2.9350813256862556
HPGD,8.772357279628671e-17,2.1156259831935697e-18,16.05688368873512,17.674561107805307
CXCR4,1.4958219832083786e-16,6.691708661926466e-16,15.825120088497302,15.174462975251778
TTC24,2.1675812113841377e-16,1.5505926887405585e-17,15.664024622112294,16.809502268120358
FOS,3.6123852750426236e-16,9.785498815665104e-17,15.442205936680267,16.00941703128658
CFL1,4.69227362617043e-16,0.0020622209434326467,15.32861667028392,2.6856648068637474
RPS3,6.541117078136733e-16,0.02339455089812652,15.184348077449034,1.6308852874813138
RPS15,6.978579542174199e-16,4.680331548646348e-06,15.156232967029352,5.329723380975567
HLA-DRA,7.993107413455418e-16,1.0304614155114597e-15,15.097284350828756,14.986968265257094
CSF1,8.687492725477702e-16,4.6922868575473755e-18,15.061105546060675,17.32861544565246
