gene_name,F_pval,highly_variable_rank,on_ratio
MTATP6P1,8.537575946037385e-08,,1.0
ISG15,1.411325510614828e-09,,0.6477272727272727
RP11-465B22.3,7.958882913440753e-20,7489.0,0.07954545454545454
TNFRSF18,8.736329548529898e-07,1860.0,0.3778409090909091
PER3,3.392412402560383e-15,,0.06534090909090909
RP3-477M7.5,4.182420270875021e-26,,0.09090909090909091
ID3,6.7641270161834895e-21,1116.0,0.11079545454545454
STMN1,3.884957096464427e-19,10.0,0.1903409090909091
SH3BGRL3,1.5565301098254711e-18,,1.0
CD52,4.142590455637949e-14,4951.0,0.96875
MAP3K6,4.5847435496244684e-08,6577.0,0.06818181818181818
IFI6,9.99814043506544e-10,,0.9744318181818182
LCK,4.004262230096774e-08,,0.8977272727272727
KIAA0319L,1.6565879766006316e-09,5073.0,0.2528409090909091
TPI1P1,9.657800588315346e-09,,0.24147727272727273
IFI44L,1.3456701706709523e-16,2776.0,0.1278409090909091
IFI44,8.696853248155951e-07,,0.2556818181818182
S1PR1,1.08154638902745e-18,259.0,0.13352272727272727
CSF1,6.453854269664177e-23,40.0,0.45454545454545453
CD2,1.899148424419367e-37,,0.9914772727272727
REG4,8.464215771089383e-53,46.0,0.14204545454545456
S100A11,4.3990463402894236e-07,,0.9034090909090909
S100A4,8.554888278720878e-16,3378.0,0.9318181818181818
SLAMF7,8.42489435383767e-23,596.0,0.1534090909090909
FCGR3A,1.845872087832997e-18,24.0,0.23011363636363635
SELL,4.927555782940399e-21,294.0,0.19886363636363635
PFN1P1,7.705654707819642e-14,,0.9943181818181818
GLUL,3.323882894337621e-07,476.0,0.06818181818181818
C1orf21,1.5754228842007062e-13,,0.07386363636363637
IVNS1ABP,5.597667777417065e-07,7360.0,0.90625
RGS1,1.918514557791594e-13,134.0,0.17329545454545456
FAIM3,2.190165630496109e-09,351.0,0.21306818181818182
IDI1,1.1597008517991185e-07,5081.0,0.39488636363636365
AKR1C3,4.95507222048266e-10,1500.0,0.16193181818181818
IL2RA,1.716449198292857e-19,16.0,0.6477272727272727
KIAA1217,3.946533620902285e-08,6522.0,0.1278409090909091
ITGB1,6.046348105430411e-11,3608.0,0.4715909090909091
CREM,1.156179346890495e-09,5065.0,0.6903409090909091
ZWINT,5.39539304024364e-09,18.0,0.125
SRGN,5.134052347429632e-19,7027.0,0.9914772727272727
PRF1,2.497619155750088e-07,5319.0,0.9005681818181818
HMGN2P8,3.4524970898142145e-08,,0.6846590909090909
MKI67,5.226766054977732e-10,54.0,0.13068181818181818
IFITM2,1.9394840547366317e-12,,0.48295454545454547
IFITM1,5.965088871691997e-24,,0.5625
IFITM3,5.863562903435048e-11,,0.4289772727272727
NUCB2,1.4878083531879585e-10,2679.0,0.35511363636363635
CD82,2.3599185805683815e-12,2672.0,0.4090909090909091
FERMT3,6.361193255848999e-07,816.0,0.3409090909090909
NEAT1,4.429166340443609e-08,4364.0,0.8295454545454546
MALAT1,1.7957210987012757e-32,,1.0
CFL1,5.084626515623553e-07,4288.0,0.9886363636363636
CTSW,4.554573225500154e-09,927.0,0.9176136363636364
CTSC,1.7022361635627015e-10,,0.8806818181818182
SMCO4,5.195245460124795e-10,6423.0,0.32386363636363635
CADM1,2.4400933634080156e-23,968.0,0.23295454545454544
IL10RA,7.072007478012826e-07,1370.0,0.19886363636363635
AMICA1,8.199573570600026e-52,27.0,0.5142045454545454
MPZL2,3.119681420800894e-09,139.0,0.08238636363636363
CD3G,1.6542918952028383e-14,,0.9914772727272727
FEZ1,9.796886658099147e-07,273.0,0.0625
CD9,7.050667287142596e-16,684.0,0.1846590909090909
CD27,1.8626377477863585e-08,6974.0,0.71875
LAG3,7.313173180207011e-28,2235.0,0.7642045454545454
KLRG1,6.779817213535672e-16,3222.0,0.05397727272727273
KLRB1,4.317542029102931e-33,38.0,0.3153409090909091
CLECL1,3.6657917156675666e-10,,0.22443181818181818
CLEC7A,4.839791187544133e-10,1429.0,0.10227272727272728
KLRD1,2.0974590752031847e-38,4306.0,0.5767045454545454
KLRC3,3.4563162963493265e-40,,0.42329545454545453
KLRC2,1.633467380028805e-42,5972.0,0.5568181818181818
KLRC1,9.660743998260134e-32,215.0,0.45738636363636365
RP11-291B21.2,1.5908103008263808e-08,,0.05397727272727273
NELL2,4.496811023298262e-07,1068.0,0.19602272727272727
RP11-493L12.5,1.6270249913217606e-07,,0.09375
FKBP11,1.587560394169472e-10,,0.7045454545454546
IFNG,1.6946391559426173e-19,9.0,0.6818181818181818
RP11-81H14.2,2.879400514252289e-12,,0.32670454545454547
PHLDA1,2.690819395423065e-09,7399.0,0.5710227272727273
SOCS2,6.959731376540589e-10,177.0,0.5028409090909091
GNPTAB,9.715689711983764e-10,6794.0,0.6534090909090909
PMCH,2.749793552708009e-08,5574.0,0.056818181818181816
SLC41A2,4.1927757378766744e-07,,0.36363636363636365
OAS1,6.617173792935545e-07,2504.0,0.23011363636363635
WSB2,6.7050639103977745e-09,,0.5653409090909091
ALOX5AP,1.1338639135211839e-30,584.0,0.7585227272727273
LPAR6,2.4775443448248238e-14,1354.0,0.38920454545454547
RCBTB2,3.102574464113957e-14,61.0,0.17045454545454544
NDFIP2,1.4337836686464228e-12,4317.0,0.7528409090909091
GZMH,1.4029294571367786e-07,115.0,0.625
GZMB,9.077658830026077e-14,53.0,0.9971590909090909
FUT8,8.17319169537247e-08,2748.0,0.5767045454545454
TC2N,7.635412086436974e-10,583.0,0.2585227272727273
ASB2,2.567764545084093e-19,159.0,0.20738636363636365
PPP2R5C,3.56268512025964e-07,,0.8153409090909091
PATL2,8.411091945235546e-12,543.0,0.14772727272727273
B2M,3.50450315002284e-27,,1.0
SHC4,7.374252552260792e-11,513.0,0.13636363636363635
SNX1,7.690895547258725e-07,5149.0,0.3181818181818182
KIAA0101,1.6889448790804467e-11,272.0,0.15056818181818182
RP11-673C5.1,1.5966649768395696e-08,,0.2471590909090909
NPTN,1.4987484879869212e-16,,0.4943181818181818
CTSH,2.720859909465549e-08,2166.0,0.1875
ISG20,8.956475260416131e-13,598.0,0.19602272727272727
IDH2,2.036962371862594e-09,91.0,0.28125
HMGN1P38,1.9652740917606728e-07,,0.19602272727272727
LRRC28,8.880742585764419e-58,8.0,0.3125
IL32,2.5761890313838343e-36,,1.0
CORO1A,8.057733433306157e-10,142.0,0.7073863636363636
SHCBP1,7.992004789772832e-07,423.0,0.07670454545454546
MT2A,1.558528030393668e-10,,0.28125
MAF,8.156138717992472e-20,3897.0,0.8096590909090909
COTL1,8.609867865695144e-15,3160.0,0.4346590909090909
PFN1,3.3322633971300194e-12,,1.0
XAF1,2.357117317910605e-11,,0.4659090909090909
CCL5,7.560385833442546e-25,864.0,1.0
CCL23,6.258326869018266e-18,29.0,0.14204545454545456
CCL3,4.093940609935326e-21,65.0,0.9261363636363636
CCL4,2.5701863598929437e-25,13.0,0.9801136363636364
CCL3L3,3.2594116415626274e-25,660.0,0.5653409090909091
CCL4L1,4.117727480710477e-35,11.0,0.5397727272727273
CCL3L1,3.336895856323809e-29,197.0,0.9232954545454546
CCL4L2,1.1673216093587273e-23,1322.0,0.4772727272727273
HOXB2,5.019946448891431e-10,,0.2784090909090909
CD300A,3.037926468869388e-16,2604.0,0.08806818181818182
TK1,1.0511506679423196e-07,15.0,0.09375
BIRC5,9.531343727496087e-07,,0.09090909090909091
LGALS3BP,5.43750770505052e-24,365.0,0.06818181818181818
ACTG1,4.2013522743987394e-08,747.0,0.9204545454545454
CD7,4.07920395497175e-08,,0.3409090909090909
CD70,4.241400715108512e-07,6133.0,0.5767045454545454
PRDX2,5.020328528721458e-10,,0.6534090909090909
ITGB1P1,1.8948911741489618e-10,,0.09090909090909091
HSH2D,1.6858357635255105e-08,5690.0,0.23011363636363635
BST2,2.5837875614007675e-08,4243.0,0.7130681818181818
FXYD5,6.65121927788098e-07,3653.0,0.8011363636363636
ZBTB32,2.4672732697327395e-10,705.0,0.13920454545454544
RPS19,5.250425127842533e-08,,1.0
CEACAM1,8.493187076328685e-08,858.0,0.3977272727272727
GNG8,4.595829486497621e-19,2500.0,0.16761363636363635
EMP3,3.8523402951521015e-08,,0.8522727272727273
FTL,1.4652445839390654e-24,,1.0
NKG7,6.736310376108289e-19,6622.0,0.9914772727272727
LAIR2,2.753404079095004e-27,1037.0,0.33238636363636365
NCR1,4.10325119902409e-12,,0.09375
AC092580.4,1.0715861502421772e-17,,0.9914772727272727
ID2,1.2470686562825557e-13,6124.0,0.9886363636363636
RRM2,3.201103384384469e-08,6.0,0.09375
FAM49A,2.896769009360522e-20,3171.0,0.26420454545454547
CRIM1,1.1896562731164846e-13,,0.6846590909090909
EPAS1,9.085375019156983e-17,1943.0,0.20738636363636365
PLEK,2.9196281509000445e-27,99.0,0.46875
TMSB10,4.782530242327445e-17,1896.0,0.9943181818181818
CAPG,2.9978443433243835e-11,366.0,0.12215909090909091
VAMP5,1.5215310586709923e-11,,0.5426136363636364
IL18RAP,1.0213220148796553e-10,,0.11931818181818182
PAX8-AS1,5.465130015754112e-10,1825.0,0.2727272727272727
BIN1,2.318408156622551e-08,2095.0,0.20454545454545456
SLC4A10,8.896416711149989e-07,,0.08522727272727272
ITGA4,6.300111761600679e-08,4176.0,0.5426136363636364
STK17B,2.525080793113103e-12,4986.0,0.9943181818181818
CD28,4.317283797853421e-10,4948.0,0.15625
CTLA4,1.1543174998955609e-11,570.0,0.5539772727272727
CCL20,4.3554183471843093e-20,,0.08238636363636363
TMSB10P1,5.688774630302573e-21,,0.8295454545454546
SIRPG,1.9397887789011056e-12,452.0,0.48579545454545453
FTLP3,5.977768544607232e-16,,0.96875
CST7,1.4020717963294602e-10,585.0,0.9659090909090909
MIR155HG,5.107921843914186e-29,131.0,0.2528409090909091
MX1,8.016110680349752e-14,413.0,0.2755681818181818
USP18,2.1102301343424323e-09,,0.09943181818181818
RGL4,1.1360728027948015e-07,5826.0,0.10511363636363637
