,TPM_p,UMI_p,TPM_logp,UMI_logp
GNLY,1.1933741775822835e-144,1.817084964255303e-139,143.9232233637224,138.7406247652376
NKG7,3.0018984942048205e-112,7.211736884323902e-98,111.52260399702014,97.14196012662111
ITGAD,6.7289917253689425e-102,5.585714721006245e-105,101.17205000574832,104.25292124877403
KLRD1,3.3749177260628636e-90,2.6736793368630464e-94,89.4717368099596,93.57289068031326
FTH1,1.4415812949304745e-86,2.6130372487663525e-70,85.84116086146572,69.58285439937394
FCER1G,5.660095659127534e-86,5.703401994623481e-82,85.24717622890357,81.24386601682556
CD84,5.1090780135765086e-76,1.586024676098343e-84,75.29165746576417,83.79969006001339
LYAR,5.843088086663368e-68,1.306723908331466e-75,67.2333575664942,74.88381616280533
BMS1P5,8.410256068112227e-59,4.735676498761729e-47,58.075190780982695,46.32461797258608
CD74,3.4732336212167485e-55,2.4830794417914354e-52,54.459266003619,51.60500938572947
BMS1P1,2.4326510282474548e-54,6.109578768200835e-57,53.61392018756593,56.213988731648165
RPL13,7.332021691403217e-54,1.6274561127630437e-91,53.13477625887038,90.78849071412188
GSTM2,4.0867183415703125e-53,1.7524212665107135e-57,52.38862529302415,56.756361485080596
SPOCK2,6.604505841358941e-53,6.896586351874797e-58,52.18015967137262,57.16136582163837
HLA-DPA1,5.2713958940755644e-52,5.49681224584332e-51,51.27807436603586,50.259889096941265
TIMD4,5.347907043635585e-51,8.606994817277783e-57,50.271816150173514,56.06514845854571
LIMA1,1.6788660274216054e-48,3.678830343993424e-47,47.774983958938165,46.434290239993395
LAIR2,1.153819677713633e-47,1.6872966047826957e-47,46.93786205867865,46.7728085673825
BMS1P6,8.771710385362267e-46,2.509169407600686e-47,45.05691571581296,46.60047001612562
LAIR1,1.2046432401430776e-45,4.434546161202011e-50,44.91914155207487,49.353150819974545
HLA-DPB1,4.0569265886080325e-45,8.146524378371199e-44,44.39180285092296,43.089027638529004
RGS1,6.86172940181626e-45,1.2581316924824708e-42,44.16356641271751,41.900273897583084
BMS1P7,2.3222812355830285e-44,6.292981667195368e-40,43.63408518698082,39.2011435334436
RP11-144G6.12,7.484764980527143e-44,6.771957435921958e-40,43.125821831828965,39.169285780244486
AGAP10,6.760576056894567e-42,8.872181866729258e-34,41.17001629700635,33.05196956436708
CD7,1.4004063187997678e-41,7.974634317461912e-44,40.85374593831426,43.09828922269707
GZMA,1.814907907139018e-41,3.501554972164491e-46,40.74114540723176,45.455739051117995
IL5,2.176145701273659e-40,6.651967365687835e-41,39.6623120303246,40.17704989008037
SELL,3.5032228088824187e-40,1.203419701407777e-42,39.455532240189896,41.919582882870415
TIGIT,1.1086327412724651e-39,2.70535365720245e-37,38.955212299526714,36.5677759537249
PAX8-AS1,1.3794292713395507e-39,1.4940205554969478e-45,38.86030056256749,44.82564342723449
HLA-DRB5,7.395541609626286e-39,4.12815357458424e-36,38.13103001511418,35.384244154560626
EOMES,1.4793105253536252e-38,1.5140467422299246e-46,37.82994065271558,45.81986071692368
AE000661.37,2.3953234074572178e-35,2.8116617064989546e-39,34.62063584150125,38.55103693395055
AGAP9,3.3871465206108847e-35,5.684717446587652e-31,34.470166016311836,30.245291116629264
RCBTB2,1.0137045303901743e-34,2.451717445588676e-37,33.9940886125771,36.610529582641604
CD44,1.2265319405457557e-34,1.0975499573772947e-31,33.91132113769636,30.959575702776494
RPS20,4.064768113089396e-34,4.903882322588957e-17,33.39096422499691,16.309459960036023
CTGLF12P,5.175567888226135e-34,2.7768677767007687e-32,33.28604199037506,31.556444799117717
HLA-DRB1,5.24750946636467e-34,1.5078418461463717e-32,33.2800467692894,31.821644208166454
IL4,1.1999675442384646e-33,1.4893932821971653e-34,32.92083050024301,33.82699060934271
HS3ST3B1,3.1337920065829527e-33,2.3702169062424306e-40,32.50392983154034,39.62521190847356
RPS9,3.753674334061862e-33,6.154630087577283e-18,32.42554340914011,17.210798044398253
RNF125,7.814143454060938e-32,6.60059169666688e-26,31.107118620147936,25.180417131264306
CD226,2.2768460310089185e-31,1.6722346304140646e-36,30.64266633703707,35.77670278697768
CST7,3.3778461298847566e-31,2.1522809132767334e-27,30.471360137614028,26.66710104568035
PPAP2A,4.6203137843229335e-31,9.130191468088194e-31,30.33532852873557,30.03952011483566
CD8A,1.134738051751783e-29,1.3173551167405521e-34,28.945104381473932,33.88029713737543
NDFIP2,3.513678519317688e-29,1.0396914789334968e-32,28.45423797638462,31.983095515388634
TMSB10,6.477711685471785e-29,2.304554256718768e-12,28.18857838577863,11.637413062711435
HMOX1,1.0775800193876582e-28,8.074784077545217e-30,27.96755046994852,29.09286908202279
HOMER2,1.264982200145826e-28,2.618775616882498e-29,27.89791558550226,28.58190171139701
AC092580.4,1.6442586933416003e-28,9.201654663533519e-27,27.78402985330918,26.036134069760212
MAL,2.493116770629263e-28,3.5757340757398533e-28,27.60325737987878,27.44663478678135
RPL4P1,2.714988267159687e-28,1.451782178200145e-32,27.566232042877644,31.838098539215846
EPAS1,1.6504589109184894e-27,2.104506789608689e-28,26.782395283198856,27.676849668782754
GAB2,2.2567653334593224e-27,9.472831019965412e-28,26.64651359806988,27.02352020973916
S100A10,3.051999318444161e-27,8.839880997738666e-32,26.51541556770142,31.053553581409247
GPR183,3.633037471372617e-27,6.031838939240965e-29,26.439730122774105,28.219550263413606
RAB6B,9.767431420296284e-27,4.083501586303645e-32,26.0102196293882,31.38896727136658
MGAT4A,1.8105053513766559e-26,1.4271694437894168e-29,25.742200187185045,28.845524461269314
LGALS3,3.244689128043712e-26,8.317332353665677e-27,25.488826906396003,26.080015944124504
CCL3,4.5541408249274316e-26,3.557682883760118e-25,25.34159354408906,24.448832765631206
RPL12,6.247037747791185e-26,1.7892795435213782e-12,25.204325869817083,11.747321803242212
TMSB4X,1.2746394812108632e-25,0.023858756367973414,24.89461263363078,1.6223521975727506
FADS2,2.1708460147987915e-25,3.943150773356124e-27,24.663370981379735,26.40415661659031
FXYD5,2.8246206473459752e-25,7.127755317439378e-27,24.549039870615175,26.147047217235745
CAPG,3.3934451951457954e-25,3.436068374443819e-27,24.469359160363176,26.463938202713845
CLIC3,7.007191278732613e-25,1.879426805237444e-23,24.154456027195415,22.725974583331638
INPP4B,1.0231188275224493e-24,5.668769779029059e-26,23.990073923335395,25.246511180286777
GPR56,5.268238336664185e-24,2.9158375217331503e-27,23.278334585654694,26.53523667973015
TFEC,7.624863951220815e-24,1.084014416767329e-24,23.117767900933465,23.964964941892777
TIMP1,1.1102892161595601e-23,5.602060841405389e-25,22.954563878311085,24.251652178814282
RPL28,1.7204880619154687e-23,2.6365765560975915e-17,22.764348336505545,16.578959613898974
PTPRK,1.8985834590956578e-23,6.962169288480344e-27,22.72157030712148,26.157255420845036
