,num_sigpeaks
DGKZ,3.0
IGFBP3,3.0
ABCB1,3.0
GNLY,3.0
DPP4,3.0
RAB3GAP1,3.0
IFNGR1,3.0
HIVEP2,3.0
GALNT2,3.0
AC005083.1,3.0
PIK3AP1,3.0
ENTPD1,3.0
KIAA1217,3.0
MYO1D,3.0
PDGFRB,3.0
KLF2,3.0
GPR132,3.0
TBKBP1,3.0
PACS2,3.0
AKAP5,3.0
RPL13A,3.0
IFI44,3.0
ITGA1,3.0
KLRC1,3.0
SKI,3.0
RCAN1,3.0
TEKT4P2,3.0
RHOH,3.0
IL13,3.0
AC006369.2,3.0
TBC1D31,3.0
ITK,3.0
CPPED1,3.0
RASA3,3.0
CCL4,3.0
HDGFRP3,3.0
GMDS,3.0
LAYN,3.0
FGFR1,3.0
MFSD10,3.0
RP11-288E14.2,3.0
ADAM19,3.0
CAMK1D,4.0
MACC1,4.0
IL4,4.0
CD70,4.0
IL12RB1,4.0
CSF2,4.0
AOAH,4.0
FAM49A,4.0
RASGEF1A,4.0
CD86,4.0
DDB2,5.0
ACTB,5.0
AFAP1L2,5.0
KIR2DL4,5.0
KLRD1,5.0
ZFHX3,6.0
HDAC9,6.0
CADM1,6.0
SLC4A10,7.0
DOCK5,7.0
GPR141,7.0
APBB2,9.0
PIP5K1B,9.0
