obs_names,GNLY,Clone,CloneNo,Obs
P9855_2064,6.443704,P2_G01,0,P9855_2064
P9855_2065,6.977074,P2_G01,0,P9855_2065
P9855_2066,8.026063,P2_G01,0,P9855_2066
P9855_2052,7.3438816,P2_B11,1,P9855_2052
P9855_2054,7.2489934,P2_B11,1,P9855_2054
P9855_2053,7.0203314,P2_B11,1,P9855_2053
P9855_2004,7.3097334,P1_A05,2,P9855_2004
P9855_2005,7.911331,P1_A05,2,P9855_2005
P9855_2006,7.1920714,P1_A05,2,P9855_2006
P9855_2027,7.8658795,P1_H10,3,P9855_2027
P9855_2026,8.159374,P1_H10,3,P9855_2026
P9855_2025,8.232272,P1_H10,3,P9855_2025
P9855_2010,8.483485,P1_D09,4,P9855_2010
P9855_2011,9.299441,P1_D09,4,P9855_2011
P9855_2012,9.28112,P1_D09,4,P9855_2012
P9855_2024,9.064837,P1_H01,5,P9855_2024
P9855_2023,9.022853,P1_H01,5,P9855_2023
P9855_2022,9.07566,P1_H01,5,P9855_2022
P9855_2077,9.588153,P2_H05,6,P9855_2077
P9855_2076,9.205627,P2_H05,6,P9855_2076
P9855_2078,9.233017,P2_H05,6,P9855_2078
P9855_2073,9.466087,P2_H04,7,P9855_2073
P9855_2074,9.311347,P2_H04,7,P9855_2074
P9855_2075,9.915683,P2_H04,7,P9855_2075
P9855_2034,9.691482,P1_C11,8,P9855_2034
P9855_2035,9.622529,P1_C11,8,P9855_2035
P9855_2036,9.514831,P1_C11,8,P9855_2036
P9855_2021,9.689879,P1_F10,9,P9855_2021
P9855_2020,9.789421,P1_F10,9,P9855_2020
P9855_2019,9.936352,P1_F10,9,P9855_2019
P9855_2069,9.785911,P2_G09,10,P9855_2069
P9855_2068,9.857247,P2_G09,10,P9855_2068
P9855_2067,10.055545,P2_G09,10,P9855_2067
P9855_2030,10.167098,P1_A08,11,P9855_2030
P9855_2029,9.800562,P1_A08,11,P9855_2029
P9855_2028,9.943441,P1_A08,11,P9855_2028
P9855_2033,9.874696,P1_B10,12,P9855_2033
P9855_2032,10.13776,P1_B10,12,P9855_2032
P9855_2031,10.191595,P1_B10,12,P9855_2031
P9855_2009,10.049812,P1_A12,13,P9855_2009
P9855_2008,10.195703,P1_A12,13,P9855_2008
P9855_2007,10.012955,P1_A12,13,P9855_2007
P9855_2050,10.146939,P2_A04,14,P9855_2050
P9855_2049,10.194036,P2_A04,14,P9855_2049
P9855_2051,9.985079,P2_A04,14,P9855_2051
P9855_2003,10.514511,P1_A03,15,P9855_2003
P9855_2002,10.460202,P1_A03,15,P9855_2002
P9855_2001,10.248323,P1_A03,15,P9855_2001
