,promoter_R_sq,num_eig,num_peaks,num_sigpeaks,eigen0_R_sq,eigen1_R_sq,eigen2_R_sq,eigen3_R_sq,eigen4_R_sq,eigen5_R_sq,eigen6_R_sq,eigen7_R_sq,eigen8_R_sq,eigen9_R_sq,eigen10_R_sq,eigen11_R_sq,eigen12_R_sq,eigen13_R_sq,eigen14_R_sq
WASH7P,0,0,2.0,0.0,,,,,,,,,,,,,,,
AL627309.1,0,0,0.0,0.0,,,,,,,,,,,,,,,
RP11-34P13.13,0,0,0.0,0.0,,,,,,,,,,,,,,,
MTND2P28,0,0,0.0,0.0,,,,,,,,,,,,,,,
hsa-mir-6723,0,0,0.0,0.0,,,,,,,,,,,,,,,
RP5-857K21.7,0,0,0.0,0.0,,,,,,,,,,,,,,,
MTATP8P1,0,0,0.0,0.0,,,,,,,,,,,,,,,
MTATP6P1,0,0,0.0,0.0,,,,,,,,,,,,,,,
RP5-857K21.11,0,0,0.0,0.0,,,,,,,,,,,,,,,
RP11-206L10.9,0.011949923820793629,0,1.0,0.0,,,,,,,,,,,,,,,
FAM87B,0.03012731298804283,0,2.0,0.0,0.08583210085937783,,,,,,,,,,,,,,
LINC00115,0,1,3.0,1.0,0.20808791266163934,0.026153161967170734,0.0005425222783738929,,,,,,,,,,,,
LINC01128,0.15226243436336517,1,4.0,1.0,0.35556088491962484,0.05274679870111076,,,,,,,,,,,,,
NOC2L,0,0,2.0,0.0,,,,,,,,,,,,,,,
KLHL17,0.010804741643369198,0,3.0,0.0,0.058335940882553325,,,,,,,,,,,,,,
ISG15,0,0,3.0,0.0,0.13949869447634222,0.0027204877056389637,,,,,,,,,,,,,
RP11-465B22.3,0.3387598991394043,1,3.0,2.0,0.42964478164814196,0.08831571053307026,0.007133365438325654,,,,,,,,,,,,
TNFRSF18,0.07625550776720047,1,7.0,1.0,0.4770541870469267,0.08959253246256875,0.025622977367437398,0.015560519474496066,,,,,,,,,,,
TNFRSF4,0,1,6.0,0.0,0.2417581323080138,0.016818037801756298,0.012729561540074506,0.0011268744921212243,,,,,,,,,,,
SDF4,0.00102791388053447,1,6.0,0.0,0.20011542443434074,0.00041010737644080403,,,,,,,,,,,,,
B3GALT6,0,0,6.0,0.0,0.1898634610776467,0.08693380465998479,0.013384816647945988,,,,,,,,,,,,
UBE2J2,0.0008991787326522171,1,10.0,1.0,0.3124755551950464,0.05793980304609463,0.03285830571740043,,,,,,,,,,,,
ACAP3,0.04331311210989952,1,10.0,2.0,0.34561267490074643,0.08066323611629705,0.003949554696762156,,,,,,,,,,,,
PUSL1,0.07304535061120987,1,9.0,2.0,0.4757616513624611,0.1820527942321189,0.09233797091591348,0.06410679041117981,0.03700935194460306,0.023926023981794647,,,,,,,,,
CPSF3L,0.04732256755232811,0,10.0,0.0,0.14563451994367207,0.037771415575666996,0.01288835025064914,,,,,,,,,,,,
GLTPD1,0,0,8.0,0.0,0.07437807492915359,,,,,,,,,,,,,,
AURKAIP1,0,1,3.0,1.0,0.23883395704504987,0.03055733548294318,,,,,,,,,,,,,
CCNL2,0.023068221285939217,0,5.0,0.0,0.12114613830023868,,,,,,,,,,,,,,
RP4-758J18.2,0,1,4.0,1.0,0.2759344258425711,,,,,,,,,,,,,,
MRPL20,0.000596574682276696,0,4.0,0.0,0.0961241214179518,,,,,,,,,,,,,,
ATAD3B,0,0,3.0,0.0,,,,,,,,,,,,,,,
ATAD3A,0,0,3.0,0.0,,,,,,,,,,,,,,,
SSU72,0,0,6.0,0.0,0.06648736560215371,,,,,,,,,,,,,,
MIB2,0.24342459440231323,1,4.0,1.0,0.24342454762876697,,,,,,,,,,,,,,
CDK11B,0.0886564776301384,0,4.0,0.0,0.1160346857155945,0.10138844697895366,0.04505458237480492,0.002359636655861771,,,,,,,,,,,
SLC35E2B,0.003449637209996581,0,6.0,1.0,0.1445059348537314,0.12046767904179927,0.08902069113765185,,,,,,,,,,,,
CDK11A,0.015533172525465488,0,6.0,0.0,0.1937824286841756,0.05598380874559121,0.0017740459631127809,,,,,,,,,,,,
SLC35E2,0,1,6.0,1.0,0.2800472147068152,0.18201574458537909,0.01908608627537554,0.007663043763220509,0.006535774888812621,,,,,,,,,,
NADK,0.04145078361034393,0,3.0,0.0,,,,,,,,,,,,,,,
GNB1,0.0016596188070252538,0,8.0,0.0,0.10421425519851521,,,,,,,,,,,,,,
PRKCZ,0.08743763715028763,0,9.0,0.0,0.1665963241822857,0.028762249100797076,0.006502998861401677,,,,,,,,,,,,
C1orf86,0.07904863357543945,0,11.0,0.0,0.17060145301429144,0.03712011900534229,0.018994228679971834,0.0007688519303136286,,,,,,,,,,,
SKI,0.28984662890434265,2,15.0,4.0,0.37306998982835776,0.3029809305408673,0.01786530135984847,0.016105651791606636,0.003341662537003469,0.0030332289267911085,,,,,,,,,
MORN1,0,0,5.0,0.0,0.09707415717450504,0.005632064614151396,,,,,,,,,,,,,
RER1,0,0,3.0,0.0,0.17229429491531315,,,,,,,,,,,,,,
PLCH2,0.005957010667771101,1,10.0,1.0,0.3999054016491693,0.07020197294992882,0.014525840284455102,,,,,,,,,,,,
PANK4,0,0,3.0,0.0,0.05877562771970568,,,,,,,,,,,,,,
RP3-395M20.8,0,0,2.0,0.0,,,,,,,,,,,,,,,
TNFRSF14,0.09884585440158844,0,3.0,0.0,0.11196107881436897,0.004490346768997486,,,,,,,,,,,,,
FAM213B,0.0025916413869708776,0,5.0,0.0,0.15885096379302768,0.019525002441856558,,,,,,,,,,,,,
TPRG1L,0.1617090404033661,1,3.0,1.0,0.3798484740612328,0.009898391069655104,,,,,,,,,,,,,
