PeakID,clonal_p,quality_p,max_height,itype,gene,gene_clonality
Interval_77062,0.04566176198065264,0.15255179570809085,23.36156,intron,PTBP3,0.9971216061598662
Interval_48454,0.5402468706536857,0.6731571627260083,21.518496,intron,SLC4A7,0.5320063447155203
Interval_27763,0.024385690616759215,0.10776152980877385,55.443855,promoter-TSS,ZFP90,0.0413507104913551
Interval_72287,0.042714570858282896,0.38588277989475595,226.68549,promoter-TSS,LSM1,0.026119291043628163
Interval_267,0.0017465862178475122,0.5065100031756113,15.800482,intron,CAMTA1,0.7376125934138419
Interval_49328,0.021157684630737972,0.4370168753402286,269.87604,promoter-TSS,GNAI2,0.224455018037002
Interval_315,0.01338664812239243,0.4878303198887344,15.029469,intron,RERE,0.7780187644192962
Interval_61579,0.17213861782292705,0.28952465404989147,28.390247,intron,STK10,0.3234723408314893
Interval_57971,0.0017465862178475122,1.0,34.070946,intron,SUB1,0.13064727206144489
Interval_63840,0.03799033906610949,0.30317772778402696,63.318573,promoter-TSS,CLIC5,0.04430132978211655
Interval_24148,0.0027106949236080924,0.17249876786594387,17.19026,intron,SHC4,0.4256165193541633
Interval_51334,0.11297405189620768,0.39760479041916164,250.60577,promoter-TSS,CEP63,0.91429646222753
Interval_4337,0.04303465445573207,0.15737521293725065,28.089745,promoter-TSS,ADAR,0.335371883418543
Interval_34847,0.0455089820359279,0.7308655416439848,260.33835,promoter-TSS,HAUS8,0.006149585835393204
Interval_8004,0.06505667816658445,0.5266140956136027,16.138868,intron,PIP4K2A,0.07881481845455965
Interval_4855,0.09541708833309215,0.3658233338152378,130.01393,promoter-TSS,CREG1,0.3697386783474201
Interval_42462,0.10239032620922328,0.27061304836895383,71.038155,intron,TMBIM1,0.125496970266738
Interval_65945,0.0009561891515998955,0.27497187851518556,39.534954,promoter-TSS,PDE7B,0.1859828098280799
Interval_16663,0.2327345309381238,0.18377789874795858,193.60896,promoter-TSS,CNPY2,0.11070141457145032
Interval_21875,0.009898762654668603,0.6349573514529421,64.58014,intron,PRKCH,0.30324302827199184
Interval_8936,0.35240711291022064,0.28344658088766805,130.68839,exon,ADO,0.5203895718956704
Interval_29988,0.06403262092238504,0.9805117825646956,88.79737,exon,RP11-94L15.2,0.003147556140360538
Interval_54879,0.03542342426434575,0.7094206974128234,50.209812,intron,ANTXR2,0.17365950271817182
Interval_73603,0.01721140472878957,0.15020862308762173,22.700842,intron,YWHAZ,0.3400743065555309
Interval_15204,0.02710694923607726,0.8457368161655988,18.24433,TTS,KLRG1,0.03479235698168223
Interval_41957,0.18430448276666722,0.19893138357705287,47.465397,intron,NIF3L1,0.41096564688990445
Interval_4353,0.24990019960079835,0.16897114861186713,229.66393,intron,PBXIP1,0.0035720535576947215
Interval_31557,0.12311586051743517,0.3580164811334393,88.773186,promoter-TSS,RNF157,0.7942956868065661
Interval_7325,0.15921883974727158,0.22251579551981615,321.95886,promoter-TSS,IDI1,0.27702742549323045
Interval_25279,0.31351691931359094,0.9813943145176235,20.616266,intron,ZFAND6,0.7604275672310948
Interval_5131,0.00758184951177443,0.8691099476439791,376.12033,promoter-TSS,CACYBP,0.004798373768613675
Interval_15551,0.0012230829101962382,0.14473147770653427,30.484528,intron,AEBP2,0.12431130444345309
Interval_53592,0.01940147462772901,0.5654474483157439,158.26523,promoter-TSS,ZNF518B,0.761754085400007
Interval_925,0.0197195315888391,0.42645655631053925,117.7632,promoter-TSS,GALE,0.2884349980847951
Interval_58122,0.0038247566063983607,0.11030945757997224,38.261917,intron,FYB,0.2961868952292078
Interval_28913,0.020991759433280688,0.31129102211941595,148.16165,promoter-TSS,PHF23,0.7320482263647693
Interval_33538,0.2375357256271835,0.26738647189583997,17.932077,intron,ZNF407,0.6523543631366687
Interval_6372,0.49493813273340814,0.2754662425907185,84.28078,promoter-TSS,NSL1,0.9267852883165378
Interval_68528,0.002853860123790408,0.9358037943667887,21.564522,intron,COA1,0.02107511220955675
Interval_37745,0.002868567454798465,0.13065020862308763,20.870136,intron,GALM,0.00828056072079817
Interval_40412,0.13372373151476957,0.276305548348838,21.990685,intron,GTDC1,0.6004988229374342
Interval_24633,0.0025272831705914767,0.1036186099942562,284.61057,promoter-TSS,PPIB,7.008110433249669e-08
