,TSS R2,Enhancer R2
MTND2P28,0.0,0.0
hsa-mir-6723,0.0,0.0
MTATP6P1,0.0,0.0
RP11-206L10.9,0.011958221904933453,0.0
LINC01128,0.15223966538906097,0.004325969144701958
NOC2L,0.0003044760669581592,0.18574441969394684
ISG15,0.0,0.2917782962322235
RP11-465B22.3,0.33873602747917175,0.35010603070259094
TNFRSF18,0.0,0.39338418841362
TNFRSF4,0.0,0.19888849556446075
SDF4,0.0010341135784983635,0.07468506693840027
UBE2J2,0.000900043232832104,0.22782276570796967
PUSL1,0.07302829623222351,0.40402400493621826
CPSF3L,0.0008752356516197324,0.08833564817905426
AURKAIP1,0.006276770029217005,0.2631801962852478
CCNL2,0.023040983825922012,0.12095598131418228
RP4-758J18.2,0.0,0.04398159682750702
MRPL20,0.0006070616655051708,0.0966150313615799
SSU72,0.002376464195549488,0.06671378016471863
CDK11B,0.08837191760540009,0.0868380069732666
SLC35E2B,0.0034184581600129604,0.2584235668182373
CDK11A,0.015543537214398384,0.04692644998431206
SLC35E2,0.01057460531592369,0.07490026950836182
NADK,0.0438406728208065,0.037629857659339905
GNB1,0.0016776599222794175,0.10408347845077515
PRKCZ,0.08746320754289627,0.0014261819887906313
C1orf86,0.07909493893384933,0.1764717400074005
RER1,0.010531226173043251,0.17208939790725708
PANK4,0.027094392105937004,0.011513217352330685
RP3-395M20.8,0.0,0.05261630564928055
TNFRSF14,0.0989314392209053,0.5060287117958069
FAM213B,0.0026231799274683,0.027182577177882195
TPRG1L,0.1616322547197342,0.0
WRAP73,0.11882796138525009,0.1288207769393921
LRRC47,0.045926228165626526,0.0
CEP104,0.0,0.02201036736369133
C1orf174,0.03166807442903519,0.0
KCNAB2,0.053516749292612076,0.26347872614860535
RPL22,0.017134016379714012,0.029445352032780647
RNF207,0.0051050796173512936,0.21089544892311096
ICMT,0.29157447814941406,0.19205157458782196
ACOT7,0.14735187590122223,0.19577257335186005
TNFRSF25,0.2986973822116852,0.5016206502914429
NOL9,0.08812305331230164,0.07190948724746704
ZBTB48,0.0036215782165527344,0.06485787034034729
KLHL21,0.00023757008602842689,0.03781192749738693
THAP3,0.0,0.4323403835296631
DNAJC11,4.9999864131677896e-05,0.12581922113895416
CAMTA1,0.0,0.36331799626350403
VAMP3,0.06132430583238602,0.08913630992174149
PER3,0.33061081171035767,0.0004554656916297972
TNFRSF9,0.0,0.09718623757362366
PARK7,0.17400279641151428,0.038944244384765625
RERE,0.006456927862018347,0.28044062852859497
RP5-1115A15.1,0.23729756474494934,0.3186480402946472
