Clone_ID,Interval_42078,Interval_42077,Interval_42075,Interval_42084,Interval_42081,Interval_42072,Interval_42082
P1_A03,-0.21602081,0.40204966,-1.7676879,0.88598144,0.610643,-0.021174947,0.46344113
P1_A05,-0.035127137,-0.25033727,0.9402894,-0.9144662,0.5277177,-0.25046656,0.020902293
P1_A08,-1.0159706,-0.025923723,-0.32788175,0.058009394,0.36825603,0.2235597,-1.633928
P1_A12,-1.0159706,0.122815035,0.6655211,-1.1911823,0.23490392,0.12934868,-1.637437
P1_B10,0.38738102,-0.2901036,-0.4723812,-0.44253844,-1.0432416,-0.42957118,-0.11520274
P1_C11,0.8019542,0.135674,1.1266307,0.3209942,0.45360118,0.49468997,0.108720556
P1_D09,-0.23812093,1.8775148,-0.47292477,2.3777964,0.942498,1.3408158,1.7151766
P1_F10,-0.6191121,-0.033941172,-0.8540097,-1.6221007,-0.23880687,-2.4268172,0.6550467
P1_H01,1.2470926,0.31799814,1.0762223,0.16821821,0.8729128,0.5897913,0.86342543
P1_H10,-0.5455126,-1.8480716,0.6175896,-0.7520246,-1.0066772,0.39261535,-0.87169546
P2_A04,2.1983812,1.1303748,1.2928836,0.88560474,1.6000483,1.3712298,0.97888285
P2_B11,1.6087495,1.1219771,1.4184756,0.07220761,-1.835997,-0.87012684,0.6277496
P2_G01,0.035535708,0.5399822,-0.7691659,0.6017641,0.81758904,0.5548489,0.58682233
P2_G09,-0.56131876,-0.6463769,-1.1308575,0.66213983,-0.14257266,-1.7523412,0.27756694
P2_H04,-1.0159706,-0.53245836,-0.6780004,-0.020341747,-1.8513167,0.4318802,-0.43704212
P2_H05,-1.0159706,-2.0211835,-0.66471595,-1.0900425,-0.3095673,0.22171572,-1.6024376
