Clone_ID,Interval_15297,Interval_15296,Interval_15295,Interval_15289,Interval_15299,Interval_15290,Interval_15298,Interval_15294
P1_A03,0.9398484,0.14297582,1.0380938,0.49340743,1.3199166,-0.32642213,-0.23916027,0.044082116
P1_A05,0.63988554,-0.03800062,-0.7070285,-0.4225416,-0.58998436,-0.86665297,-0.50821316,1.8376185
P1_A08,1.0887232,1.9839805,1.4847091,1.242185,0.9535274,1.6617857,-0.50821316,0.2742466
P1_A12,-0.09796552,0.027400378,-0.46710646,0.6914824,-0.81678843,-0.050886083,-0.50821316,1.2850958
P1_B10,-0.26135528,-0.6760355,0.25223953,-0.89634764,0.5848631,-0.48616424,-0.50821316,0.19015807
P1_C11,0.60743105,1.4341816,0.7476355,1.4189669,0.9248506,0.96278733,2.910319,-0.51538926
P1_D09,-2.0793915,-0.6761202,-1.3867528,-2.5055912,-2.2626717,-2.2138429,-0.50821316,-2.3609204
P1_F10,0.62663656,-0.6567437,0.9010198,0.7549059,1.1535757,1.0767125,0.08696918,1.1517274
P1_H01,0.20372121,0.9599732,-0.40074462,0.43979284,-0.07430427,-0.2168749,1.9509577,-0.045676433
P1_H10,-0.6481379,-0.8057881,-1.0819958,-0.6506962,-0.31917048,-0.49516305,-0.50821316,-0.9792844
P2_A04,-2.0553894,-1.7342794,-1.927263,-0.6965996,-1.001829,-0.38426444,-0.50821316,-0.5480821
P2_B11,0.6664865,0.48530313,1.1333691,0.7607739,-0.015349542,1.2020247,0.24423312,-0.69438565
P2_G01,-0.060128268,0.36298645,0.011388867,-0.10401423,0.7144023,1.0216062,0.128812,-0.09500406
P2_G09,1.3023777,0.81350607,0.9231578,0.33868086,0.81908256,-0.56811386,-0.50821316,0.28535908
P2_H04,-0.70788056,-1.4089876,0.14231731,0.16448843,-0.23311916,0.4948982,-0.50821316,-0.56426257
P2_H05,-0.1648624,-0.21435437,-0.6630487,-1.028897,-1.1569998,-0.8114279,-0.50821316,0.73473
