Clone_ID,Interval_58734,Interval_58732,Interval_58739,Interval_58760
P1_A03,5.05562,4.251569,3.1991735,5.2963076
P1_A05,5.145208,4.1959105,2.9274268,5.205187
P1_A08,4.879703,3.8603451,2.9289153,4.695535
P1_A12,5.283471,4.348436,3.3260524,5.5486884
P1_B10,5.0733953,4.183001,3.2272751,5.2290564
P1_C11,5.171324,3.7713048,3.1516979,5.08443
P1_D09,5.143736,4.0670185,2.841349,5.325084
P1_F10,5.0409884,3.5078936,2.782267,5.2918553
P1_H01,4.961492,3.837458,2.2858381,5.500556
P1_H10,4.760674,3.3183804,1.9727433,4.8765607
P2_A04,5.1979923,3.698401,2.1285238,5.516291
P2_B11,4.805861,3.4362826,1.0576003,5.097257
P2_G01,4.9797435,4.293449,2.5083096,5.4068203
P2_G09,5.0372562,3.9979086,2.7607043,5.512822
P2_H04,4.852191,3.9747062,2.1184652,5.2866516
P2_H05,5.0814133,3.84731,2.7753854,5.3427033
