Clone_ID,Interval_58734,Interval_58732,Interval_58739,Interval_58760
P1_A03,0.17740351,1.0887613,0.9694134,0.13925058
P1_A05,0.7830583,0.91038984,0.511019,-0.24737023
P1_A08,-1.011879,-0.16501544,0.5135298,-2.4097974
P1_A12,1.7177826,1.3991967,1.1834385,1.2100903
P1_B10,0.29757124,0.8690183,1.0168165,-0.14609303
P1_C11,0.959614,-0.45036787,0.88932943,-0.75973475
P1_D09,0.77310693,0.4973225,0.3658189,0.2613485
P1_F10,0.07848603,-1.294537,0.2661571,0.12035999
P1_H01,-0.4589468,-0.23836344,-0.5712415,1.0058668
P1_H10,-1.8165711,-1.9018807,-1.099384,-1.641715
P2_A04,1.1399059,-0.68400705,-0.8366063,1.0726303
P2_B11,-1.5110857,-1.5240326,-2.643088,-0.70531076
P2_G01,-0.33555865,1.2229769,-0.19596666,0.6081508
P2_G09,0.05325458,0.275842,0.22978397,1.0579115
P2_H04,-1.1978735,0.2014839,-0.8535737,0.09828084
P2_H05,0.3517768,-0.20678963,0.2545487,0.3361056
