Clone_ID,Interval_69611,Interval_69614,Interval_69613
P1_A03,4.5952215,3.1806335,2.838633
P1_A05,4.4831553,3.0178583,2.827997
P1_A08,4.362711,2.9289153,2.9289153
P1_A12,4.5636272,2.7373495,2.5939312
P1_B10,4.4030895,3.6548402,2.205004
P1_C11,4.318439,2.531603,2.3281474
P1_D09,4.155162,2.6065676,2.1008153
P1_F10,4.723845,2.2981339,2.6931279
P1_H01,4.5351334,2.4005218,2.5640342
P1_H10,4.4539275,2.4204972,2.534535
P2_A04,4.8115005,1.7650198,3.0202508
P2_B11,4.7005553,2.0252604,2.4280708
P2_G01,4.8293185,2.4451146,2.865059
P2_G09,4.585928,2.7072594,3.2774386
P2_H04,4.7525997,2.056179,2.256586
P2_H05,4.886592,2.587881,2.6175628
