Clone_ID,Interval_69611,Interval_69614,Interval_69613
P1_A03,0.110702194,1.2742956,0.64906925
P1_A05,-0.43651053,0.92592186,0.6159787
P1_A08,-1.0246327,0.73556495,0.9299514
P1_A12,-0.043570723,0.32557347,-0.112236865
P1_B10,-0.82746655,2.2891986,-1.3222508
P1_C11,-1.2408099,-0.1147676,-0.9391322
P1_D09,-2.0380821,0.04567242,-1.6463983
P1_F10,0.7387628,-0.61444145,0.19637965
P1_H01,-0.1827046,-0.39530957,-0.20525107
P1_H10,-0.57922775,-0.3525579,-0.29702803
P2_A04,1.1667794,-1.7554189,1.2141107
P2_B11,0.6250407,-1.1984485,-0.6282548
P2_G01,1.2537835,-0.29987136,0.7312842
P2_G09,0.065322325,0.2611743,2.0142627
P2_H04,0.8791703,-1.1322762,-1.1617708
P2_H05,1.533446,0.0056792656,-0.03871531
