gene_name,F_pval,highly_variable_rank,on_ratio
SH3BGRL3,1.5565301098254711e-18,,1.0
ARPC2,0.01407812305156566,,1.0
MALAT1,1.7957210987012757e-32,,1.0
IL32,2.5761890313838343e-36,,1.0
ACTB,6.980958576675493e-22,1388.0,1.0
FTL,1.4652445839390654e-24,,1.0
CCL5,7.560385833442546e-25,864.0,1.0
RPS19,5.250425127842533e-08,,1.0
MYL12A,0.0011358298475083106,,1.0
MT-CYB,1.2739986843791523e-13,,1.0
MYL6,5.5116381319640345e-05,,1.0
AC010970.2,4.2362935752760166e-43,,1.0
PFN1,3.3322633971300194e-12,,1.0
TMSB4X,1.878147440583985e-05,,1.0
RPS26,0.00399224587937531,,1.0
MT-RNR2,1.8428579262634444e-08,,1.0
MT-CO2,6.2140258422076246e-12,,1.0
MT-CO3,0.00039774454936654244,,1.0
B2M,3.50450315002284e-27,,1.0
RPS27,7.196005846672901e-05,,1.0
MT-ND4L,8.885441338050805e-12,,1.0
SERF2,0.009542671278507575,,1.0
MTATP6P1,8.537575946037385e-08,,1.0
SRP14,0.017324033805039645,,1.0
APOBEC3C,3.891920127142922e-15,,1.0
HNRNPH1,5.7000832470706816e-11,,1.0
MT-ND4,8.00691057081307e-09,,1.0
MT-ATP6,1.5513630409220841e-06,,1.0
MT-CO1,1.4370278011300714e-05,,1.0
RPLP1,0.014817320110120246,,0.9971590909090909
HNRNPL,4.7224431282683735e-06,,0.9971590909090909
GZMB,9.077658830026077e-14,53.0,0.9971590909090909
TMSB4XP8,3.961353709730309e-06,,0.9971590909090909
RPL7,0.15937751026292,,0.9971590909090909
CAPZA1,3.779846954600446e-05,,0.9971590909090909
H3F3B,0.0010085018310070357,,0.9971590909090909
MT-ATP8,0.00021663535326243204,,0.9971590909090909
EIF5A,3.413819506119664e-05,,0.9971590909090909
CD3D,4.777674286336677e-05,,0.9971590909090909
UBB,0.6368552677025647,,0.9971590909090909
TMSB4XP1,3.550384219179799e-05,,0.9971590909090909
MT-RNR1,1.0145809252341158e-06,,0.9971590909090909
MT-TE,1.2937186660315655e-13,,0.9971590909090909
ARHGDIB,1.7941682432479558e-06,,0.9971590909090909
GNLY,0.00021402362270923024,6149.0,0.9943181818181818
STK17B,2.525080793113103e-12,4986.0,0.9943181818181818
PFN1P1,7.705654707819642e-14,,0.9943181818181818
SON,0.5246525104956858,,0.9943181818181818
RPL41,0.03331837636752325,,0.9943181818181818
IL2RG,0.03413969073433443,,0.9943181818181818
TMSB10,4.782530242327445e-17,1896.0,0.9943181818181818
NKG7,6.736310376108289e-19,6622.0,0.9914772727272727
RP11-217O12.1,1.8145346546939495e-26,,0.9914772727272727
AC092580.4,1.0715861502421772e-17,,0.9914772727272727
ARF6,0.0071026544332702885,,0.9914772727272727
CD3G,1.6542918952028383e-14,,0.9914772727272727
SRGN,5.134052347429632e-19,7027.0,0.9914772727272727
SET,0.04052031725196278,,0.9914772727272727
MT-ND5,2.4408230757750907e-08,,0.9914772727272727
CD2,1.899148424419367e-37,,0.9914772727272727
RPS14,0.007657604171467515,,0.9886363636363636
RPL36AL,0.1739455427813399,,0.9886363636363636
CFL1,5.084626515623553e-07,4288.0,0.9886363636363636
LTB,7.413223176936838e-18,52.0,0.9886363636363636
ID2,1.2470686562825557e-13,6124.0,0.9886363636363636
MT-TY,0.06180365967169365,,0.9886363636363636
CALR,1.6107830508203157e-05,,0.9857954545454546
PPP1CB,0.0017648409336063317,,0.9857954545454546
CTNNB1,1.5127077870477474e-10,,0.9829545454545454
TMSB4XP4,3.1201425423748196e-07,198.0,0.9829545454545454
HLA-A,8.4513156350979e-06,,0.9829545454545454
CALM1,5.182956048772955e-05,,0.9829545454545454
C6orf62,4.143925306215038e-05,,0.9829545454545454
MT-TP,8.662032564521991e-06,,0.9829545454545454
TMBIM6,0.062206360981263475,,0.9829545454545454
CLIC1,0.12365497537730294,,0.9801136363636364
MT-TC,1.1091917202762389e-08,,0.9801136363636364
RPL21,0.040747552673717255,,0.9801136363636364
RPL31,0.0016516450142884096,,0.9801136363636364
YWHAZ,0.10731768856565257,,0.9801136363636364
HLA-B,4.774249441170555e-10,,0.9801136363636364
PTPRC,0.0030728140110412006,,0.9801136363636364
CCL4,2.5701863598929437e-25,13.0,0.9801136363636364
RPS29,0.004220341160703363,,0.9772727272727273
MTA2,0.11680082914652035,,0.9772727272727273
IFI6,9.99814043506544e-10,,0.9744318181818182
FTH1,6.13633311044404e-05,,0.9744318181818182
RPL23A,0.033226602827301804,,0.9744318181818182
RPL18A,0.0048723593253625205,,0.9744318181818182
MT-ND2,0.061501935712830746,,0.9744318181818182
GMFG,0.011569550382595892,,0.9744318181818182
CALM2,0.4857193716880789,,0.9715909090909091
CD74,1.3226181493869468e-25,59.0,0.9715909090909091
DAZAP2,0.48223284680926726,,0.9715909090909091
S100A6,0.020484036722494815,,0.9715909090909091
CD3E,0.6239821157299879,,0.96875
CD52,4.142590455637949e-14,4951.0,0.96875
HMGB1,0.05495201936106281,7368.0,0.96875
ATP5L,0.036749856963011966,,0.96875
HLA-C,0.0020920078019842497,,0.96875
