gene_name,F_pval,highly_variable_rank,on_ratio
RP11-465B22.3,7.958882913440753e-20,7489.0,0.07954545454545454
PER3,3.392412402560383e-15,,0.06534090909090909
RP3-477M7.5,4.182420270875021e-26,,0.09090909090909091
ID3,6.7641270161834895e-21,1116.0,0.11079545454545454
STMN1,3.884957096464427e-19,10.0,0.1903409090909091
SH3BGRL3,1.5565301098254711e-18,,1.0
CD52,4.142590455637949e-14,4951.0,0.96875
IFI44L,1.3456701706709523e-16,2776.0,0.1278409090909091
S1PR1,1.08154638902745e-18,259.0,0.13352272727272727
CSF1,6.453854269664177e-23,40.0,0.45454545454545453
CD2,1.899148424419367e-37,,0.9914772727272727
REG4,8.464215771089383e-53,46.0,0.14204545454545456
S100A4,8.554888278720878e-16,3378.0,0.9318181818181818
SLAMF7,8.42489435383767e-23,596.0,0.1534090909090909
FCGR3A,1.845872087832997e-18,24.0,0.23011363636363635
SELL,4.927555782940399e-21,294.0,0.19886363636363635
PFN1P1,7.705654707819642e-14,,0.9943181818181818
RGS1,1.918514557791594e-13,134.0,0.17329545454545456
IL2RA,1.716449198292857e-19,16.0,0.6477272727272727
SRGN,5.134052347429632e-19,7027.0,0.9914772727272727
IFITM1,5.965088871691997e-24,,0.5625
MALAT1,1.7957210987012757e-32,,1.0
CADM1,2.4400933634080156e-23,968.0,0.23295454545454544
AMICA1,8.199573570600026e-52,27.0,0.5142045454545454
CD9,7.050667287142596e-16,684.0,0.1846590909090909
LAG3,7.313173180207011e-28,2235.0,0.7642045454545454
KLRG1,6.779817213535672e-16,3222.0,0.05397727272727273
KLRB1,4.317542029102931e-33,38.0,0.3153409090909091
KLRD1,2.0974590752031847e-38,4306.0,0.5767045454545454
KLRC3,3.4563162963493265e-40,,0.42329545454545453
KLRC2,1.633467380028805e-42,5972.0,0.5568181818181818
KLRC1,9.660743998260134e-32,215.0,0.45738636363636365
IFNG,1.6946391559426173e-19,9.0,0.6818181818181818
ALOX5AP,1.1338639135211839e-30,584.0,0.7585227272727273
LPAR6,2.4775443448248238e-14,1354.0,0.38920454545454547
RCBTB2,3.102574464113957e-14,61.0,0.17045454545454544
GZMB,9.077658830026077e-14,53.0,0.9971590909090909
ASB2,2.567764545084093e-19,159.0,0.20738636363636365
B2M,3.50450315002284e-27,,1.0
NPTN,1.4987484879869212e-16,,0.4943181818181818
ISG20,8.956475260416131e-13,598.0,0.19602272727272727
LRRC28,8.880742585764419e-58,8.0,0.3125
IL32,2.5761890313838343e-36,,1.0
MAF,8.156138717992472e-20,3897.0,0.8096590909090909
COTL1,8.609867865695144e-15,3160.0,0.4346590909090909
CCL5,7.560385833442546e-25,864.0,1.0
CCL23,6.258326869018266e-18,29.0,0.14204545454545456
CCL3,4.093940609935326e-21,65.0,0.9261363636363636
CCL4,2.5701863598929437e-25,13.0,0.9801136363636364
CCL3L3,3.2594116415626274e-25,660.0,0.5653409090909091
CCL4L1,4.117727480710477e-35,11.0,0.5397727272727273
CCL3L1,3.336895856323809e-29,197.0,0.9232954545454546
CCL4L2,1.1673216093587273e-23,1322.0,0.4772727272727273
CD300A,3.037926468869388e-16,2604.0,0.08806818181818182
LGALS3BP,5.43750770505052e-24,365.0,0.06818181818181818
GNG8,4.595829486497621e-19,2500.0,0.16761363636363635
FTL,1.4652445839390654e-24,,1.0
NKG7,6.736310376108289e-19,6622.0,0.9914772727272727
LAIR2,2.753404079095004e-27,1037.0,0.33238636363636365
AC092580.4,1.0715861502421772e-17,,0.9914772727272727
ID2,1.2470686562825557e-13,6124.0,0.9886363636363636
FAM49A,2.896769009360522e-20,3171.0,0.26420454545454547
CRIM1,1.1896562731164846e-13,,0.6846590909090909
EPAS1,9.085375019156983e-17,1943.0,0.20738636363636365
PLEK,2.9196281509000445e-27,99.0,0.46875
TMSB10,4.782530242327445e-17,1896.0,0.9943181818181818
CCL20,4.3554183471843093e-20,,0.08238636363636363
TMSB10P1,5.688774630302573e-21,,0.8295454545454546
FTLP3,5.977768544607232e-16,,0.96875
MIR155HG,5.107921843914186e-29,131.0,0.2528409090909091
MX1,8.016110680349752e-14,413.0,0.2755681818181818
XBP1,9.082594101474249e-13,1314.0,0.6903409090909091
APOBEC3C,3.891920127142922e-15,,1.0
EOMES,1.0737902626022583e-17,1889.0,0.32954545454545453
CXCR6,1.818975938543061e-40,93.0,0.6193181818181818
CCR2,1.1357878062724092e-16,64.0,0.19602272727272727
CLDND1,1.2014392089301184e-16,1299.0,0.9176136363636364
RPL38P4,3.9306530856510256e-21,,0.13636363636363635
GPR15,9.53039461088927e-36,1988.0,0.25
CD200R1,5.558901708939389e-20,30.0,0.125
GZMA,1.717910650076664e-15,2190.0,0.9090909090909091
CD74,1.3226181493869468e-25,59.0,0.9715909090909091
TIMD4,6.301629528781624e-36,2761.0,0.29829545454545453
LTB,7.413223176936838e-18,52.0,0.9886363636363636
HLA-DRB5,4.5112995038866846e-21,444.0,0.41761363636363635
HLA-DQB1,4.755457697362811e-13,,0.34375
HLA-DMA,9.768276508512739e-15,2746.0,0.5227272727272727
HLA-DPA1,7.23737439230222e-13,104.0,0.3494318181818182
SAMD3,1.3168307481922323e-27,1305.0,0.23295454545454544
PDE7B,6.836389914450684e-16,1174.0,0.15056818181818182
PDGFA,5.468049285233913e-24,,0.3664772727272727
ACTB,6.980958576675493e-22,1388.0,1.0
AOAH,2.460367706593675e-16,1349.0,0.2215909090909091
LAT2,8.935217611588701e-13,2223.0,0.16761363636363635
SRRT,1.6653597400674264e-17,281.0,0.22443181818181818
LRRN3,4.090514285161513e-15,1126.0,0.5028409090909091
GIMAP7,4.983843132946977e-14,4770.0,0.7414772727272727
GIMAP4,1.9406806407250194e-23,2530.0,0.6534090909090909
DOCK5,2.3231988759552912e-23,,0.30113636363636365
RDH10,5.202719758534224e-16,217.0,0.7244318181818182
UBA52P5,7.251517601633899e-15,,0.14204545454545456
ANXA1,3.816225730161418e-38,63.0,0.4090909090909091
RP11-217O12.1,1.8145346546939495e-26,,0.9914772727272727
MT-TN,2.5530961887860152e-23,,0.5909090909090909
MT-TE,1.2937186660315655e-13,,0.9971590909090909
MT-CYB,1.2739986843791523e-13,,1.0
PLS3-1,1.667508238557094e-54,94.0,0.16477272727272727
CD40LG,1.1468321999032767e-21,192.0,0.13352272727272727
AC010970.2,4.2362935752760166e-43,,1.0
