,TPM_p,UMI_p,TPM_logp,UMI_logp
GNLY,5.656775441065951e-144,1.8800521285461027e-139,143.2474310612528,138.72583010880757
NKG7,3.660137681842868e-136,1.411913030233405e-120,135.43650257762746,119.85019205374667
FTH1,6.485548662767562e-103,1.547268535644016e-85,102.18805327769354,84.81043430593378
ITGAD,1.9889795261632485e-98,1.496223074529904e-101,97.70136968732307,100.82500365191606
KLRD1,5.329560279066731e-88,5.465914042414532e-92,87.27330862141484,91.26233720235403
FCER1G,1.1492439371373774e-84,2.0694430872371516e-80,83.93958777870206,79.68414651284318
CD84,2.8766593170860554e-74,5.5428017134711615e-83,73.54111156858256,82.2562706574504
LYAR,1.0632692363978074e-67,2.5623530981481647e-75,66.97335675139706,74.59136102368933
BMS1P5,1.972530713468062e-59,4.8509926247749615e-47,58.70497622584435,46.3141693856547
CD74,1.2565754345191347e-54,9.63840147436554e-52,53.900811434797596,51.01599498771834
SPOCK2,1.3078356166953633e-54,1.0646625971140428e-59,53.88344683953509,58.97278800295567
RPL13,4.46591113706641e-53,6.384940226744032e-91,52.35008992279294,90.19484316407272
BMS1P1,1.0126037594461654e-52,3.389888825451857e-55,51.994560464561566,54.46981454465371
GSTM2,1.5911596643278572e-51,5.427634675908944e-56,50.79828623904769,55.26538939159009
LIMA1,3.7124546506516805e-50,8.204305437663218e-49,49.430338842750025,48.08595817967587
TIMD4,4.460499310259456e-50,7.609999709522098e-56,49.35061652345087,55.11861535980669
HLA-DPA1,3.0675590173429403e-49,1.2440489593245362e-47,48.51320707304764,46.90516252772713
BMS1P6,1.5965234263673922e-47,1.0802650330162886e-48,46.796824704517306,47.966469681313335
LAIR2,1.20160167409819e-45,1.3032100867333349e-45,44.92023947527075,44.884985567284815
BMS1P7,1.2839592727571948e-45,1.0402482758084621e-40,44.89144875188814,39.98286299536918
RP11-144G6.12,2.658892463819841e-45,4.441081634515811e-41,44.57529922690839,40.35251124369327
LAIR1,9.588066618259625e-45,3.097389113605656e-49,44.01826895713295,48.509004232397
HLA-DPB1,4.923767226357865e-43,1.0093493674436388e-41,42.30770248675166,40.99595848481271
RGS1,5.949503131567683e-43,1.4644231309836857e-40,42.225519302545194,39.83433341993033
AGAP10,1.0387779535542816e-42,5.97689439070994e-35,41.98347727616954,34.22352441790517
GZMA,9.285923837557074e-41,1.855887022451656e-45,40.03217488270563,44.731448465088725
IL5,1.1783660175322978e-40,3.4921506057519555e-41,39.928719790444966,40.45690703477271
CD7,1.631407753720334e-40,2.3668309731696276e-42,39.7874374779183,41.62583275602987
TIGIT,9.692772065268953e-40,3.359211931843782e-37,39.01355199998939,36.47376259576333
SELL,1.1984598884366568e-39,3.5162277064917576e-42,38.921376496901196,41.45392300832217
PAX8-AS1,5.13289077901221e-38,9.06900271377281e-44,37.28963797684131,43.04244046814593
EOMES,8.564459189059629e-38,6.676820652593586e-46,37.067300055771746,45.17543028928023
HLA-DRB5,4.744362041509391e-37,2.438353878225988e-34,36.32382217743671,33.61290326499822
CD44,9.169976691577235e-37,6.871592897782837e-33,36.037631768226625,32.162942577856036
AGAP9,8.335800591455775e-36,3.391280178336517e-31,35.07905268308801,30.469636328511818
RPS20,3.784385223431096e-35,3.416024884218037e-17,34.42200466193855,16.466478974329867
CTGLF12P,2.2731953510021247e-34,9.310946810321498e-33,33.64336324081849,32.03100615429357
TMSB10,2.6265080424992137e-34,2.398275403547357e-13,33.580621265027375,12.6201009466028
RPS9,3.245723073485655e-34,2.0082444195206346e-17,33.48868853712457,16.69718343117385
HS3ST3B1,1.2031011073463796e-33,8.50456460811052e-41,32.919697873476885,40.070347915224275
HLA-DRB1,7.163200033566431e-33,7.835457694148214e-32,32.14489292092554,31.105935629924513
RCBTB2,7.555271146997461e-33,2.5366781569777505e-35,32.12174994488794,34.59573463073461
AE000661.37,2.9833292673881646e-32,1.4074602543797182e-35,31.525298811298306,34.851563860453375
IL4,3.866528117794539e-32,6.66741667297175e-33,31.412678827239816,32.176042403263835
RNF125,2.511880668721904e-31,9.116699649554506e-26,30.600000996362624,25.040162352833363
CST7,8.45154845417182e-31,1.0990827194871627e-27,30.07306371430549,26.9589696203473
CD226,2.4916721543888672e-30,1.2674790389639804e-35,29.603509101220915,34.89705921411498
CD8A,5.24016470523242e-30,2.689912147302858e-35,29.280655062357987,34.570261903850614
RPL4P1,1.3007290085961348e-28,3.78215405275195e-33,27.88581317409956,32.42226078567143
PPAP2A,1.9092571984856117e-28,2.0590895737084574e-28,27.71913556329879,27.686324760462515
RPS21,1.9442786089315683e-28,5.391939070395874e-12,27.71124150193452,11.268255024028441
AC092580.4,4.376380204048068e-28,8.39447647112002e-27,27.35888495510531,26.076006383837246
HMOX1,5.597011183470928e-28,4.061312683469724e-29,27.25204382532217,28.39133357256911
RAB6B,7.787667068848003e-28,1.612368904401034e-32,27.108592623311843,31.79253558609407
HOMER2,1.4280966276489609e-27,3.067643090066358e-28,26.84524240640088,27.513195170482987
GPR183,1.9870322390172753e-27,3.9184691670485033e-29,26.701795086531995,28.406883566181598
S100A10,2.0498712131977226e-27,2.7605032849915133e-32,26.68827342340987,31.559011731714264
GAB2,2.620592787338892e-27,1.1649449377615128e-27,26.581600458622763,26.933694601497592
RPS29,4.10566368165696e-27,7.550729058720202e-24,26.386616629047925,23.122011113153224
NDFIP2,4.3711412011362e-27,1.1827198382953983e-30,26.35940516425301,29.927118118509917
TMSB4X,7.11126966403828e-27,0.051536040146987566,26.148052852314134,1.2878889542053762
MAL,8.40930964827764e-27,9.550296423346708e-27,26.075239655599205,26.019983148518254
RPL12,9.083561476821903e-27,8.35901258581128e-12,26.041743840193547,11.077845020869638
EPAS1,1.1127633750892839e-26,1.4174447918737381e-27,25.953597176921818,26.84849384746258
MGAT4A,3.6441518504659885e-26,2.0793695608003176e-29,25.43840353443081,28.682068317809943
FADS2,4.5421127987019507e-26,6.663113484615587e-28,25.34274208472537,27.176322789865196
LGALS3,6.856718359805745e-26,1.6122366514289102e-26,25.163883688845,25.79257121013245
CLIC3,9.239065106152486e-26,2.7385388178639083e-24,25.034371972479118,23.562481098713793
FXYD5,5.615242106960901e-25,5.8007625039053975e-27,24.250631513943862,26.23651491514864
VIM,1.196932710482649e-24,1.5729098153965295e-16,23.921930264203034,15.803296177439302
CAPG,1.8353661228257586e-24,1.6469429512559968e-26,23.736277288762015,25.78332144417197
RPL28,2.9556626418264485e-24,5.473027435772404e-16,23.529345137650125,15.261772374774598
FURIN,3.3067247898009324e-24,3.4861622133283235e-25,23.48060194879493,24.457652408759486
NELL2,4.6398265011585395e-24,1.2882451194461428e-23,23.333498258884394,22.890001494200963
TIMP1,6.506871720124688e-24,2.8515905093896895e-25,23.18662775509051,24.54491283936743
TFEC,7.327371516077778e-24,1.037531762166342e-24,23.135051788085384,23.983998599268947
INPP4B,1.1778755387746855e-23,1.3661099087131519e-24,22.92890059722212,23.8645143586139
RPL18A,1.1893927484647706e-23,1.630312480196547e-14,22.92467471365189,13.787729146872918
CCL3,1.5751053018441022e-23,1.90108659919413e-22,22.802690406648278,21.72099809949672
PTPRK,2.5581643504269714e-23,9.574220612420396e-27,22.59207155751543,26.01889656957885
RPL37A,3.624561026045108e-23,9.140587687064504e-21,22.44074458371654,20.039025880738365
LPAR6,6.868895501640245e-23,1.338292370096203e-24,22.163113090612388,23.873448998041532
PXN,7.218485599287074e-23,2.6853571682774176e-24,22.141553905596396,23.570997942405448
GPR56,7.362736280004104e-23,4.121079734854601e-26,22.13296075489341,25.384988982642998
ABCB1,1.3476377448963883e-22,6.442099084328526e-22,21.87042683371744,21.190972599689225
FGFBP2,2.1636291524335442e-22,3.848220854015017e-24,21.664817175568054,23.414740011237235
CD8B,7.242108427525901e-22,1.2432149520154175e-21,21.140134977292597,20.905453775297712
ANXA2,1.0800255446728927e-21,1.048755592327784e-20,20.966565972495196,19.979325710348586
RPL30,1.71218336824977e-21,0.017068203332422444,20.766449725900376,1.7678121920593235
GPR15,2.117050944206357e-21,3.276100603386342e-21,20.674268691096554,20.484642770274043
TTC24,8.165229567164023e-21,2.0878981210355e-22,20.088031600474036,21.68029069654696
RP11-94L15.2,1.3679171881402805e-20,5.5651041709853425e-18,19.86394019342169,17.254526701866435
LAG3,1.5351293715103858e-20,2.611251923114579e-17,19.81385501890632,16.583151227165683
DOCK5,1.8544576443638763e-20,2.7113256157575717e-21,19.731783081466734,20.56681832283452
ITGA5,9.043119444471255e-20,4.0484318039188927e-22,19.04368173281775,21.39271317204327
RPS25,9.059121157705946e-20,0.026216201247653517,19.04291393199998,1.5814302377681144
SORL1,2.0664865497259483e-19,4.339087268432164e-21,18.68476741709353,20.362601615181365
VAMP5,2.831039233887016e-19,1.1223709666252308e-19,18.548054111933883,18.949863576118627
RPLP1,3.0264049017361755e-19,0.0001924373510155693,18.51907296830689,3.715710629982106
RPS27,4.4500636644971365e-19,0.0013719525108660295,18.35163377577367,2.8626609211553435
ERI1,6.530664563273409e-19,1.2211650761233495e-17,18.18504262248034,16.91322562450423
RPS8,8.8366944349303e-19,0.00010385101033346795,18.053710162265553,3.983589273995366
GLUD1P2,1.1137806421092953e-18,8.051188069866396e-19,17.95320033456816,18.094140028437646
RPS15,1.3361731827262436e-18,3.224075939907036e-07,17.874137248875453,6.491594737371237
KRAS,1.7352458870031357e-18,1.5858902938161701e-19,17.76063897631846,18.799726858908816
HLA-DQB1,1.8246742963281002e-18,2.3654989686061254e-17,17.73881464569035,16.62607723697444
ZBTB38,2.4314142903356005e-18,8.31150821165325e-20,17.61414103511919,19.080320161707363
MBP,2.4907282598787617e-18,1.0306737409710847e-19,17.603673651697818,18.986878788567008
APMAP,2.4958017431699793e-18,9.536849796890432e-19,17.602789916292092,18.020595057346203
PDE7B,2.6625634656996508e-18,2.0555169076188942e-18,17.574700031450053,17.687078946587164
CCL4L1,2.8415813463339865e-18,6.465309533276588e-17,17.54643990683435,16.189410677995344
HLA-DQA1,3.770796118684429e-18,5.245878804650886e-19,17.42356694861374,18.280181747119542
RPS3,4.204332781827994e-18,0.0208356463610712,17.376302915956906,1.6811930223632954
XXbac-BPG181M17.5,4.647698063445278e-18,5.844589619686271e-18,17.332762093534875,17.233245977600976
CSF1,5.501395396788909e-18,9.88422032791413e-21,17.25952714027609,20.0050575823583
HPGD,1.3022324725026815e-17,3.649225121774671e-19,16.885311479275643,18.43779934405417
MRPS12,1.6678209966439222e-17,4.4109756466290835e-18,16.77785056301571,17.355465339991667
SETBP1,1.6848662017592324e-17,6.189201248106042e-21,16.77343458152547,20.208365395555536
CXCR4,1.842775659235368e-17,3.695265099706633e-16,16.734527532869098,15.43235439970221
HLA-DQB2,2.6105030217133618e-17,6.052673406177325e-16,16.583275799747778,15.2180527593803
CALM1,3.4650969757560294e-17,1.6297744716477068e-22,16.460284606522194,21.787872489151546
FOS,4.0767938464236366e-17,4.004680899733423e-18,16.389681249211147,17.39743208357627
RPL36A-1,4.158853301784129e-17,1.2448502527595049e-05,16.381026398545693,4.904882888176015
S1PR1,5.285769936407954e-17,1.199587068050361e-17,16.276891743497703,16.920968224726984
CACNA2D4,1.0628754929920037e-16,1.1269145450296904e-16,15.973517606477165,15.948109015656788
IGHV1OR15-1,1.1093450479902621e-16,2.219362187153671e-16,15.954933350937516,15.653771817620779
TESPA1,1.7011665797795561e-16,3.979955096780447e-15,15.769253157794301,14.400121827758092
GZMK,1.7542324849196395e-16,2.7648339116475657e-15,15.755912850977413,14.558330952395975
SELPLG,1.9532627532354745e-16,8.257169606325288e-17,15.709239331415308,16.083168794690188
RP11-305L7.1,2.212798517547881e-16,3.0832034655612214e-16,15.655058128187852,15.510997814535642
AHNAK,3.7952219724868243e-16,2.552780309230282e-18,15.420762818291037,17.592986558714895
SYCP2,4.1365723242620167e-16,9.889819036241172e-20,15.3833593780202,19.004811655043966
RPL36,4.232270918985046e-16,1.0730101114421737e-07,15.373426539731295,6.969396185468486
FAM65B,4.4009581292817285e-16,6.274742826920496e-13,15.35645276329536,12.202404069231482
RPS27A,6.764142472834049e-16,0.0014879841495069898,15.169787253452473,2.8274016950121252
CD40LG,7.025495518266181e-16,9.413639730402499e-17,15.153323038930456,16.026242426604323
S100A4,9.583752449630796e-16,2.429431299254339e-20,15.018464412728953,19.61449537763683
RP5-1109J22.1,1.5942163453341043e-15,1.6238473160355816e-16,14.797452742407174,15.789454808174
COX10-AS1,1.6660067152519381e-15,4.984910310192887e-16,14.778323252394427,15.302342651221679
RPL35,1.871490823230881e-15,0.008760092357769254,14.727812298087342,2.057491315035332
TNC,2.4595680879563898e-15,7.028731940362929e-18,14.609141150411238,17.153123019358166
LGALS3BP,2.6620855110541046e-15,1.2705671425410134e-15,14.57477799830444,14.896002379913426
DBN1,2.887328837101437e-15,6.147675367404657e-17,14.539503751621229,16.211289073811717
