gene_name,Kruskal-Wallis H,KW p_value,ANOVA F,F p_value,On ratio
LRRC28,208.63599144293846,9.654833564389062e-41,56.02967487282699,8.880817186113218e-58,0.3125
PLS3-1,188.64057617719237,1.5731441302224e-36,51.718618894874375,1.6675048889808167e-54,0.16477272727272727
REG4,229.6816983466604,3.4576775761907434e-45,49.545689516453194,8.464181129989064e-53,0.14204545454545456
AMICA1,194.36793729912534,9.809462973233318e-38,48.31142785597566,8.199558566813118e-52,0.5142045454545454
AC010970.2,170.98101514404374,8.032927891504849e-33,38.07762235659321,4.236297919304417e-43,1.0
KLRC2,156.47007334914937,8.745105258777705e-30,37.43042741350224,1.6334675783299334e-42,0.5568181818181818
CXCR6,161.7319194783505,6.945678449857881e-31,35.20902882882333,1.8189728296222642e-40,0.6193181818181818
KLRC3,159.58342783340495,1.9545616069467775e-30,34.91102448469831,3.456305146493828e-40,0.42329545454545453
KLRD1,157.52309437464405,5.269028968172726e-30,33.03045031969152,2.0974561401933088e-38,0.5767045454545454
ANXA1,172.82347471009209,3.300571034227846e-33,32.75992566831009,3.8162367109321743e-38,0.4090909090909091
CD2,124.27899576745347,4.3275413196254835e-23,32.039128099411265,1.8991443970497587e-37,0.9914772727272727
IL32,141.74525008074158,1.0284987832934516e-26,30.881721485808466,2.5762794293531983e-36,1.0
TIMD4,156.0101029489919,1.0910894598513585e-29,30.488593250083465,6.30163212250546e-36,0.29829545454545453
GPR15,155.16800566897908,1.6359106906355275e-29,30.30744383474148,9.530398090276825e-36,0.25
CCL4L1,153.58558617278138,3.501044563218796e-29,29.669987793834807,4.117737611230144e-35,0.5397727272727273
KLRB1,137.76149469821638,6.928865866912914e-26,27.67771667941492,4.3175264797303405e-33,0.3153409090909091
MALAT1,146.1200737223298,1.2626101535037244e-27,27.07765977785448,1.7957607136339156e-32,1.0
KLRC1,138.89658759393413,4.0245223048793916e-26,26.37537210709404,9.660780003629536e-32,0.45738636363636365
ALOX5AP,132.47466336370312,8.678875698033771e-25,25.359246348223053,1.1338658358019926e-30,0.7585227272727273
CCL3L1,132.45681557135538,8.753187097894437e-25,23.986162883947816,3.336887380190478e-29,0.9232954545454546
MIR155HG,120.3891390529619,2.7553043907276055e-22,23.815108226688732,5.107950659875088e-29,0.2528409090909091
LAG3,132.27628874021826,9.541516931123631e-25,22.754817245920776,7.31322157444546e-28,0.7642045454545454
SAMD3,111.90099939704253,1.547940660963998e-20,22.522588864126238,1.3168227664895875e-27,0.23295454545454544
LAIR2,126.81359962587682,1.293414885389828e-23,22.232379604599707,2.7534054163474666e-27,0.33238636363636365
PLEK,135.18407619773106,2.3773888899308944e-25,22.20936750396896,2.9196227896989395e-27,0.46875
B2M,132.401092551987,8.989312685262687e-25,22.137723193349522,3.5045597430632816e-27,1.0
RP11-217O12.1,129.61694137679964,3.396539973778061e-24,21.49577429806179,1.8145332200303474e-26,0.9914772727272727
RP3-477M7.5,112.63832336238414,1.0915611758137961e-20,21.17195002707117,4.1823949804956674e-26,0.09090909090909091
CD74,160.67269255965672,1.1568294933787572e-30,20.72786648679488,1.322621082248642e-25,0.9715909090909091
CCL4,124.19050501110173,4.5138163872691695e-23,20.472856888877118,2.5701874183376393e-25,0.9801136363636364
CCL3L3,112.35464318534721,1.2485972757724122e-20,20.381888044441222,3.2594194868822685e-25,0.5653409090909091
CCL5,121.55386319942127,1.5833855168917047e-22,20.060647492639035,7.560305367248055e-25,1.0
FTL,114.80333191745498,3.910964383719621e-21,19.809016942689077,1.4652465811005942e-24,1.0
LGALS3BP,144.07629478118085,3.3649180448142124e-27,19.312963155003686,5.4375531931107616e-24,0.06818181818181818
PDGFA,104.1003806244692,6.18397415768427e-19,19.31085460327103,5.468052988872002e-24,0.3664772727272727
IFITM1,118.74210618320029,6.028031820251034e-22,19.278064666530234,5.965106958126841e-24,0.5625
CCL4L2,112.42896992778134,1.2053927250073275e-20,19.025548312250983,1.1673207264319331e-23,0.4772727272727273
GIMAP4,104.66730256131139,4.732604899913987e-19,18.834950341111313,1.9406809256620044e-23,0.6534090909090909
DOCK5,106.6021761263434,1.8982481206721375e-19,18.767616716693063,2.3231986422537993e-23,0.30113636363636365
CADM1,129.11919623582367,4.3071152083082236e-24,18.74925413588599,2.440094629194534e-23,0.23295454545454544
MT-TN,124.9623128050234,3.125275947349589e-23,18.73232676803198,2.5530862526466487e-23,0.5909090909090909
CSF1,99.82366249111469,4.6385361951852266e-18,18.386418544494767,6.453846323505475e-23,0.45454545454545453
SLAMF7,102.35945364052117,1.4052887680763388e-18,18.28731957469101,8.424908409607692e-23,0.1534090909090909
ACTB,105.01341894424684,4.0193867966138254e-19,17.505913833764144,6.981110434946513e-22,1.0
CD40LG,111.93951122563277,1.5199585587186674e-20,17.323728315956163,1.146829857762417e-21,0.13352272727272727
RPL38P4,97.9745967473405,1.1067319046582549e-17,16.873630634437852,3.930649828554113e-21,0.13636363636363635
CCL3,120.40495398395387,2.734662089160571e-22,16.858805377149718,4.093951919160878e-21,0.9261363636363636
HLA-DRB5,101.52014651914072,2.086920842613994e-18,16.823463491067162,4.511293353957543e-21,0.41761363636363635
SELL,99.98962864660389,4.290047309295714e-18,16.791344581641837,4.9275722727307435e-21,0.19886363636363635
TMSB10P1,108.13273282699866,9.209118733562014e-20,16.739099962674572,5.688801327968765e-21,0.8295454545454546
ID3,99.02643015318088,6.74939341484431e-18,16.676184875770616,6.7641239902780634e-21,0.11079545454545454
FAM49A,108.53336654593576,7.619901346421964e-20,16.14980280049361,2.89676279425514e-20,0.26420454545454547
CCL20,119.08179154899933,5.129464573552519e-22,16.00291132094938,4.355420392691716e-20,0.08238636363636363
CD200R1,102.13509553229872,1.5620048925125281e-18,15.915178650974482,5.558910162945329e-20,0.125
RP11-465B22.3,97.91943902832492,1.1357986319890362e-17,15.786322903160112,7.958887056535059e-20,0.07954545454545454
MAF,118.43422060019583,6.977621015594903e-22,15.777541157532008,8.156144403300128e-20,0.8096590909090909
