,promoter_R_sq,num_eig,num_peaks,num_sigpeaks,num_sigpeaks_pt2,eigen0_R_sq,eigen1_R_sq,eigen2_R_sq,eigen3_R_sq,eigen4_R_sq,eigen5_R_sq,eigen6_R_sq,eigen7_R_sq,eigen8_R_sq,eigen9_R_sq,eigen10_R_sq,eigen11_R_sq
MTND2P28,0,0,0.0,0.0,0.0,,,,,,,,,,,,
hsa-mir-6723,0,0,0.0,0.0,0.0,,,,,,,,,,,,
MTATP6P1,0,0,0.0,0.0,0.0,,,,,,,,,,,,
RP11-206L10.9,0.011958221904933453,0,1.0,0.0,0.0,,,,,,,,,,,,
LINC01128,0.15223966538906097,0,2.0,0.0,0.0,0.15223964488643463,,,,,,,,,,,
NOC2L,0.0003044760669581592,0,4.0,0.0,0.0,0.18574440858110627,,,,,,,,,,,
ISG15,0,1,5.0,1.0,1.0,0.2897224138911635,0.26195422259662177,0.038007053474220384,0.01768489155142845,,,,,,,,
RP11-465B22.3,0.33873602747917175,1,7.0,0.0,3.0,0.4160666193733635,0.07209858595010091,0.05941731579992285,0.008744299561420178,0.003659045179139329,,,,,,,
TNFRSF18,0,1,4.0,0.0,0.0,0.287077618018032,1.987734203874123e-05,,,,,,,,,,
TNFRSF4,0,0,3.0,0.0,0.0,0.1771371975036873,0.02787062421263142,,,,,,,,,,
SDF4,0.0010341135784983635,0,3.0,0.0,0.0,0.07468507363876306,,,,,,,,,,,
UBE2J2,0.000900043232832104,0,4.0,0.0,0.0,0.07360933497424842,,,,,,,,,,,
PUSL1,0.07302829623222351,1,3.0,1.0,1.0,0.46205607985369607,0.18678149351619108,0.032221129235571744,,,,,,,,,
CPSF3L,0.0008752356516197324,0,4.0,0.0,0.0,0.08833567632318867,,,,,,,,,,,
AURKAIP1,0.006276770029217005,1,4.0,1.0,1.0,0.2388080149998634,0.030504120422566908,,,,,,,,,,
CCNL2,0.023040983825922012,0,4.0,0.0,0.0,0.12095597243216352,,,,,,,,,,,
RP4-758J18.2,0,0,4.0,0.0,1.0,0.21830100191172458,,,,,,,,,,,
MRPL20,0.0006070616655051708,0,2.0,0.0,0.0,0.0966150409021086,,,,,,,,,,,
SSU72,0.002376464195549488,0,2.0,0.0,0.0,0.06671378309313661,,,,,,,,,,,
CDK11B,0.08837191760540009,0,3.0,0.0,0.0,0.15422319796346226,0.01823297400173091,0.004181708922501216,,,,,,,,,
SLC35E2B,0.0034184581600129604,0,4.0,0.0,0.0,0.053566387201978274,,,,,,,,,,,
CDK11A,0.015543537214398384,0,3.0,0.0,0.0,,,,,,,,,,,,
SLC35E2,0.01057460531592369,0,3.0,0.0,0.0,,,,,,,,,,,,
NADK,0.0438406728208065,0,2.0,0.0,0.0,,,,,,,,,,,,
GNB1,0.0016776599222794175,0,3.0,0.0,0.0,0.10408347737409744,,,,,,,,,,,
PRKCZ,0.08746320754289627,0,3.0,0.0,0.0,0.08746318794846446,,,,,,,,,,,
C1orf86,0.07909493893384933,1,5.0,0.0,0.0,0.22026837977216704,0.03625085836004764,0.02129766845331754,0.019189605820708774,0.0013745474167504979,,,,,,,
RER1,0.010531226173043251,0,2.0,0.0,0.0,0.1720894281565133,,,,,,,,,,,
PANK4,0.027094392105937004,0,5.0,0.0,0.0,,,,,,,,,,,,
RP3-395M20.8,0,0,4.0,0.0,0.0,0.052616306936763904,,,,,,,,,,,
TNFRSF14,0.0989314392209053,1,4.0,1.0,1.0,0.3757661821176034,0.22885935601125024,0.0001153547233869512,2.6595914217782043e-06,,,,,,,,
FAM213B,0.0026231799274683,0,4.0,0.0,0.0,,,,,,,,,,,,
TPRG1L,0.1616322547197342,0,1.0,0.0,0.0,0.16163227807551692,,,,,,,,,,,
WRAP73,0.11882796138525009,0,3.0,0.0,0.0,0.18913955837382884,0.00014590060651635854,,,,,,,,,,
LRRC47,0.045926228165626526,0,1.0,0.0,0.0,,,,,,,,,,,,
CEP104,0,0,3.0,0.0,0.0,,,,,,,,,,,,
C1orf174,0.03166807442903519,0,1.0,0.0,0.0,,,,,,,,,,,,
KCNAB2,0.053516749292612076,0,4.0,1.0,1.0,0.2158320153621221,0.07958760748074467,0.005379871117862468,,,,,,,,,
RPL22,0.017134016379714012,0,4.0,0.0,0.0,,,,,,,,,,,,
RNF207,0.0051050796173512936,1,3.0,1.0,1.0,0.2108954568940174,,,,,,,,,,,
ICMT,0.29157447814941406,1,4.0,0.0,1.0,0.4176877544084744,0.006056520377471502,,,,,,,,,,
ACOT7,0.14735187590122223,0,2.0,0.0,0.0,0.14735191018638277,,,,,,,,,,,
TNFRSF25,0.2986973822116852,1,4.0,1.0,3.0,0.4630333245485022,0.09959466586655927,0.008411919450492744,0.004577214506173242,,,,,,,,
NOL9,0.08812305331230164,0,4.0,0.0,0.0,0.09296275218765734,0.007161614608929503,0.002470482744879454,,,,,,,,,
ZBTB48,0.0036215782165527344,0,2.0,0.0,0.0,0.06485786524790653,,,,,,,,,,,
KLHL21,0,0,2.0,0.0,0.0,,,,,,,,,,,,
THAP3,0,0,5.0,1.0,1.0,0.3350606842431,0.21011679112411225,0.05184723046545301,0.014381139789735676,0.00020166459914692397,,,,,,,
DNAJC11,4.9999864131677896e-05,0,5.0,0.0,0.0,0.13878872246396515,0.03097876057620698,0.0002547420001934635,,,,,,,,,
CAMTA1,0,1,5.0,1.0,1.0,0.48972398628186853,0.10744090539792926,0.0071701960815691405,0.002256949094304616,,,,,,,,
VAMP3,0.06132430583238602,0,2.0,0.0,0.0,0.17960894956403042,0.0011085019852362567,,,,,,,,,,
PER3,0.33061081171035767,1,2.0,1.0,1.0,0.3306107613165062,,,,,,,,,,,
TNFRSF9,0,0,3.0,0.0,0.0,0.2148038654061469,0.0016587038258184274,,,,,,,,,,
PARK7,0.17400279641151428,0,4.0,0.0,0.0,0.1928332527137793,0.01224138235775725,,,,,,,,,,
RERE,0.006456927862018347,1,3.0,1.0,1.0,0.3745699529801469,0.006145525380489093,,,,,,,,,,
RP5-1115A15.1,0.23729756474494934,1,2.0,2.0,2.0,0.4275738214436471,0.004233481499771878,,,,,,,,,,
ENO1,0,0,3.0,0.0,1.0,0.20178798052197539,,,,,,,,,,,
CA6,0,0,4.0,0.0,0.0,0.18848262035802035,0.0011939302069416647,,,,,,,,,,
RP3-510D11.1,0,0,2.0,0.0,0.0,0.22419667145677574,0.0018386621810452823,,,,,,,,,,
RP3-510D11.2,0.008235936984419823,0,2.0,0.0,0.0,0.08160486994339763,,,,,,,,,,,
PIK3CD,0.0265194121748209,0,10.0,0.0,0.0,0.10832629130788367,,,,,,,,,,,
RP11-558F24.4,0.013165224343538284,0,6.0,0.0,0.0,0.16990600538454054,0.0002627017156002931,,,,,,,,,,
CLSTN1,0.22457507252693176,1,1.0,1.0,1.0,0.22457507350712375,,,,,,,,,,,
LZIC,0.03611500561237335,0,1.0,0.0,0.0,,,,,,,,,,,,
RP11-84A14.4,0,0,2.0,0.0,1.0,0.25650444706229825,,,,,,,,,,,
NMNAT1,0,0,2.0,0.0,1.0,0.22393953864161512,,,,,,,,,,,
UBE4B,0.07163984328508377,0,1.0,0.0,0.0,0.0716398751396488,,,,,,,,,,,
KIF1B,2.1439154807012528e-05,0,2.0,0.0,0.0,0.15611156449847294,,,,,,,,,,,
PGD,0.08649522066116333,1,2.0,1.0,1.0,0.5334440753206864,0.16054351696375166,,,,,,,,,,
APITD1,0.009628322906792164,0,3.0,0.0,0.0,,,,,,,,,,,,
DFFA,0.03480319678783417,0,5.0,0.0,0.0,0.15323577229501656,0.01985500207559495,0.013626386630319608,,,,,,,,,
PEX14,0,1,7.0,1.0,1.0,0.2839106328173321,0.026749706442329615,0.018848324087208,,,,,,,,,
TARDBP,0.21929186582565308,0,1.0,0.0,1.0,0.219291783321517,,,,,,,,,,,
RP4-635E18.8,0,1,1.0,1.0,1.0,0.4018783403057069,,,,,,,,,,,
SRM,0.029326587915420532,0,3.0,0.0,0.0,0.10281097484341566,0.00028795787812190677,,,,,,,,,,
EXOSC10,0,0,1.0,0.0,0.0,0.16923402784644118,,,,,,,,,,,
RP4-635E18.6,0.24636349081993103,0,3.0,0.0,1.0,0.2882293406387983,0.015940088252362317,,,,,,,,,,
MTOR,0.0004873556026723236,0,2.0,0.0,0.0,,,,,,,,,,,,
UBIAD1,0.002486184937879443,1,2.0,1.0,1.0,0.2614194677986276,,,,,,,,,,,
FBXO2,0,1,5.0,1.0,1.0,0.2909167540140791,0.06178026452518593,,,,,,,,,,
FBXO44,0.005404933821409941,0,3.0,0.0,0.0,0.05614290518189165,,,,,,,,,,,
FBXO6,0.15134067833423615,0,3.0,0.0,0.0,0.2489478281738045,0.0003201405247777028,5.192021241025872e-09,,,,,,,,,
MAD2L2,0.0014854721957817674,0,6.0,0.0,0.0,0.19479703737064183,0.01000409958496891,,,,,,,,,,
DRAXIN,0,1,8.0,0.0,0.0,0.4708840504547182,0.10087437410656117,0.09536699351170064,0.0732342083277601,0.01283104559048398,,,,,,,
AGTRAP,0,1,8.0,0.0,1.0,0.37870302655500915,0.1346371826754663,0.006817175706426399,0.0061866146671914245,,,,,,,,
CLCN6,0,1,2.0,0.0,0.0,0.2526526995885566,0.0010146748357175224,,,,,,,,,,
PLOD1,0.057128533720970154,1,5.0,1.0,1.0,0.3712707860763014,0.13812790580801507,0.05050562806616297,0.007580264053587665,,,,,,,,
MFN2,0.05816908925771713,0,5.0,0.0,0.0,0.18207303754149698,0.01722622970806716,0.004424472689196324,0.0026782583159487383,1.2303982859345466e-05,,,,,,,
MIIP,0.023072589188814163,0,3.0,0.0,0.0,,,,,,,,,,,,
TNFRSF1B,0,1,12.0,0.0,1.0,0.2853192397828059,0.10110442646058539,0.06566902772050177,0.06317816187561964,0.03682650003515742,0.019574653645174623,,,,,,
VPS13D,0,0,12.0,0.0,0.0,0.20644639999389472,0.054263572951631873,0.014847612080737956,0.00832517781180586,,,,,,,,
DHRS3,0,0,1.0,0.0,0.0,,,,,,,,,,,,
PRDM2,0.06107578054070473,0,4.0,0.0,1.0,0.18362318401184924,0.1314963788426388,0.00801870834646851,,,,,,,,,
EFHD2,0.1648435890674591,1,3.0,0.0,0.0,0.2716659293989223,0.0022721481328440694,,,,,,,,,,
CASP9,0.080636166036129,0,3.0,0.0,0.0,0.18738021045437156,0.004708497177601769,,,,,,,,,,
DNAJC16,0.010697557590901852,0,4.0,0.0,0.0,0.09504640552977822,,,,,,,,,,,
AGMAT,0,0,3.0,0.0,0.0,0.10942631571100156,0.08282575967011983,0.020124087042166876,,,,,,,,,
DDI2,0.0345054566860199,0,4.0,0.0,0.0,0.13968738118485513,,,,,,,,,,,
PLEKHM2,0.04683540016412735,0,1.0,0.0,0.0,,,,,,,,,,,,
RP11-169K16.7,0,0,3.0,0.0,0.0,0.11406521634476637,0.00751466545678975,0.005823239957046963,,,,,,,,,
RP11-169K16.9,0.016051677986979485,0,1.0,0.0,0.0,,,,,,,,,,,,
SPEN,0,1,4.0,1.0,2.0,0.42177020310526325,0.017699040110733207,,,,,,,,,,
ZBTB17,0,1,5.0,1.0,1.0,0.17726759040598725,0.02792062825743047,0.009655747796640945,,,,,,,,,
C1orf134,0,0,1.0,0.0,0.0,0.0655915320462389,,,,,,,,,,,
FBXO42,0.5827369093894958,1,2.0,1.0,1.0,0.3765841330949771,0.21662600145098646,,,,,,,,,,
SZRD1,0.11931063234806061,0,2.0,0.0,0.0,0.1193106380923104,,,,,,,,,,,
NECAP2,0,1,3.0,2.0,2.0,0.5438916769610016,0.000736625031878077,,,,,,,,,,
NBPF1,0,0,2.0,0.0,0.0,0.09611712147031609,,,,,,,,,,,
CROCCP2,0,0,1.0,0.0,0.0,,,,,,,,,,,,
EIF1AXP1,0,0,0.0,0.0,0.0,,,,,,,,,,,,
ATP13A2,1.943455390573945e-05,0,2.0,0.0,0.0,,,,,,,,,,,,
SDHB,0.0428784154355526,0,1.0,0.0,0.0,,,,,,,,,,,,
RCC2,0.09023381769657135,0,2.0,0.0,0.0,0.0902338267347751,,,,,,,,,,,
UBR4,0.008297317661345005,0,2.0,0.0,0.0,,,,,,,,,,,,
EMC1,0.010921616107225418,0,1.0,0.0,0.0,,,,,,,,,,,,
MRTO4,0,0,2.0,0.0,0.0,0.15114913492231913,,,,,,,,,,,
AKR7A2,0.03178587183356285,0,1.0,0.0,0.0,,,,,,,,,,,,
PQLC2,0,0,1.0,0.0,0.0,0.09560682269087752,,,,,,,,,,,
CAPZB,0.0005488810711540282,0,1.0,0.0,0.0,,,,,,,,,,,,
MINOS1,0.016415763646364212,0,1.0,0.0,0.0,,,,,,,,,,,,
NBL1,0.0008605198236182332,0,2.0,0.0,0.0,0.12389331323113215,,,,,,,,,,,
TMCO4,0.06354525685310364,0,1.0,0.0,0.0,0.06354522553754509,,,,,,,,,,,
OTUD3,0,0,1.0,0.0,0.0,,,,,,,,,,,,
UBXN10-AS1,0,0,1.0,0.0,0.0,,,,,,,,,,,,
MUL1,0,0,1.0,0.0,0.0,0.1301408330461615,,,,,,,,,,,
DDOST,0.032908402383327484,0,2.0,0.0,0.0,0.09292533879462705,,,,,,,,,,,
HP1BP3,0.004437458235770464,0,1.0,0.0,0.0,,,,,,,,,,,,
EIF4G3,0,0,0.0,0.0,0.0,,,,,,,,,,,,
RPS15AP6,0,0,1.0,0.0,0.0,0.08200779216501314,,,,,,,,,,,
ECE1,0.08308419585227966,0,1.0,0.0,0.0,0.08308419448691166,,,,,,,,,,,
NBPF3,0,0,1.0,0.0,0.0,,,,,,,,,,,,
USP48,0.10545234382152557,0,1.0,0.0,0.0,0.10545235099535642,,,,,,,,,,,
LINC00339,0.032494693994522095,0,2.0,0.0,0.0,0.05928512044516174,,,,,,,,,,,
CDC42,0.002339019440114498,0,4.0,0.0,0.0,0.1851916592038721,0.0004850003658066326,,,,,,,,,,
ZBTB40,0,0,1.0,0.0,0.0,,,,,,,,,,,,
KDM1A,0,0,1.0,0.0,0.0,0.13351657905805372,,,,,,,,,,,
LUZP1,0,0,0.0,0.0,0.0,,,,,,,,,,,,
HNRNPR,0.06864872574806213,0,1.0,0.0,0.0,0.06864875830672085,,,,,,,,,,,
ID3,0.06440359354019165,0,3.0,1.0,1.0,0.31490069893421463,0.18870727927453498,0.008628169893396839,,,,,,,,,
RPL11,0.2926506996154785,1,1.0,1.0,1.0,0.29265073398557095,,,,,,,,,,,
TCEB3,0.005259864963591099,0,2.0,0.0,0.0,,,,,,,,,,,,
RP5-886K2.3,0.11655204743146896,0,4.0,0.0,0.0,0.16027355427318998,0.0009401237540508287,,,,,,,,,,
PITHD1,0,0,3.0,0.0,0.0,0.10113585238032498,,,,,,,,,,,
LYPLA2,0.0004602692788466811,0,4.0,0.0,0.0,0.09081461150192556,,,,,,,,,,,
GALE,0.002902794862166047,0,3.0,0.0,1.0,0.39673439519032083,,,,,,,,,,,
HMGCL,0,0,2.0,0.0,0.0,,,,,,,,,,,,
FUCA1,0.0021649154368788004,0,1.0,0.0,0.0,,,,,,,,,,,,
PNRC2,0.011704395525157452,0,1.0,0.0,0.0,,,,,,,,,,,,
SRSF10,0.08356861770153046,0,1.0,0.0,0.0,0.08356860870182178,,,,,,,,,,,
IFNLR1,0.02211887016892433,0,3.0,0.0,0.0,,,,,,,,,,,,
NIPAL3,0.01499710138887167,0,4.0,0.0,0.0,0.1617740108141781,0.0028073032445703207,,,,,,,,,,
RCAN3,0.03233800455927849,1,3.0,1.0,1.0,0.2893765853842445,,,,,,,,,,,
SRRM1,0.0508277527987957,0,1.0,0.0,0.0,0.050827738688512904,,,,,,,,,,,
RUNX3,0.04417302459478378,0,10.0,0.0,1.0,0.24014757035593914,0.10618090500372,0.03821742745090532,0.01003368861154561,,,,,,,,
SYF2,0.07866819202899933,0,4.0,0.0,0.0,0.16124343477413094,0.0976732272273604,0.015095344262093675,,,,,,,,,
C1orf63,0.006914469879120588,0,6.0,0.0,0.0,0.17184187331019773,0.026124576628226707,0.024940114308166294,0.0018865199969910654,,,,,,,,
TMEM50A,0.01901772804558277,0,3.0,0.0,0.0,,,,,,,,,,,,
TMEM57,8.831528248265386e-05,0,1.0,0.0,0.0,,,,,,,,,,,,
MTFR1L,0,1,3.0,1.0,1.0,0.46636007937574947,0.02684851434258111,,,,,,,,,,
STMN1,0.0005176603444851935,0,4.0,0.0,0.0,,,,,,,,,,,,
PAFAH2,0.06556390225887299,0,2.0,0.0,0.0,0.06556391216802641,,,,,,,,,,,
PDIK1L,0.010499690659344196,0,2.0,0.0,0.0,0.06976713969443252,,,,,,,,,,,
CEP85,0,0,3.0,0.0,0.0,0.06831873425968082,,,,,,,,,,,
SH3BGRL3,0.0028350455686450005,0,4.0,0.0,0.0,0.05893927021473055,,,,,,,,,,,
UBXN11,0,0,4.0,0.0,0.0,0.17890978748985054,,,,,,,,,,,
CD52,0.2440636307001114,1,9.0,1.0,4.0,0.5628670096263133,0.0177424199333484,0.01616369088401936,0.014581149347276178,0.011413841253875097,0.008227596435667063,0.004508986498961542,,,,,
DHDDS,0.06359118223190308,0,3.0,0.0,0.0,0.10059868434087178,0.013079789092901197,0.00016208789479895376,,,,,,,,,
HMGN2,0.09803113341331482,0,2.0,0.0,0.0,0.09803112113179764,,,,,,,,,,,
RPS6KA1,0.027000952512025833,0,4.0,0.0,0.0,0.18753693278419195,0.0011371290063278122,,,,,,,,,,
ARID1A,0.0001402197958668694,0,4.0,0.0,0.0,0.16675694858474038,0.0035804626062576096,,,,,,,,,,
PIGV,0.18201521039009094,0,3.0,0.0,0.0,0.22648256888806342,0.017838022024684326,,,,,,,,,,
ZDHHC18,0.26325279474258423,1,5.0,0.0,2.0,0.44220835877472553,3.590593621099411e-05,,,,,,,,,,
GPN2,0.07639972865581512,0,3.0,1.0,1.0,0.2953652276990004,0.14426193387364936,0.11156388681374711,,,,,,,,,
GPATCH3,0.15061482787132263,0,3.0,0.0,0.0,0.1900128515788104,0.00021608678455308143,,,,,,,,,,
NUDC,0.20622560381889343,0,4.0,0.0,1.0,0.20622556453766466,,,,,,,,,,,
SLC9A1,0.17943502962589264,1,3.0,0.0,0.0,0.2501291683310336,0.003810813075057323,,,,,,,,,,
TMEM222,0.0019417325966060162,0,1.0,0.0,0.0,,,,,,,,,,,,
SYTL1,0.06533067673444748,0,4.0,0.0,0.0,0.06533068596417274,,,,,,,,,,,
MAP3K6,0.3978964686393738,2,6.0,2.0,2.0,0.31314219682664657,0.2671987681999989,0.06072907121324581,,,,,,,,,
WASF2,0.1558222621679306,0,2.0,0.0,0.0,0.15582224356305083,,,,,,,,,,,
RP1-159A19.3,0,0,5.0,0.0,0.0,,,,,,,,,,,,
IFI6,0.05237136408686638,0,2.0,0.0,0.0,0.10267471487649169,0.001971212207246255,,,,,,,,,,
FAM76A,0.010361586697399616,1,2.0,1.0,1.0,0.360921876972397,,,,,,,,,,,
STX12,0.0018204371444880962,0,2.0,0.0,0.0,,,,,,,,,,,,
PPP1R8,0.01788693107664585,0,1.0,0.0,0.0,,,,,,,,,,,,
THEMIS2,0,0,4.0,0.0,0.0,0.18635240205374556,0.0008293781531487159,,,,,,,,,,
RPA2,0.0008667793590575457,0,2.0,0.0,0.0,,,,,,,,,,,,
EYA3,0,0,1.0,0.0,0.0,,,,,,,,,,,,
RN7SL559P,0,0,0.0,0.0,0.0,,,,,,,,,,,,
SPCS2P4,0,0,0.0,0.0,0.0,,,,,,,,,,,,
DNAJC8,0,0,4.0,0.0,0.0,,,,,,,,,,,,
AL353354.1,0,0,5.0,0.0,0.0,0.1239790437803355,,,,,,,,,,,
ATPIF1,0,1,5.0,1.0,1.0,0.35517966990650895,,,,,,,,,,,
RP5-1092A3.4,0,0,4.0,0.0,1.0,0.2061966349373149,0.019803637081252757,,,,,,,,,,
SESN2,0.11140412837266922,0,6.0,0.0,0.0,0.1724645207199095,0.0001773903847211377,8.289602669096704e-07,,,,,,,,,
PHACTR4,0,0,3.0,0.0,0.0,0.07897147603053699,,,,,,,,,,,
SNHG3,0.00021922324958723038,0,1.0,0.0,0.0,,,,,,,,,,,,
TRNAU1AP,0.00020309150568209589,0,4.0,0.0,1.0,0.20226557126467398,,,,,,,,,,,
SNHG12,1.2248800885572564e-05,0,1.0,0.0,0.0,,,,,,,,,,,,
SNORD99,0,0,1.0,0.0,0.0,0.11564468332136249,,,,,,,,,,,
TAF12,0.050244759768247604,0,3.0,0.0,0.0,0.05024476251945978,,,,,,,,,,,
GMEB1,0,0,3.0,0.0,0.0,0.17820492337626537,,,,,,,,,,,
YTHDF2,0.004440321121364832,0,1.0,0.0,0.0,,,,,,,,,,,,
EPB41,0,0,6.0,0.0,0.0,0.17291660247517282,0.029994323460168774,0.00013120402230331325,,,,,,,,,
RP4-604A21.1,0,0,0.0,0.0,0.0,,,,,,,,,,,,
SRSF4,0,0,3.0,0.0,0.0,0.16398720380831264,0.07870792673156984,0.007215973642564146,,,,,,,,,
MECR,0.007955147884786129,0,2.0,0.0,0.0,,,,,,,,,,,,
LAPTM5,0,0,2.0,0.0,0.0,0.13955686512496002,0.0007448702268050653,,,,,,,,,,
PUM1,0,0,1.0,0.0,0.0,,,,,,,,,,,,
SNRNP40,0,0,2.0,0.0,0.0,0.055601633498789514,,,,,,,,,,,
RP11-490K7.4,0,0,2.0,0.0,0.0,0.1714483418107133,,,,,,,,,,,
ZCCHC17,0.08139081299304962,1,2.0,0.0,0.0,0.21099556288430923,0.009774399236904279,,,,,,,,,,
PEF1,0,1,1.0,1.0,1.0,0.28676069981135316,,,,,,,,,,,
PTP4A2,0.2457582652568817,1,4.0,1.0,2.0,0.3600375485604478,0.03331570550359621,0.01539936162343251,,,,,,,,,
KHDRBS1,0,0,3.0,0.0,0.0,0.16758056945988836,0.04829288892967195,1.8003371350013375e-05,,,,,,,,,
TMEM39B,0.019085658714175224,0,1.0,0.0,0.0,,,,,,,,,,,,
KPNA6,0,0,3.0,0.0,1.0,0.21289359028989044,,,,,,,,,,,
TXLNA,0.1279444396495819,0,2.0,0.0,0.0,0.12794452683088334,,,,,,,,,,,
CCDC28B,0.004599457141011953,0,3.0,0.0,0.0,,,,,,,,,,,,
TMEM234,0.002229101490229368,1,7.0,1.0,1.0,0.33072809273373827,0.020159012265397496,0.004154435867742915,,,,,,,,,
EIF3I,0,0,4.0,0.0,0.0,0.0833037762444414,,,,,,,,,,,
LCK,0.08224184811115265,1,9.0,0.0,0.0,0.2963061581107063,0.07733776250394395,0.05724847363710404,0.01986934050838807,0.01754428824451294,0.012641129625139002,,,,,,
HDAC1,0.24205800890922546,0,10.0,0.0,1.0,0.2031539999480326,0.09774464680035283,0.07950271914313531,,,,,,,,,
BSDC1,0.4682239890098572,1,1.0,1.0,1.0,0.46822401324584306,,,,,,,,,,,
ZBTB8OS,1.816227268136572e-05,0,1.0,0.0,0.0,,,,,,,,,,,,
RBBP4,0,0,2.0,0.0,0.0,0.11952540536871324,,,,,,,,,,,
YARS,0.018995996564626694,0,5.0,0.0,0.0,,,,,,,,,,,,
S100PBP,0.103390172123909,0,4.0,0.0,0.0,0.20274061349369457,0.006897811712641373,2.3315587141262492e-05,,,,,,,,,
AL031602.1,0,0,0.0,0.0,0.0,,,,,,,,,,,,
RNF19B,0.005461237393319607,0,4.0,0.0,0.0,,,,,,,,,,,,
AK2,0.009256061166524887,1,5.0,0.0,1.0,0.2585482272932297,0.011710577368407329,,,,,,,,,,
ADC,0.01276423130184412,0,5.0,0.0,0.0,0.19950959511280295,,,,,,,,,,,
TRIM62,0,0,1.0,0.0,1.0,0.20137827968112995,,,,,,,,,,,
SMIM12,0.01269689854234457,0,4.0,0.0,0.0,0.16114683473000188,,,,,,,,,,,
ZMYM6,0.03379272669553757,0,2.0,0.0,0.0,,,,,,,,,,,,
ZMYM1,0.006922661792486906,0,2.0,0.0,0.0,,,,,,,,,,,,
SFPQ,0,0,1.0,0.0,0.0,,,,,,,,,,,,
ZMYM4,0.22141756117343903,0,1.0,0.0,1.0,0.221417600966919,,,,,,,,,,,
ZMYM4-AS1,0,0,0.0,0.0,0.0,,,,,,,,,,,,
KIAA0319L,6.8098402152827475e-06,0,2.0,0.0,0.0,0.1579355589728053,,,,,,,,,,,
NCDN,0,0,3.0,0.0,0.0,0.11352396493282009,0.038020377507856466,,,,,,,,,,
RP4-728D4.2,3.6530778743326664e-05,0,3.0,0.0,1.0,0.22000365057584786,,,,,,,,,,,
TFAP2E,0,0,3.0,0.0,0.0,0.1832110910952327,,,,,,,,,,,
PSMB2,0,1,1.0,1.0,1.0,0.27670998813763104,,,,,,,,,,,
C1orf216,0.05344318598508835,0,2.0,0.0,0.0,0.07481398549822645,3.532711022931329e-05,,,,,,,,,,
AGO4,0,1,3.0,1.0,1.0,0.24853050786522782,,,,,,,,,,,
AGO1,0,0,2.0,0.0,0.0,0.056875205278725964,,,,,,,,,,,
AGO3,0.11577785760164261,0,2.0,0.0,0.0,0.0945570323756299,0.021667410409358333,,,,,,,,,,
ADPRHL2,0,0,0.0,0.0,0.0,,,,,,,,,,,,
MAP7D1,0,0,0.0,0.0,0.0,,,,,,,,,,,,
THRAP3,0,0,1.0,0.0,0.0,,,,,,,,,,,,
EVA1B,0,0,2.0,0.0,0.0,,,,,,,,,,,,
STK40,0.0014034474734216928,0,4.0,0.0,0.0,0.11838541288959813,,,,,,,,,,,
LSM10,0,0,3.0,0.0,0.0,0.09067919164254487,,,,,,,,,,,
MRPS15,0.009566796012222767,0,2.0,0.0,0.0,,,,,,,,,,,,
LINC01137,0,1,4.0,1.0,1.0,0.31692358315106545,,,,,,,,,,,
ZC3H12A,0.03853079304099083,0,3.0,0.0,0.0,0.07869219964736542,,,,,,,,,,,
MEAF6,0.010160242207348347,0,2.0,0.0,0.0,0.06474903216114158,,,,,,,,,,,
