gene_name,Celltype loading,Gene
GZMH,0.18228789,GZMH
FGFBP2,0.17233449,FGFBP2
GPR56,0.16721076,GPR56
GZMB,0.16139519,GZMB
NKG7,0.13893583,NKG7
GNLY,0.13122174,GNLY
SPON2,0.12666252,SPON2
ZEB2,0.12446633,ZEB2
ZNF683,0.12208677,ZNF683
HLA-B,0.12048378,HLA-B
FCGR3A,0.11927806,FCGR3A
S1PR5,0.11825132,S1PR5
EFHD2,0.11815414,EFHD2
FCRL6,0.11559319,FCRL6
AOAH,0.10893657,AOAH
PRF1,0.10755242,PRF1
CX3CR1,0.106662214,CX3CR1
CST7,0.10622252,CST7
FGR,0.104539245,FGR
CCL4,0.09718077,CCL4
ITGB2,0.096334144,ITGB2
KLRD1,0.09310166,KLRD1
ITGAM,0.08935197,ITGAM
TTC38,0.08622855,TTC38
TBX21,0.08388451,TBX21
B2M,0.08102813,B2M
LGALS1,0.07822149,LGALS1
KLRB1,0.07710766,KLRB1
FCGR3B,0.075127274,FCGR3B
CD300A,0.07501456,CD300A
F2R,0.067978606,F2R
ARPC2,0.065804526,ARPC2
LAIR2,0.056823447,LAIR2
KLRG1,0.05349463,KLRG1
BZRAP1,0.04804537,BZRAP1
IL2RB,0.040493496,IL2RB
HLA-DRB1,0.036781672,HLA-DRB1
STOM,0.033874042,STOM
HOPX,0.030804792,HOPX
CD63,0.028904341,CD63
TIGIT,0.022409918,TIGIT
CD7,0.018265463,CD7
RP11-23P13.6,0.013922252,RP11-23P13.6
TMEM11,0.013801711,TMEM11
DFNB31,0.011120633,DFNB31
SPOCK2,0.0091576455,SPOCK2
ITM2A,0.008483686,ITM2A
CD5,0.007240136,CD5
DDX10,0.0001651967,DDX10
TSPYL2-1,-0.0013561005,TSPYL2-1
ALOX5AP,-0.003365564,ALOX5AP
MAT2A,-0.008472104,MAT2A
PAX8-AS1,-0.009054624,PAX8-AS1
AMICA1,-0.01683126,AMICA1
KLRC4-KLRK1,-0.019315923,KLRC4-KLRK1
HNRNPA1,-0.030354496,HNRNPA1
MT-ND2,-0.031513434,MT-ND2
C1orf162,-0.032744173,C1orf162
MT-CO3,-0.035650928,MT-CO3
EEF1A1P6,-0.03712389,EEF1A1P6
RPL4P4,-0.040258367,RPL4P4
NSG1,-0.04287321,NSG1
RHOH,-0.0452572,RHOH
PDE4B,-0.052130826,PDE4B
SNHG5,-0.052871738,SNHG5
C1orf228,-0.05305782,C1orf228
PASK,-0.059322976,PASK
RPLP0P6,-0.06362011,RPLP0P6
CAMK4,-0.06581595,CAMK4
DPP4,-0.06752238,DPP4
SATB1,-0.06832251,SATB1
FAM211A-AS1,-0.07338572,FAM211A-AS1
DGKA,-0.07526689,DGKA
LDLRAP1,-0.07848825,LDLRAP1
CD28,-0.085191734,CD28
RPS29,-0.09252837,RPS29
RPS19,-0.0948635,RPS19
NOSIP,-0.09641473,NOSIP
RPS18,-0.10297588,RPS18
RPL10A,-0.10621069,RPL10A
RPSA,-0.10641378,RPSA
RPL32,-0.10788926,RPL32
RPL19,-0.11461384,RPL19
RPS28,-0.11550781,RPS28
EEF1A1P5,-0.12129359,EEF1A1P5
RPL18A,-0.12491141,RPL18A
RPL4,-0.12537941,RPL4
RPLP1,-0.12778278,RPLP1
RPS4X,-0.1281944,RPS4X
RPL13A,-0.12882935,RPL13A
SELL,-0.12888151,SELL
RPLP2,-0.12906048,RPLP2
RPS12,-0.12975545,RPS12
RPS14,-0.13214931,RPS14
TPT1,-0.13268493,TPT1
TCF7,-0.1331119,TCF7
RPLP0,-0.13395435,RPLP0
IL7R,-0.13604107,IL7R
RPL5,-0.13671184,RPL5
RPL13,-0.13822567,RPL13
RPS8,-0.1401927,RPS8
RPL3,-0.14096999,RPL3
RPS6,-0.14431456,RPS6
CCR7,-0.14662172,CCR7
LTB,-0.15793958,LTB
GZMK,-0.15828001,GZMK
