gene_name,adjusted p-value
PAX8-AS1,0.0009999973684279779
FCRL6,0.0009999975062406328
GZMB,0.0009999975062406328
SELL,0.0009999975903672521
IL7R,0.0009999975903672521
CD300A,0.0009999975903672521
GNLY,0.0009999976190532879
RPL13,0.0009999976190532879
KLRB1,0.0009999976190532879
GPR56,0.0009999976190532879
GZMK,0.0009999976635568608
GZMH,0.0009999976635568608
KLRD1,0.0009999976635568608
C1orf228,0.0009999978022026325
KCNN4,0.0009999981273443308
FCGR3A,0.0019999950124812657
NKG7,0.0019999952381065758
RPLP0,0.0019999952381065758
LTB,0.0019999953271137216
FGFBP2,0.0019999953271137216
S1PR5,0.003999991051474158
TCF7,0.004999987951836261
CCR7,0.005999984252009837
ITGAM,0.0059999850374437965
NOSIP,0.005999985542203512
RPS12,0.005999985714319728
RHOH,0.0069999831325707655
RP11-23P13.6,0.00799998241762106
IFNG-AS1,0.008999977443665553
EEF1A1P6,0.016999959523905896
COL18A1,0.016999967863954888
CD7,0.01799995662661054
RPL4,0.017999957142959183
LAIR2,0.03999990476213152
CCL4,0.04199990604047866
RPSA,0.049999880952664395
