gene_name,adjusted p-value
BZRAP1,0.0009999955555753085
TIGIT,0.0009999968652135887
FCGR3B,0.0009999968944195826
AOAH,0.000999997142865306
GPR56,0.000999997142865306
GZMB,0.000999997142865306
FGFBP2,0.0009999972826160797
GNLY,0.000999997429312521
DGKA,0.000999997429312521
LDLRAP1,0.000999997429312521
CD63,0.000999997429312521
EFHD2,0.0009999974683608396
CAMK4,0.0009999974683608396
RPS6,0.00099999750000625
GZMK,0.00099999750000625
IL7R,0.00099999750000625
RPL13A,0.00099999750000625
RPL4,0.00099999750000625
TPT1,0.00099999750000625
RPLP0,0.00099999750000625
RPS14,0.00099999750000625
RPS18,0.00099999750000625
LTB,0.00099999750000625
RPL5,0.00099999750000625
NOSIP,0.00099999750000625
FAM211A-AS1,0.00099999750000625
FCRL6,0.000999997524758602
GZMH,0.0009999975961596246
FCGR3A,0.0009999975961596246
ZNF683,0.000999997635939395
F2R,0.000999997635939395
ZEB2,0.000999997635939395
FGR,0.0009999976470643599
COL6A2,0.0029999927536406915
CST7,0.003999989717250084
EEF1A1P5,0.003999990000025
NKG7,0.003999990000025
RPS8,0.003999990000025
RPL4P4,0.003999990000025
RPL3,0.003999990000025
RPL19,0.003999990000025
FCRL3,0.005999981366517495
STOM,0.00599998369569648
LGALS1,0.005999985576957747
USP30-AS1,0.006999986891410315
PRF1,0.007999979434500168
RPL18A,0.00799998000005
RPS4X,0.00899997750005625
TTC38,0.008999978823579238
RPLP0P6,0.0099999750000625
CCR7,0.010999972151969236
KLRC4-KLRK1,0.01199996739139296
SPOCK2,0.011999970000075
CX3CR1,0.012999959627454573
KLRB1,0.012999971982819002
SNHG5,0.0139999650000875
RPS12,0.0139999650000875
RPL13,0.0139999650000875
RPL32,0.01499996250009375
RPL10A,0.0159999600001
HNRNPA1,0.0219999450001375
S1PR5,0.02499995088418294
RPLP2,0.02699993250016875
HLA-B,0.0319999200002
TMEM11,0.03299992533953543
RPS19,0.03499991250021875
PDE4B,0.03599991346174648
TBX21,0.038999908235510035
IL2RB,0.03999990099034408
DPP4,0.041999880000342854
CD300A,0.04199989367115526
PRSS21,0.04399991760315056
RPS29,0.0479998800003
RPS28,0.04899987750030625
