gene_name,transcript_length,GC_content,gene_name,highly_variable,highly_variable_rank,means,variances,variances_norm,n_counts,n_cells,mt,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts
WASH7P,1560.4,54.65999999999999,WASH7P,False,,0.9184060721062619,2.2915317399820943,0.7133180094520281,78290.664,440,False,440,2.0421343,1.1125593,58.254269449715366,2152.4094,7.6748075
MTND1P23,372.0,44.35,MTND1P23,False,,0.610056925996205,1.0852169008399242,0.5788762059556338,63472.81,368,False,368,1.6537528,0.9759748,65.08538899430741,1743.0554,7.4639683
MTND2P28,1044.0,43.1,MTND2P28,True,5921.0,18.767552182163186,464.84145326175667,1.1570189350856188,1955801.9,814,False,814,5.8122444,1.9187217,22.77039848197343,6126.1055,8.720478
hsa-mir-6723,1543.0,45.76,hsa-mir-6723,True,7432.0,60.487666034155595,3826.930047159017,1.0764578050382083,6422838.0,824,False,824,6.7096,2.0424664,21.82163187855788,7071.9185,8.864029
RP5-857K21.7,682.0,45.31,RP5-857K21.7,False,,1.2267552182163188,2.990318616188334,0.6229297510991118,222578.53,546,False,546,2.6238973,1.2875501,48.197343453510435,2765.588,7.92537
MTATP8P1,207.0,38.16,MTATP8P1,False,,0.3984819734345351,0.5210233344325671,0.46911310800643813,32213.307,310,False,310,1.3238825,0.84323925,70.58823529411764,1395.3721,7.241633
MTATP6P1,681.0,43.91,MTATP6P1,False,,2.4971537001897532,12.61680100769285,0.9149902966634322,259299.98,649,False,649,3.392438,1.4798844,38.425047438330175,3575.6296,8.182177
RP5-857K21.11,547.0,48.26,RP5-857K21.11,False,,4.550284629981024,26.069168959744566,0.7289557187470359,433282.53,708,False,708,4.06877,1.6230981,32.82732447817837,4288.4834,8.363921
RP11-206L10.1,1236.0,65.99,RP11-206L10.1,False,,0.08538899430740038,0.1161585854817985,0.6086620056609638,6761.596,72,False,72,0.29990637,0.26229224,93.16888045540796,316.10132,5.7592216
RP11-206L10.2,1317.0,46.79,RP11-206L10.2,False,,0.07020872865275142,0.08433480919249423,0.5523523204702228,5733.423,64,False,64,0.26684698,0.23653112,93.92789373814043,281.2567,5.642817
