gene_name,transcript_length,GC_content,gene_name,highly_variable,highly_variable_rank,means,variances,variances_norm,mt,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,on_ratio,F_pval,K_pval,chi2_pval,pathway
WASH7P,1560.4,54.65999999999999,WASH7P,False,,9.955089820359282,284.82980885076694,0.0941303993102439,False,209,1.1767274,0.77782255,37.4251497005988,393.02695,5.9764194,0.17592592592592593,2.8235247965967416e-07,1.680643949237989e-06,0.0016932515900241274,
MTND2P28,1044.0,43.1,MTND2P28,False,,59.691616766467064,2301.018728309148,0.08998675971034033,False,327,3.671524,1.5414853,2.095808383233533,1226.2891,7.112563,0.9814814814814815,0.08462884876255825,0.021520408040816126,0.9999999999991723,
hsa-mir-6723,1543.0,45.76,hsa-mir-6723,False,,30.269461077844312,886.1373828918739,0.07414273393628516,False,318,2.4630694,1.2421553,4.790419161676651,822.66516,6.713764,0.6481481481481481,0.0001155470509515196,0.0006854053536669868,0.9104210493870187,
MTATP6P1,681.0,43.91,MTATP6P1,False,,550.9910179640718,174682.79571487659,0.4385288032122899,False,331,6.347172,1.9943155,0.8982035928143728,2119.9553,7.6596217,1.0,0.0010340794400476067,0.0013610968839248363,1.0,
LINC01128,1197.3636363636363,46.34000000000001,LINC01128,True,2475.0,18.15568862275449,9152.137850425275,1.38380457145312,False,24,0.31632656,0.27484494,92.81437125748504,105.65307,4.6695814,0.06790123456790123,0.6421901305933553,0.6974682901020147,0.5161865892895199,
NOC2L,1749.0,59.550000000000004,NOC2L,True,3483.0,88.75748502994011,51429.62569455684,1.289504850475769,False,85,1.0842206,0.73439497,74.55089820359282,362.1297,5.89476,0.2191358024691358,0.08991847130651907,0.13338962259578502,0.1999903365729784,
ISG15,711.0,64.58,ISG15,False,,254.33532934131736,133485.16649583715,0.9538329555311178,False,233,3.85578,1.5801697,30.239520958083833,1287.8304,7.1614904,0.6512345679012346,9.850061632651598e-09,2.667762400733029e-09,0.4349226360254774,
RP11-465B22.3,741.3333333333334,64.27,RP11-465B22.3,False,,69.7874251497006,27611.867589146033,0.9060860965842301,False,112,1.6046389,0.95729405,66.46706586826348,535.9494,6.285904,0.30864197530864196,0.00042298503071364806,0.00029340304656995457,0.060781486358407896,
C1orf159,1529.8181818181818,54.65,C1orf159,True,7086.0,31.961077844311376,13603.082564600529,1.0717836215439729,False,44,0.5178603,0.41730165,86.82634730538922,172.96533,5.158856,0.09876543209876543,0.2053024758422027,0.2068995852588728,0.31176208871644334,
TNFRSF18,865.5,67.46,TNFRSF18,True,1588.0,821.8592814371258,1096405.3585172,1.5195109001241467,False,291,5.23873,1.8307766,12.874251497005984,1749.7358,7.4677916,0.8117283950617284,2.2716468516465323e-09,2.2986074822823403e-09,0.9440149603935393,
TNFRSF4,1056.0,70.39,TNFRSF4,True,451.0,71.59880239520957,59745.52624480769,1.9047942331181145,False,79,1.0956945,0.73988503,76.34730538922156,365.96198,5.905258,0.21296296296296297,7.310860970734886e-09,9.000884086665227e-08,7.179822653467178e-05,
SDF4,1803.75,61.35000000000001,SDF4,False,,358.18562874251495,173574.0435165705,0.7935575779140439,False,243,3.6139116,1.529076,27.245508982035926,1207.0465,7.09676,0.6759259259259259,9.18614829382537e-05,0.0034124321247211765,0.6028296838883582,
UBE2J2,1020.5,56.33,UBE2J2,False,,122.88622754491018,57678.833863803935,0.9975821512715335,False,151,2.131636,1.1415555,54.79041916167664,711.96643,6.569434,0.39814814814814814,0.6168880036721345,0.5934644541208036,0.9151558781390442,
ACAP3,1794.5384615384614,67.29999999999998,ACAP3,False,,28.290419161676645,11569.918406430384,1.0440919661106354,False,44,0.5135174,0.41443634,86.82634730538922,171.5148,5.150483,0.1111111111111111,0.6977404717688681,0.41313399824916563,0.7684422999886253,
PUSL1,1131.2,66.76,PUSL1,False,,24.149700598802394,6324.05560051069,0.6834223436625878,False,41,0.54096633,0.4324097,87.72455089820359,180.68275,5.202262,0.1111111111111111,0.3434338047093883,0.32933414030788993,0.44291563248993926,
CPSF3L,1229.875,60.46000000000003,CPSF3L,True,6307.0,157.8323353293413,86121.77360594129,1.1079113728088168,False,135,1.8800634,1.0578123,59.58083832335329,627.94116,6.444038,0.33024691358024694,0.05817349632698532,0.0750455131396129,0.3719263099976884,
GLTPD1,1358.0,65.26,GLTPD1,False,,21.81437125748503,7085.196669723617,0.8600944627691366,False,37,0.45936295,0.37800002,88.92215568862275,153.42723,5.039723,0.08950617283950617,0.14665834718501922,0.09403229334666936,0.37992087633778454,
AURKAIP1,849.1666666666666,66.87,AURKAIP1,False,,184.65269461077844,64105.921058783344,0.6822479744656209,False,218,3.3849213,1.4781717,34.73053892215569,1130.5637,7.031356,0.6080246913580247,0.00019717041226695564,0.00013608290586309137,0.5528577565921056,
CCNL2,1673.75,51.36999999999999,CCNL2,True,6331.0,282.25748502994014,176938.31788674902,1.106715778758286,False,214,2.976606,1.3804287,35.928143712574844,994.1864,6.9029303,0.5679012345679012,0.7697272234513912,0.9294394949478846,0.9862979071472054,
RP4-758J18.2,1346.125,59.37,RP4-758J18.2,True,1848.0,80.76047904191617,52711.936451421476,1.4684220734009241,False,71,0.90416056,0.64404124,78.74251497005989,301.98962,5.7136984,0.16049382716049382,0.21420681428157554,0.15883704623631187,0.4359811990548724,
MRPL20,811.5,53.09000000000001,MRPL20,False,,150.37125748502993,38556.54643865422,0.5254968006654878,False,223,3.27442,1.4526484,33.23353293413174,1093.6562,6.9981956,0.6172839506172839,0.07717298828585108,0.41371284566534056,0.8430596178931677,
ATAD3B,2459.3333333333335,58.82999999999999,ATAD3B,False,,11.434131736526947,3692.4325852798906,1.0131234571703935,False,26,0.22885543,0.2060832,92.21556886227545,76.43771,4.349474,0.05246913580246913,0.314409436357256,0.4823966912604477,0.44379614056914796,
SSU72,1706.5,53.87,SSU72,False,,228.52694610778443,96999.08485731241,0.7930840599494803,False,230,3.124568,1.4169613,31.137724550898206,1043.6057,6.9513946,0.6296296296296297,0.15182214468201624,0.24394407895614384,0.937770628345,
MIB2,2003.9714285714285,66.41000000000001,MIB2,False,,22.61676646706587,7312.339177500855,0.8514061938525521,False,51,0.51608586,0.4161319,84.73053892215569,172.37268,5.1554437,0.12654320987654322,0.36737198553948774,0.3624549700976947,0.4563325926994228,
CDK11B,2011.1666666666667,52.93,CDK11B,False,,9.589820359281438,1005.8642804481128,0.3500600326570375,False,76,0.5562726,0.4422936,77.24550898203593,185.79506,5.230012,0.13580246913580246,0.6993794378276095,0.7293744557874118,0.7676882030110703,
SLC35E2B,4311.5,53.64,SLC35E2B,False,,22.34431137724551,6287.433646221071,0.7423385296312913,False,67,0.45864394,0.3775072,79.94011976047905,153.18707,5.0381665,0.08641975308641975,0.09063750904529483,0.06797800275974641,0.32016537844994736,
CDK11A,1353.0833333333333,51.99,CDK11A,False,,4.982035928143713,245.14081746417077,0.2104726979919457,False,75,0.5166652,0.41651398,77.54491017964071,172.56618,5.156559,0.09567901234567901,0.3775573711545803,0.45594689774545777,0.23271375733961217,
SLC35E2,1287.0,52.17,SLC35E2,False,,3.9580838323353293,353.6378773983564,0.40983332965662783,False,34,0.26805687,0.2374857,89.82035928143712,89.53099,4.505692,0.06481481481481481,0.028903364756316878,0.03245270059524902,0.2899363692656611,
NADK,1305.5263157894738,53.700000000000024,NADK,True,6347.0,27.51497005988024,11869.229504954057,1.105631089062012,False,44,0.5429107,0.4336707,86.82634730538922,181.33217,5.20583,0.10802469135802469,0.685891974458523,0.6343434674683748,0.8214017695840451,
GNB1,1257.75,46.68,GNB1,False,,79.36526946107784,36230.869180557806,1.0290746319284352,False,108,1.3599684,0.85864824,67.66467065868264,454.22946,6.1208014,0.26851851851851855,0.9145022995454526,0.9600626005975265,0.9849429075059275,
C1orf86,1776.0666666666666,60.960000000000015,C1orf86,False,,58.27245508982036,8920.018638398878,0.3584022161957964,False,151,1.740663,1.0081999,54.79041916167664,581.3815,6.3671255,0.41975308641975306,0.6496768909081607,0.6345753799383869,0.9486141735200274,
RER1,1243.0,53.84000000000002,RER1,False,,278.01197604790417,134218.9307870745,0.8560507623329598,False,233,3.5453894,1.5141134,30.239520958083833,1184.16,7.077633,0.654320987654321,0.22243553925413517,0.19656982421614957,0.9856084754621435,
PEX10,1094.111111111111,62.25,PEX10,True,4753.0,29.137724550898202,13685.932926938916,1.1946919635219695,False,33,0.4881922,0.3975621,90.11976047904191,163.0562,5.100209,0.09259259259259259,0.5171187885611406,0.5086507850719761,0.6124845216608802,
PANK4,1128.75,60.71000000000001,PANK4,True,5583.0,132.32934131736528,72301.53685421949,1.1465220988480278,False,127,1.7857319,1.0245106,61.976047904191624,596.43445,6.3926444,0.3148148148148148,0.8543791234401128,0.9012823306534015,0.9165290744367389,
TNFRSF14,1266.75,64.05999999999997,TNFRSF14,False,,191.0988023952096,81907.09831687975,0.835779063278924,False,186,2.6076748,1.2830635,44.311377245508986,870.9634,6.7707477,0.49691358024691357,0.14259723338008928,0.14069660841547907,0.814720647718379,
FAM213B,1652.0666666666666,64.59000000000002,FAM213B,True,2909.0,24.805389221556887,12763.658709607811,1.3381861449528718,False,35,0.42041737,0.35095075,89.52095808383234,140.4194,4.95173,0.08024691358024691,0.3464076863874713,0.12495643582646808,0.49081944305154546,
TPRG1L,2301.5,52.22,TPRG1L,True,2636.0,18.838323353293415,9451.012821204438,1.3668292441394412,False,24,0.26106593,0.23195735,92.81437125748504,87.19602,4.479562,0.05246913580246913,0.8890894223327709,0.924474716051468,0.8790977467819817,
WRAP73,1461.7,55.25,WRAP73,True,4377.0,75.51497005988024,40707.68596141051,1.222277198344423,False,83,1.0840824,0.7343286,75.1497005988024,362.08353,5.894633,0.20679012345679013,0.29052170655627757,0.21923857310031084,0.5676518751449549,
LRRC47,1219.0,54.46,LRRC47,False,,50.05988023952096,21761.654061246878,1.03750961329068,False,67,0.8160155,0.5966448,79.94011976047905,272.54916,5.611481,0.14814814814814814,0.5757597655957698,0.4446822555595936,0.7396358144841608,
CEP104,1336.8181818181818,47.92000000000001,CEP104,True,1524.0,36.97604790419162,22855.24867382352,1.5293656569957854,False,41,0.5319397,0.4265347,87.72455089820359,177.66786,5.1855288,0.09876543209876543,0.6843978737144637,0.5550987132724347,0.6567930290107896,
