gene_name,transcript_length,GC_content,gene_name,highly_variable,highly_variable_rank,means,variances,variances_norm,mt,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,on_ratio,pathway
MTND2P28,1044.0,43.1,MTND2P28,False,,81.55555555555556,1218.0277777777774,0.31131134623757883,False,9,3.1804707,1.4304239,0.0,28.624237,3.388593,1.0,
hsa-mir-6723,1543.0,45.76,hsa-mir-6723,False,,76.55555555555556,880.7777777777778,0.2438747972356404,False,9,2.7501266,1.3217896,0.0,24.751139,3.248479,0.8888888888888888,
MTATP6P1,681.0,43.91,MTATP6P1,False,,2048.0,434665.2499999999,0.7624572862606888,False,9,6.8242903,2.057233,0.0,61.418613,4.1338634,1.0,
KLHL17,1235.75,67.87,KLHL17,True,2998.0,7.777777777777778,324.6944444444444,1.3797395641239125,False,4,0.53100246,0.42592272,55.55555555555556,4.779022,1.7542346,0.1111111111111111,
ISG15,711.0,64.58,ISG15,True,200.0,1352.2222222222222,664761.6944444445,2.4218769133443425,False,9,6.2563767,1.9818807,0.0,56.307392,4.0484295,1.0,
RP11-465B22.3,741.3333333333334,64.27,RP11-465B22.3,False,,23.88888888888889,640.3611111111112,0.7778778141138992,False,5,1.5790806,0.947433,44.44444444444444,14.211725,2.7220666,0.4444444444444444,
TNFRSF18,865.5,67.46,TNFRSF18,True,429.0,71.88888888888889,7134.361111111111,2.1005601558892715,False,8,2.5325766,1.2620275,11.111111111111116,22.79319,3.1693995,0.5555555555555556,
TNFRSF4,1056.0,70.39,TNFRSF4,True,5662.0,37.0,1898.2500000000002,1.2782613928772861,False,5,1.6150618,0.96128774,44.44444444444444,14.535556,2.7431314,0.4444444444444444,
SDF4,1803.75,61.35000000000001,SDF4,False,,31.77777777777778,793.9444444444445,0.6539419521814627,False,8,1.5979315,0.95471555,11.111111111111116,14.381384,2.7331579,0.3333333333333333,
B3GALT6,2793.0,64.2,B3GALT6,True,6925.0,30.666666666666668,1304.7499999999998,1.1276131379749903,False,6,1.0793194,0.7320406,33.333333333333336,9.713874,2.3715396,0.1111111111111111,
UBE2J2,1020.5,56.33,UBE2J2,False,,72.11111111111111,3116.111111111111,0.9297147340885291,False,9,2.822894,1.3410077,0.0,25.406046,3.273593,0.7777777777777778,
PUSL1,1131.2,66.76,PUSL1,True,2694.0,6.0,324.0,1.4091827494592366,False,1,0.29139253,0.25572112,88.88888888888889,2.6225328,1.2871735,0.1111111111111111,
CPSF3L,1229.875,60.46000000000003,CPSF3L,False,,45.44444444444444,1542.2777777777783,0.7990673803817425,False,8,2.179832,1.1568284,11.111111111111116,19.618488,3.0261881,0.4444444444444444,
RP5-890O3.9,386.0,47.97,RP5-890O3.9,True,4134.0,1.6666666666666667,25.0,1.318514457048158,False,1,0.28821048,0.25325403,88.88888888888889,2.5938942,1.2792363,0.1111111111111111,
GLTPD1,1358.0,65.26,GLTPD1,True,7389.0,11.666666666666666,329.25,1.0699190852743867,False,5,0.82522047,0.6017008,44.44444444444444,7.4269843,2.131439,0.1111111111111111,
AURKAIP1,849.1666666666666,66.87,AURKAIP1,True,2857.0,143.44444444444446,11561.277777777774,1.392251504888758,False,8,3.5072355,1.505684,11.111111111111116,31.56512,3.4832418,0.8888888888888888,
CCNL2,1673.75,51.36999999999999,CCNL2,True,6223.0,150.66666666666666,10935.750000000002,1.230170649830168,False,8,2.9903045,1.3838675,11.111111111111116,26.91274,3.3290832,0.8888888888888888,
RP4-758J18.2,1346.125,59.37,RP4-758J18.2,True,304.0,22.333333333333332,2079.5,2.2413560753181687,False,2,0.7051089,0.53362894,77.77777777777779,6.3459797,1.9941531,0.2222222222222222,
MRPL20,811.5,53.09000000000001,MRPL20,False,,411.1111111111111,24631.611111111142,0.6457339132269886,False,9,5.032437,1.7971511,0.0,45.29193,3.8349676,1.0,
SSU72,1706.5,53.87,SSU72,True,2646.0,400.3333333333333,51871.50000000003,1.4162938340594675,False,9,4.2155247,1.6516397,0.0,37.93972,3.6620147,1.0,
NADK,1305.5263157894738,53.700000000000024,NADK,False,,14.333333333333334,254.75,0.6268035899028306,False,6,1.118318,0.75062233,33.333333333333336,10.064861,2.4037745,0.1111111111111111,
GNB1,1257.75,46.68,GNB1,False,,220.44444444444446,13869.277777777768,0.9103667479627362,False,9,3.9266696,1.5946633,0.0,35.340027,3.5929198,1.0,
C1orf86,1776.0666666666666,60.960000000000015,C1orf86,False,,27.77777777777778,405.4444444444444,0.40042062178839366,False,8,1.5751758,0.9459178,11.111111111111116,14.176581,2.7197535,0.2222222222222222,
RER1,1243.0,53.84000000000002,RER1,False,,587.5555555555555,63584.527777777796,0.9475887211933061,False,9,4.9465938,1.7828186,0.0,44.519344,3.8181374,1.0,
PANK4,1128.75,60.71000000000001,PANK4,True,1778.0,43.111111111111114,3609.1111111111113,1.5676690735431174,False,7,1.8397397,1.0437124,22.22222222222222,16.557657,2.8654902,0.3333333333333333,
RP3-395M20.8,1772.6666666666667,62.87,RP3-395M20.8,False,,18.22222222222222,481.1944444444445,0.8516926200388973,False,6,1.0778989,0.7313572,33.333333333333336,9.70109,2.3703456,0.2222222222222222,
TNFRSF14,1266.75,64.05999999999997,TNFRSF14,False,,63.666666666666664,1603.75,0.5554586312259843,False,9,2.6850917,1.3042954,0.0,24.165825,3.225487,0.7777777777777778,
WRAP73,1461.7,55.25,WRAP73,False,,27.77777777777778,886.1944444444443,0.8752136953216717,False,7,1.4682382,0.9035046,22.22222222222222,13.214144,2.6542375,0.1111111111111111,
LRRC47,1219.0,54.46,LRRC47,False,,41.22222222222222,1687.6944444444443,0.9873421643734905,False,7,1.904104,1.0661249,22.22222222222222,17.136936,2.8979506,0.5555555555555556,
CEP104,1336.8181818181818,47.92000000000001,CEP104,True,3401.0,19.22222222222222,819.9444444444445,1.3472792337544621,False,4,0.9625454,0.6742423,55.55555555555556,8.662909,2.2682948,0.1111111111111111,
C1orf174,2560.6666666666665,49.32,C1orf174,False,,295.8888888888889,12787.86111111109,0.5493347040930939,False,9,3.5256221,1.509755,0.0,31.730598,3.4883103,1.0,
KCNAB2,1612.1,56.049999999999976,KCNAB2,True,3037.0,148.44444444444446,11980.77777777777,1.3758823103057045,False,9,3.1763105,1.4294282,0.0,28.586794,3.3873281,0.8888888888888888,
RPL22,1003.75,50.61000000000001,RPL22,False,,252.33333333333334,16714.24999999999,0.9039048862853942,False,9,4.3048496,1.6686214,0.0,38.74365,3.68245,1.0,Ribosomal Processes
ICMT,1863.6,49.59,ICMT,True,6264.0,77.0,4453.250000000001,1.224066909340131,False,6,1.926451,1.0737904,33.333333333333336,17.338058,2.9089787,0.5555555555555556,
ACOT7,1464.6363636363637,54.0,ACOT7,True,1225.0,65.33333333333333,5050.000000000002,1.6958023626134802,False,8,2.0338926,1.1098465,11.111111111111116,18.305035,2.960366,0.4444444444444444,
TNFRSF25,1203.3,59.700000000000024,TNFRSF25,False,,18.333333333333332,513.0,0.9003974663033574,False,6,1.1692778,0.7743943,33.333333333333336,10.5235,2.4443884,0.1111111111111111,
NOL9,1877.8,47.78,NOL9,True,3085.0,97.66666666666667,6779.499999999998,1.3721002226360872,False,8,2.2907264,1.1911083,11.111111111111116,20.616537,3.0734587,0.5555555555555556,
ZBTB48,1423.25,57.77999999999999,ZBTB48,True,957.0,12.0,569.25,1.7809082020591749,False,2,0.53241366,0.42684406,77.77777777777779,4.791723,1.7564298,0.1111111111111111,
THAP3,1030.875,56.769999999999996,THAP3,True,5582.0,22.555555555555557,980.7777777777778,1.2892646654345243,False,4,1.1417139,0.7616064,55.55555555555556,10.275425,2.4226255,0.3333333333333333,
DNAJC11,1410.857142857143,46.600000000000016,DNAJC11,True,726.0,22.0,1388.25,1.8884152079392664,False,3,0.8704959,0.6262036,66.66666666666667,7.834463,2.1786604,0.2222222222222222,
CAMTA1,1567.2941176470588,48.0,CAMTA1,False,,374.0,18632.499999999996,0.5641608126647776,False,9,4.285715,1.665008,0.0,38.571438,3.6781075,1.0,
VAMP3,1144.3333333333333,42.77,VAMP3,False,,90.33333333333333,2950.5000000000005,0.661560795489005,False,9,3.0640466,1.4021792,0.0,27.57642,3.352582,0.7777777777777778,
PER3,2435.4285714285716,40.53000000000001,PER3,True,1169.0,26.666666666666668,3348.25,1.710366834499215,False,3,0.7015352,0.5315309,66.66666666666667,6.313817,1.9897653,0.1111111111111111,
TNFRSF9,984.0,43.31,TNFRSF9,True,6680.0,451.44444444444446,51126.52777777776,1.1595653167208697,False,9,4.900305,1.775004,0.0,44.10274,3.808943,1.0,Exhaustion
PARK7,811.3,45.40999999999999,PARK7,False,,2211.8888888888887,386489.61111111275,0.5908994062075764,False,9,6.737491,2.0460775,0.0,60.63742,4.121269,1.0,
ENO1,1131.6666666666667,50.23,ENO1,True,166.0,2719.8888888888887,3150407.861111114,2.5137497356487004,False,9,6.4781957,2.0119915,0.0,58.30376,4.0826726,1.0,
ENO1-AS1,456.0,59.53,ENO1-AS1,False,,3.2222222222222223,33.44444444444445,0.7059235508164814,False,3,0.6748964,0.5157513,66.66666666666667,6.0740676,1.9564357,0.1111111111111111,
HMGN2P17,508.0,48.05,HMGN2P17,True,3790.0,3.111111111111111,80.36111111111111,1.3272927674754906,False,2,0.3259312,0.282115,77.77777777777779,2.9333808,1.3694993,0.1111111111111111,
RP3-477M7.5,352.0,41.76,RP3-477M7.5,False,,42.111111111111114,1706.6111111111109,0.9716289633923072,False,6,2.5685272,1.272153,33.333333333333336,23.116745,3.1829064,0.6666666666666666,
CA6,978.3333333333334,48.06,CA6,True,1235.0,71.77777777777777,7955.694444444445,1.693132999745613,False,7,2.418636,1.2292416,22.22222222222222,21.767725,3.125344,0.6666666666666666,
RN7SL451P,297.0,54.88,RN7SL451P,False,,4.444444444444445,65.02777777777777,0.8063519416652304,False,3,0.82683873,0.602587,66.66666666666667,7.4415483,2.1331658,0.2222222222222222,
MIR34A,110.0,50.91,MIR34A,False,,1.1111111111111112,5.111111111111111,0.7753880904033208,False,2,0.6066522,0.47415262,77.77777777777779,5.45987,1.8656092,0.2222222222222222,
RP3-510D11.2,985.0,53.03,RP3-510D11.2,True,5628.0,6.333333333333333,175.99999999999997,1.2862753878488737,False,2,0.54059464,0.43216848,77.77777777777779,4.8653517,1.7690624,0.1111111111111111,
PIK3CD,2441.714285714286,51.32999999999999,PIK3CD,False,,213.55555555555554,12217.527777777781,0.8393376820319807,False,9,3.2220192,1.4403135,0.0,28.998173,3.4011364,0.8888888888888888,
LZIC,1121.5,43.88999999999999,LZIC,False,,110.88888888888889,2372.611111111112,0.40534866352487064,False,9,3.379047,1.4768311,0.0,30.411423,3.4471717,1.0,
NMNAT1,1538.4,46.13,NMNAT1,True,7197.0,25.22222222222222,967.4444444444443,1.0903420651055016,False,6,1.2528963,0.81221664,33.333333333333336,11.276067,2.5076516,0.1111111111111111,
RN7SKP269,319.0,51.41,RN7SKP269,True,7028.0,8.222222222222221,215.69444444444446,1.1130700607020463,False,3,0.98050904,0.6833539,66.66666666666667,8.824581,2.2848876,0.3333333333333333,
UBE4B,2103.3636363636365,44.12,UBE4B,True,5961.0,42.22222222222222,2243.694444444445,1.2731568999511034,False,6,1.4428741,0.89317524,33.333333333333336,12.985867,2.6380472,0.3333333333333333,
PGD,912.9166666666666,47.69,PGD,True,2348.0,269.3333333333333,29761.500000000007,1.4656258372038056,False,9,4.3628135,1.6794888,0.0,39.26532,3.6954906,1.0,
APITD1,894.4285714285714,47.92000000000001,APITD1,False,,27.444444444444443,599.5277777777778,0.6018625384148106,False,8,1.9677677,1.08781,11.111111111111116,17.70991,2.9290533,0.3333333333333333,
DFFA,2726.3333333333335,48.52,DFFA,False,,140.88888888888889,8494.361111111113,1.048575613758548,False,9,2.5235078,1.259457,0.0,22.71157,3.1659632,0.6666666666666666,
TARDBP,1176.4,44.019999999999996,TARDBP,True,2876.0,216.66666666666666,20665.50000000001,1.3905479094008664,False,9,3.9188144,1.5930675,0.0,35.26933,3.5909724,1.0,
RP4-635E18.8,870.0,42.99,RP4-635E18.8,False,,46.888888888888886,2102.3611111111113,1.048639699631965,False,8,2.4463024,1.237302,11.111111111111116,22.016722,3.136221,0.6666666666666666,
SRM,669.3333333333334,59.88,SRM,True,4027.0,61.44444444444444,3650.527777777778,1.3201466398780812,False,7,2.4668894,1.2432578,22.22222222222222,22.202003,3.1442387,0.5555555555555556,
EXOSC10,1386.6666666666667,46.38,EXOSC10,True,418.0,223.0,32703.250000000007,2.1113724368757203,False,9,3.696003,1.5467117,0.0,33.264027,3.534096,0.8888888888888888,
MTOR,2618.1428571428573,44.540000000000006,MTOR,False,,51.666666666666664,1499.7500000000002,0.6644979826929431,False,7,1.6636165,0.9796848,22.22222222222222,14.9725485,2.7708716,0.2222222222222222,
UBIAD1,1673.75,48.21,UBIAD1,True,3366.0,41.888888888888886,2354.3611111111113,1.3494437567820867,False,7,1.6329551,0.9681068,22.22222222222222,14.696596,2.753444,0.2222222222222222,
FBXO44,1593.2222222222222,54.94,FBXO44,True,1341.0,73.66666666666667,7601.499999999999,1.66528898084367,False,9,2.341727,1.2064878,0.0,21.075542,3.0944703,0.4444444444444444,
FBXO6,1083.6666666666667,55.28,FBXO6,False,,209.0,14792.749999999998,1.0481663535021823,False,8,3.6969435,1.546912,11.111111111111116,33.27249,3.534343,0.8888888888888888,
MAD2L2,1042.111111111111,53.90999999999998,MAD2L2,True,6020.0,382.55555555555554,43162.52777777778,1.2628755948189134,False,9,4.571848,1.7177267,0.0,41.14663,3.7411547,1.0,
AGTRAP,911.0714285714286,54.37,AGTRAP,False,,171.33333333333334,8062.0,0.7574518048165674,False,9,3.9742537,1.6042753,0.0,35.768284,3.6046357,1.0,
CLCN6,2392.777777777778,47.769999999999996,CLCN6,True,1237.0,22.77777777777778,1455.4444444444443,1.6930073429891563,False,4,0.7952333,0.585135,55.55555555555556,7.1570997,2.0988886,0.1111111111111111,
RNU5E-1,120.0,40.0,RNU5E-1,False,,1.4444444444444444,6.277777777777778,0.5747536787083183,False,3,0.8000661,0.5878234,66.66666666666667,7.200595,2.1042068,0.1111111111111111,
PLOD1,1326.4,53.540000000000006,PLOD1,True,2824.0,6.222222222222222,321.44444444444446,1.3956159114105866,False,2,0.3192793,0.2770856,77.77777777777779,2.873514,1.3541621,0.1111111111111111,
MFN2,1823.8333333333333,51.12,MFN2,False,,29.333333333333332,1060.0000000000002,0.9728456743031352,False,6,1.2624955,0.8164684,33.333333333333336,11.362459,2.5146644,0.1111111111111111,
MIIP,1151.375,55.62,MIIP,True,2880.0,30.333333333333332,1585.0,1.3902253532184516,False,4,1.2143228,0.7949466,55.55555555555556,10.9289055,2.4789646,0.3333333333333333,
TNFRSF1B,2058.0,55.39,TNFRSF1B,False,,475.1111111111111,43924.11111111116,0.919402291437098,False,9,4.213142,1.6511828,0.0,37.918278,3.661464,1.0,
DHRS3,1031.0,51.31,DHRS3,True,609.0,14.11111111111111,836.6111111111112,1.9452965803884337,False,2,0.64558053,0.49809322,77.77777777777779,5.810225,1.9184252,0.2222222222222222,
PRDM2,2571.0714285714284,43.440000000000005,PRDM2,True,6469.0,113.88888888888889,7229.611111111113,1.1919254199578972,False,9,2.5415332,1.2645597,0.0,22.873798,3.1727815,0.6666666666666666,
EFHD2,1659.0,56.77,EFHD2,False,,54.44444444444444,1938.0277777777778,0.8074585038715861,False,8,2.1251934,1.1394962,11.111111111111116,19.12674,3.0020492,0.4444444444444444,
CASP9,1473.8181818181818,48.699999999999996,CASP9,True,1126.0,76.0,9411.25,1.7261131153824594,False,7,2.1788888,1.1565317,22.22222222222222,19.609999,3.0257764,0.5555555555555556,
DNAJC16,2576.3333333333335,44.67000000000001,DNAJC16,False,,110.0,4938.5,0.8528119098277633,False,8,2.387511,1.2200954,11.111111111111116,21.487598,3.112964,0.6666666666666666,
