gene_name,transcript_length,GC_content,gene_name,highly_variable,highly_variable_rank,means,variances,variances_norm,n_counts,n_cells,mt,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts
WASH7P,1560.4,54.65999999999999,WASH7P,False,,0.8746031746031746,1.422594469232891,0.7571203972278909,274779.78,938,False,938,2.7208493,1.313952,50.370370370370374,5142.4053,8.54547
MTND1P23,372.0,44.35,MTND1P23,False,,0.49682539682539684,0.7710327963901262,0.7828841013697453,141172.48,626,False,626,1.7508396,1.0119061,66.87830687830687,3309.087,8.10473
MTND2P28,1044.0,43.1,MTND2P28,True,7309.0,9.057142857142857,47.80086213416016,1.07357054402356,2720506.8,1671,False,1671,6.3610106,1.9961972,11.58730158730159,12022.31,9.394603
hsa-mir-6723,1543.0,45.76,hsa-mir-6723,False,,42.91111111111111,480.61888124227886,0.8022504061249636,13624154.0,1774,False,1774,8.337297,2.234017,6.137566137566141,15757.492,9.665134
RP5-857K21.7,682.0,45.31,RP5-857K21.7,False,,1.6153439153439153,2.8890180129460323,0.7309382357487472,517091.4,1277,False,1277,3.8949172,1.5881974,32.43386243386244,7361.3936,8.90414
MTATP8P1,207.0,38.16,MTATP8P1,False,,0.49947089947089945,0.5688192011114152,0.5741328349870546,165834.19,706,False,706,1.9645746,1.0867336,62.64550264550264,3713.046,8.219877
MTATP6P1,681.0,43.91,MTATP6P1,False,,1.5634920634920635,3.2265118858554613,0.8505692412609593,478713.78,1205,False,1205,3.6564708,1.5382578,36.24338624338625,6910.73,8.840975
RP5-857K21.11,547.0,48.26,RP5-857K21.11,False,,2.696296296296296,5.7721937925219935,0.7484182745684057,774550.56,1477,False,1477,4.7580914,1.7506061,21.851851851851855,8992.793,9.10429
RP11-206L10.2,1317.0,46.79,RP11-206L10.2,False,,0.07089947089947089,0.12413947638934389,1.022507714314976,21798.168,105,False,105,0.28931373,0.2541101,94.44444444444444,546.803,6.305916
NOC2L,1749.0,59.550000000000004,NOC2L,True,5142.0,0.5666666666666667,1.3330333509793484,1.1672176763922057,166680.5,562,False,562,1.6319586,0.96772826,70.26455026455027,3084.4019,8.034437
KLHL17,1235.75,67.87,KLHL17,True,225.0,0.2222222222222222,0.7764249161814012,1.8999590701982667,86444.35,198,False,198,0.586816,0.4617295,89.52380952380953,1109.0823,7.0121894
ISG15,711.0,64.58,ISG15,True,1460.0,0.42698412698412697,1.187095717058662,1.4274762686039253,168821.02,447,False,447,1.2922058,0.82951456,76.34920634920634,2442.269,7.801092
C1orf159,1529.8181818181818,54.65,C1orf159,False,,0.11005291005291006,0.19963419518739792,1.0297569758179828,36317.098,139,False,139,0.3962382,0.33378163,92.64550264550265,748.8902,6.619927
SDF4,1803.75,61.35000000000001,SDF4,False,,0.09682539682539683,0.13514079003756088,0.79839088494295,27365.014,144,False,144,0.39287728,0.3313716,92.38095238095238,742.5381,6.61142
B3GALT6,2793.0,64.2,B3GALT6,True,4736.0,0.08465608465608465,0.17493648832981817,1.191912506726426,25353.623,101,False,101,0.28648275,0.25191194,94.65608465608466,541.4524,6.2961
UBE2J2,1020.5,56.33,UBE2J2,True,2717.0,0.33386243386243386,0.8175398646018041,1.289495968455401,135663.0,346,False,346,1.0101348,0.6982018,81.6931216931217,1909.1548,7.5549397
SCNN1D,1967.625,65.93,SCNN1D,True,999.0,0.1052910052910053,0.28165542082958717,1.522648176474905,33160.863,108,False,108,0.31325355,0.2725077,94.28571428571428,592.0492,6.3852773
ACAP3,1794.5384615384614,67.29999999999998,ACAP3,False,,0.2677248677248677,0.5222505118746514,1.0467757737782737,82026.64,322,False,322,0.91806453,0.65131664,82.96296296296296,1735.142,7.4594207
CPSF3L,1229.875,60.46000000000003,CPSF3L,False,,0.43756613756613755,0.8031407116108013,0.9398181926506434,161543.92,493,False,493,1.4197067,0.8836463,73.91534391534391,2683.2456,7.895155
DVL1,2268.0,66.24,DVL1,True,5038.0,0.15978835978835979,0.33760927228370247,1.1736185587627137,51625.445,186,False,186,0.53324014,0.42738324,90.15873015873017,1007.8239,6.9165406
AURKAIP1,849.1666666666666,66.87,AURKAIP1,True,7117.0,0.691005291005291,1.5487279459751706,1.0821554092502537,214922.16,670,False,670,1.96471,1.0867792,64.55026455026456,3713.302,8.219946
CCNL2,1673.75,51.36999999999999,CCNL2,False,,1.2015873015873015,2.769822783533761,1.0106722777266175,364079.25,961,False,961,2.9079032,1.363001,49.15343915343915,5495.937,8.611946
RP4-758J18.2,1346.125,59.37,RP4-758J18.2,True,688.0,0.23544973544973544,0.7031365101772712,1.6170854734011406,68811.75,217,False,217,0.6363374,0.49246046,88.51851851851852,1202.6777,7.093137
MRPL20,811.5,53.09000000000001,MRPL20,True,6332.0,0.6613756613756614,1.5062363278350566,1.106521567475232,217230.44,631,False,631,1.850683,1.0475585,66.6137566137566,3497.7908,8.160172
ATAD3B,2459.3333333333335,58.82999999999999,ATAD3B,True,1884.0,0.455026455026455,1.2295803328095565,1.3774288304585018,162290.69,424,False,424,1.2700971,0.8198226,77.56613756613757,2400.4836,7.783842
ATAD3A,1610.0,59.87,ATAD3A,True,6354.0,0.15502645502645504,0.30787572719812045,1.1050287494451103,53249.23,188,False,188,0.5344825,0.42819318,90.05291005291005,1010.1719,6.918865
SSU72,1706.5,53.87,SSU72,False,,0.5513227513227513,1.0775657454323369,0.9732447254204558,167473.45,599,False,599,1.7217848,1.0012878,68.3068783068783,3254.1733,8.088001
MIB2,2003.9714285714285,66.41000000000001,MIB2,False,,0.17037037037037037,0.2991745583593114,0.9718075373811462,50961.09,227,False,227,0.6315884,0.48955402,87.989417989418,1193.702,7.085652
MMP23B,881.5,70.47000000000001,MMP23B,False,,0.06984126984126984,0.11475963598779904,0.9605875698269302,23882.209,100,False,100,0.28045666,0.24721678,94.70899470899471,530.0631,6.274881
CDK11B,2011.1666666666667,52.93,CDK11B,False,,0.8502645502645503,1.5662386806378337,0.8614544050543548,271547.8,849,False,849,2.4995196,1.2526257,55.07936507936508,4724.092,8.460642
SLC35E2B,4311.5,53.64,SLC35E2B,False,,0.6465608465608466,1.214347615406381,0.9154391597446015,204483.6,687,False,687,1.9773402,1.0910304,63.650793650793645,3737.173,8.226353
RP11-345P4.7,1422.0,52.67,RP11-345P4.7,True,5497.0,0.1037037037037037,0.2094621884987153,1.1507398737739534,29531.434,131,False,131,0.36404854,0.31045714,93.06878306878306,688.05176,6.5353165
MMP23A,1070.5,71.72,MMP23A,False,,0.1,0.16627845420857623,0.9493631113521824,34217.793,137,False,137,0.38972193,0.32910368,92.75132275132275,736.57446,6.603367
CDK11A,1353.0833333333333,51.99,CDK11A,False,,0.39365079365079364,0.5860898938717882,0.771306376330132,145145.53,513,False,513,1.4547194,0.89801246,72.85714285714286,2749.4197,7.919509
