PeakID,chr,start,mid,end,in_gene,itype
Interval_58745,5,66192073,66192191.5,66192310,MAST4,intron
Interval_58734,5,66124080,66124736.0,66125392,MAST4,promoter-TSS
Interval_58732,5,66117544,66118251.5,66118959,MAST4,intron
Interval_58727,5,65913493,65913788.0,65914083,MAST4,intron
Interval_58739,5,66151700,66152082.0,66152464,MAST4,intron
Interval_58728,5,66052979,66053095.0,66053211,MAST4,intron
Interval_58752,5,66317484,66317627.5,66317771,MAST4,intron
Interval_58754,5,66334526,66334668.5,66334811,MAST4,intron
Interval_58760,5,66461486,66462171.5,66462857,MAST4,exon
Interval_58740,5,66152820,66152919.0,66153018,MAST4,intron
Interval_58758,5,66434702,66434850.5,66434999,MAST4,intron
Interval_58726,5,65897574,65897731.5,65897889,MAST4,intron
Interval_58748,5,66241325,66241425.5,66241526,MAST4,intron
