PeakID,PeakID,chr,end,in_ensg,in_gene,itype,mid,start
Interval_28044,Interval_28044,16,78930514,ENSG00000186153,WWOX,intron,78929541.0,78928568
Interval_24410,Interval_24410,15,58907606,ENSG00000137845,ADAM10,intron,58907269.5,58906933
Interval_21283,Interval_21283,14,31160232,ENSG00000092108,SCFD1,intron,31159842.0,31159452
Interval_61729,Interval_61729,5,176755322,None,nan,Intergen,176754998.0,176754674
Interval_38720,Interval_38720,2,73497080,ENSG00000163013,FBXO41,exon,73496558.5,73496037
Interval_75313,Interval_75313,9,20659016,ENSG00000188352,FOCAD,intron,20658532.5,20658049
Interval_15946,Interval_15946,12,39300849,ENSG00000139117,CPNE8,promoter-TSS,39299787.0,39298725
Interval_62101,Interval_62101,6,5892772,None,nan,Intergen,5892225.0,5891678
Interval_46488,Interval_46488,22,23528444,ENSG00000186716,BCR,intron,23528092.5,23527741
Interval_55728,Interval_55728,4,114926260,None,nan,Intergen,114925907.0,114925554
Interval_20308,Interval_20308,13,84661135,None,nan,Intergen,84660592.0,84660049
Interval_72070,Interval_72070,8,28635513,ENSG00000104299,INTS9,TTS,28634992.0,28634471
Interval_52413,Interval_52413,3,178067212,ENSG00000223930,RP11-33A14.1,intron,178066779.0,178066346
Interval_41771,Interval_41771,2,197095441,ENSG00000138411,HECW2,intron,197095072.0,197094703
Interval_67670,Interval_67670,7,16386593,ENSG00000214960,ISPD,intron,16386188.5,16385784
Interval_67068,Interval_67068,6,170590064,ENSG00000227508,RP5-894D12.3,TTS,170589668.5,170589273
Interval_20382,Interval_20382,13,89275588,None,nan,Intergen,89274963.0,89274338
Interval_1874,Interval_1874,1,43815414,ENSG00000117400,MPL,exon,43814971.5,43814529
Interval_64242,Interval_64242,6,74105007,ENSG00000080007,DDX43,promoter-TSS,74104688.5,74104370
Interval_20678,Interval_20678,13,101137753,ENSG00000175198,PCCA,intron,101136963.0,101136173
Interval_23210,Interval_23210,14,102180478,ENSG00000258404,RP11-1029J19.5,intron,102180010.5,102179543
Interval_37088,Interval_37088,2,16832569,ENSG00000197872,FAM49A,intron,16832208.0,16831847
Interval_5438,Interval_5438,1,187042759,None,nan,Intergen,187042176.0,187041593
Interval_32359,Interval_32359,18,12776456,ENSG00000260302,RP11-973H7.1,exon,12775781.5,12775107
Interval_25658,Interval_25658,15,92013814,ENSG00000258551,RP11-661P17.1,intron,92013245.0,92012676
Interval_76845,Interval_76845,9,102022530,None,nan,Intergen,102022118.5,102021707
Interval_25949,Interval_25949,16,597623,ENSG00000261691,LA16c-366D1.3,TTS,596941.5,596260
Interval_57639,Interval_57639,5,8458372,ENSG00000249159,RP11-480D4.2,promoter-TSS,8457716.5,8457061
Interval_15182,Interval_15182,12,8380717,ENSG00000171847,FAM90A1,promoter-TSS,8380260.0,8379803
Interval_59929,Interval_59929,5,114194322,None,nan,Intergen,114194009.0,114193696
Interval_49682,Interval_49682,3,61547573,ENSG00000144724,PTPRG,promoter-TSS,61546873.5,61546174
Interval_15489,Interval_15489,12,15432715,ENSG00000134533,RERG,intron,15432336.0,15431957
Interval_78093,Interval_78093,X,70400,None,nan,Intergen,69698.0,68996
Interval_26279,Interval_26279,16,8986099,ENSG00000187555,USP7,TTS,8985600.0,8985101
Interval_18902,Interval_18902,13,22637128,None,nan,Intergen,22636351.0,22635574
Interval_38720,Interval_38720,2,73497080,ENSG00000163013,FBXO41,exon,73496558.5,73496037
Interval_20390,Interval_20390,13,89572832,None,nan,Intergen,89572396.5,89571961
Interval_45532,Interval_45532,21,30450054,ENSG00000156265,MAP3K7CL,promoter-TSS,30449531.0,30449008
Interval_22428,Interval_22428,14,74766229,ENSG00000119688,ABCD4,TTS,74765941.0,74765653
Interval_68182,Interval_68182,7,30486044,ENSG00000106100,NOD1,exon,30485778.5,30485513
Interval_29204,Interval_29204,17,17267571,None,nan,Intergen,17267183.5,17266796
Interval_62202,Interval_62202,6,10733998,None,nan,Intergen,10733516.5,10733035
Interval_69238,Interval_69238,7,86669855,ENSG00000164659,KIAA1324L,intron,86669276.0,86668697
Interval_66709,Interval_66709,6,157932394,ENSG00000175048,ZDHHC14,intron,157931927.0,157931460
Interval_59631,Interval_59631,5,101491409,None,nan,Intergen,101490925.0,101490441
Interval_7309,Interval_7309,10,531514,ENSG00000151240,DIP2C,intron,530921.5,530329
Interval_75479,Interval_75479,9,30075985,None,nan,Intergen,30075591.0,30075197
Interval_18727,Interval_18727,12,132294004,None,nan,Intergen,132293633.0,132293262
Interval_46736,Interval_46736,22,29877517,ENSG00000100285,NEFH,exon,29876926.0,29876335
Interval_62201,Interval_62201,6,10727381,ENSG00000111843,TMEM14C,intron,10727125.5,10726870
Interval_71282,Interval_71282,7,155744989,None,nan,Intergen,155744697.0,155744405
Interval_23536,Interval_23536,15,23811740,ENSG00000179455,MKRN3,promoter-TSS,23811188.0,23810636
Interval_68638,Interval_68638,7,47331544,ENSG00000136205,TNS3,intron,47331280.5,47331017
Interval_62201,Interval_62201,6,10727381,ENSG00000111843,TMEM14C,intron,10727125.5,10726870
Interval_68815,Interval_68815,7,64338477,ENSG00000198039,ZNF273,promoter-TSS,64338085.5,64337694
Interval_69238,Interval_69238,7,86669855,ENSG00000164659,KIAA1324L,intron,86669276.0,86668697
Interval_79573,Interval_79573,X,83757747,ENSG00000259640,RP6-33F8.1,intron,83757258.0,83756769
Interval_18135,Interval_18135,12,111640567,ENSG00000111249,CUX2,intron,111640070.0,111639573
Interval_36472,Interval_36472,19,55526797,ENSG00000088053,GP6,exon,55526191.0,55525585
Interval_47710,Interval_47710,22,50753595,ENSG00000205593,DENND6B,TTS,50753168.0,50752741
Interval_23191,Interval_23191,14,100875129,ENSG00000258620,RP11-362L22.1,TTS,100874908.5,100874688
Interval_34436,Interval_34436,19,10627094,ENSG00000180739,S1PR5,intron,10626875.0,10626656
Interval_20382,Interval_20382,13,89275588,None,nan,Intergen,89274963.0,89274338
Interval_72048,Interval_72048,8,28206715,ENSG00000186918,ZNF395,TTS,28205800.5,28204886
Interval_32577,Interval_32577,18,23714305,ENSG00000154611,PSMA8,exon,23713983.5,23713662
Interval_79199,Interval_79199,X,56794279,ENSG00000204272,RP11-622K12.1,intron,56793781.5,56793284
Interval_48525,Interval_48525,3,29324891,ENSG00000144642,RBMS3,intron,29323507.5,29322124
Interval_17449,Interval_17449,12,90693461,ENSG00000258183,RP11-753N8.1,intron,90692914.0,90692367
Interval_71407,Interval_71407,8,1415442,None,nan,Intergen,1414963.5,1414485
Interval_46078,Interval_46078,21,45905979,ENSG00000228709,AP001065.15,exon,45905561.0,45905143
Interval_13092,Interval_13092,11,72533890,ENSG00000168010,ATG16L2,promoter-TSS,72533392.0,72532894
Interval_52878,Interval_52878,3,191048057,ENSG00000188958,UTS2B,promoter-TSS,191047238.0,191046419
Interval_11700,Interval_11700,11,21774973,None,nan,Intergen,21774475.0,21773977
Interval_39269,Interval_39269,2,98378444,ENSG00000075568,TMEM131,promoter-TSS,98377940.5,98377437
Interval_31872,Interval_31872,17,78653560,ENSG00000141564,RPTOR,intron,78652987.0,78652414
Interval_78093,Interval_78093,X,70400,None,nan,Intergen,69698.0,68996
Interval_69312,Interval_69312,7,89237546,None,nan,Intergen,89237109.0,89236672
Interval_71409,Interval_71409,8,1428610,None,nan,Intergen,1428270.0,1427930
Interval_60489,Interval_60489,5,137225562,ENSG00000078795,PKD2L2,promoter-TSS,137224879.5,137224197
Interval_49683,Interval_49683,3,62305209,ENSG00000114405,C3orf14,promoter-TSS,62304735.0,62304261
Interval_63853,Interval_63853,6,46294135,ENSG00000172348,RCAN2,promoter-TSS,46293691.0,46293247
Interval_58876,Interval_58876,5,72392516,None,nan,Intergen,72392064.5,72391613
Interval_36093,Interval_36093,19,49100657,ENSG00000088002,SULT2B1,intron,49100408.0,49100159
Interval_7330,Interval_7330,10,1196205,None,nan,Intergen,1195844.5,1195484
Interval_57639,Interval_57639,5,8458372,ENSG00000249159,RP11-480D4.2,promoter-TSS,8457716.5,8457061
Interval_75896,Interval_75896,9,70649058,ENSG00000269337,AL591479.1,exon,70648780.5,70648503
Interval_75313,Interval_75313,9,20659016,ENSG00000188352,FOCAD,intron,20658532.5,20658049
Interval_67770,Interval_67770,7,18549343,ENSG00000048052,HDAC9,promoter-TSS,18548592.5,18547842
Interval_79884,Interval_79884,X,114597603,None,nan,Intergen,114597248.5,114596894
Interval_47232,Interval_47232,22,40126496,None,nan,Intergen,40126113.0,40125730
Interval_49683,Interval_49683,3,62305209,ENSG00000114405,C3orf14,promoter-TSS,62304735.0,62304261
Interval_79837,Interval_79837,X,109473578,ENSG00000101935,AMMECR1,intron,109473170.5,109472763
Interval_59052,Interval_59052,5,77870960,ENSG00000145685,LHFPL2,intron,77870502.0,77870044
Interval_43908,Interval_43908,20,25991455,ENSG00000231081,RP4-760C5.3,intron,25990822.0,25990189
Interval_67335,Interval_67335,7,4832793,ENSG00000242802,AP5Z1,TTS,4832115.0,4831437
Interval_61599,Interval_61599,5,172111630,ENSG00000214357,NEURL1B,intron,172111247.0,172110864
Interval_14769,Interval_14769,11,132228466,None,nan,Intergen,132227999.0,132227532
Interval_34889,Interval_34889,19,17600342,ENSG00000269439,CTD-3131K8.2,TTS,17599947.5,17599553
Interval_67011,Interval_67011,6,168107538,None,nan,Intergen,168107099.0,168106660
Interval_80146,Interval_80146,X,130965161,ENSG00000213468,RP11-453F18__B.1,promoter-TSS,130964802.5,130964444
Interval_32394,Interval_32394,18,13291547,ENSG00000168675,LDLRAD4,intron,13291203.5,13290860
Interval_66906,Interval_66906,6,161664814,ENSG00000026652,AGPAT4,intron,161664484.5,161664155
Interval_22158,Interval_22158,14,68869151,ENSG00000182185,RAD51B,intron,68868735.0,68868319
Interval_46316,Interval_46316,22,20226835,None,nan,Intergen,20226183.0,20225531
Interval_36671,Interval_36671,2,1785743,None,nan,Intergen,1785253.0,1784763
Interval_80133,Interval_80133,X,130876296,ENSG00000213468,RP11-453F18__B.1,intron,130875716.0,130875136
Interval_42714,Interval_42714,2,228683783,ENSG00000115009,CCL20,TTS,228683256.0,228682729
Interval_67815,Interval_67815,7,20261001,ENSG00000233834,AC005083.1,intron,20260151.0,20259301
Interval_30510,Interval_30510,17,46556264,ENSG00000206805,Y_RNA-316,promoter-TSS,46555822.5,46555381
Interval_28696,Interval_28696,17,2593131,ENSG00000272911,RP11-74E22.6,TTS,2592847.5,2592564
Interval_74565,Interval_74565,8,137500138,None,nan,Intergen,137499433.0,137498728
Interval_42183,Interval_42183,2,208031657,ENSG00000118263,KLF7,promoter-TSS,208030720.0,208029783
Interval_7309,Interval_7309,10,531514,ENSG00000151240,DIP2C,intron,530921.5,530329
