gene_name,transcript_length,GC_content,gene_name,highly_variable,highly_variable_rank,means,variances,variances_norm,mt,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,on_ratio,F_pval,K_pval,chi2_pval,pathway
WASH7P,1560.4,54.65999999999999,WASH7P,False,,4.377952755905512,99.3664685194983,0.09037837152861547,False,76,0.71731955,0.5407647,70.07874015748031,182.19916,5.2105737,0.15725806451612903,0.6129543901316311,0.47117264795236424,0.7798365720390187,
MTND2P28,1044.0,43.1,MTND2P28,False,,33.83464566929134,466.44685817434856,0.03733361463273027,False,252,3.8272479,1.5742764,0.7874015748031482,972.121,6.8805084,0.967741935483871,0.00010958030726563102,0.4396826447509105,1.0,
hsa-mir-6723,1543.0,45.76,hsa-mir-6723,False,,17.933070866141733,448.6476766985154,0.07268277514276775,False,228,2.3470438,1.2080775,10.236220472440948,596.1491,6.3921666,0.5282258064516129,0.7898282498259923,0.7370238443637998,0.9999929294746037,
MTATP8P1,207.0,38.16,MTATP8P1,False,,0.4094488188976378,0.6854439637733031,0.028798645556590136,False,72,0.68863344,0.5239196,71.65354330708662,174.91289,5.169989,0.12096774193548387,0.5868358451603725,0.5719570934473547,0.7451326225619269,
MTATP6P1,681.0,43.91,MTATP6P1,False,,523.8779527559055,76241.77555942854,0.2904599518964353,False,254,7.076574,2.0889678,0.0,1797.4497,7.4946804,1.0,0.29907979769870185,0.6249577096456737,1.0,
NOC2L,1749.0,59.550000000000004,NOC2L,True,1090.0,44.22834645669291,25683.14923282811,1.5474063055540728,False,30,0.625275,0.48567703,88.18897637795276,158.81985,5.074047,0.11290322580645161,0.005699705883104289,0.01785584259541105,0.13903268563503832,
ISG15,711.0,64.58,ISG15,False,,111.4251968503937,31890.672247984814,0.7201390074621753,False,102,2.485307,1.2485561,59.84251968503938,631.26794,6.449313,0.3870967741935484,0.16327273550236898,0.07819445833101882,0.9778350914627243,
SDF4,1803.75,61.35000000000001,SDF4,True,1950.0,76.00393700787401,41321.743067442665,1.4015461574084167,False,54,1.0945582,0.7393427,78.74015748031495,278.0178,5.6312757,0.18951612903225806,0.696689805148291,0.5114326803572264,0.9377318378664374,
UBE2J2,1020.5,56.33,UBE2J2,False,,76.98425196850394,28837.41477078211,0.964821434097486,False,62,1.3967134,0.87409836,75.59055118110236,354.7652,5.874271,0.23387096774193547,0.586644673727544,0.6375159205551489,0.9375087531243359,
ACAP3,1794.5384615384614,67.29999999999998,ACAP3,True,5560.0,11.10236220472441,3798.590271077775,1.0793452839174047,False,14,0.269033,0.2382552,94.48818897637796,68.33439,4.238941,0.05241935483870968,0.15545240986720843,0.5531754326290761,0.5306187013294643,
CPSF3L,1229.875,60.46000000000003,CPSF3L,True,1094.0,90.28740157480316,54775.019840652334,1.5464901920404222,False,46,1.0994291,0.7416655,81.88976377952756,279.255,5.6356997,0.16532258064516128,0.4514299946877143,0.5257144478891144,0.8634880090275213,
AURKAIP1,849.1666666666666,66.87,AURKAIP1,False,,65.2244094488189,17469.38422395817,0.6973208793262673,False,68,1.5754632,0.94602937,73.22834645669292,400.16763,5.9943795,0.25806451612903225,0.6144896567851919,0.5671790213942219,0.9722865721858489,
CCNL2,1673.75,51.36999999999999,CCNL2,True,3597.0,183.3188976377953,92170.95323830568,1.2162420969049077,False,126,2.5821538,1.2759643,50.39370078740157,655.86707,6.4874816,0.45564516129032256,0.6918890797744863,0.6742241785943892,0.9999067792116315,
MRPL20,811.5,53.09000000000001,MRPL20,False,,57.681102362204726,11083.222013009243,0.5043047477014672,False,80,1.7739674,1.0202786,68.50393700787401,450.5877,6.1127696,0.31048387096774194,0.018634725669585947,0.041508160094355095,0.7861822146442209,
SSU72,1706.5,53.87,SSU72,False,,94.39763779527559,35843.2048955837,0.9652323564579748,False,82,1.666697,0.9808406,67.71653543307087,423.34103,6.0505376,0.29435483870967744,0.06407217512355093,0.11529616554629663,0.832636630619969,
MIB2,2003.9714285714285,66.41000000000001,MIB2,False,,23.381889763779526,4260.924730011516,0.5106958027695119,False,47,0.8081538,0.5923063,81.49606299212599,205.27107,5.329191,0.17338709677419356,0.013556429152728335,0.07073323541425126,0.4711806742159133,
CDK11B,2011.1666666666667,52.93,CDK11B,False,,9.937007874015748,1800.2252653200958,0.5834896619417571,False,38,0.49282613,0.40067106,85.03937007874016,125.17784,4.8376923,0.125,0.21850037668638156,0.42619287336970235,0.8024886496527738,
SLC35E2B,4311.5,53.64,SLC35E2B,False,,22.89763779527559,6375.1831564532695,0.7822697591877243,False,37,0.50982696,0.41199505,85.43307086614173,129.49605,4.871343,0.12096774193548387,0.43193865505731033,0.4125138866213724,0.4550828312876419,
CDK11A,1353.0833333333333,51.99,CDK11A,False,,7.822834645669292,614.3676978618779,0.26392391651220837,False,47,0.6179555,0.48116332,81.49606299212599,156.9607,5.0623465,0.1532258064516129,0.1974791395334448,0.17841272063065883,0.2229243432435069,
SLC35E2,1287.0,52.17,SLC35E2,False,,2.1811023622047245,93.80106439264262,0.22985899002135682,False,18,0.24942294,0.22268179,92.91338582677166,63.353428,4.16439,0.06854838709677419,0.7130882824341063,0.35413244602643607,0.7322350813265249,
