gene_name,transcript_length,GC_content,gene_name,highly_variable,highly_variable_rank,means,variances,variances_norm,n_counts,n_cells,mt,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts
WASH7P,1560.4,54.65999999999999,WASH7P,False,,0.7917620137299771,1.3827182481183848,0.7291278584166773,199099.25,1347,False,1347,2.0151694,1.103656,55.966001961425306,6164.403,8.726708
MTND1P23,372.0,44.35,MTND1P23,False,,0.8388362209872507,1.465515453546989,0.7167468295112877,256217.69,1447,False,1447,2.169466,1.1535631,52.69695979078131,6636.3965,8.800475
MTND2P28,1044.0,43.1,MTND2P28,True,2147.0,26.346845374305328,713.7321769319346,1.4314042173798052,5660860.0,2825,False,2825,6.7623568,2.049286,7.649558679306967,20686.049,9.9372635
hsa-mir-6723,1543.0,45.76,hsa-mir-6723,False,,95.83425956194834,5048.465980901866,0.8483831877328464,20649974.0,2845,False,2845,8.096077,2.2078433,6.995750245178167,24765.898,10.117263
RP5-857K21.7,682.0,45.31,RP5-857K21.7,False,,2.2216410591696634,5.577412479359964,0.6935781611521206,557244.06,2233,False,2233,3.7150135,1.5507518,27.002288329519452,11364.227,9.338314
MTATP8P1,207.0,38.16,MTATP8P1,False,,0.665903890160183,0.9275846225453471,0.6105175152237388,155902.69,1306,False,1306,1.9090083,1.0678122,57.306309251389344,5839.6562,8.672599
MTATP6P1,681.0,43.91,MTATP6P1,False,,3.552468126838836,14.690101002499183,0.8878196935752741,958814.25,2425,False,2425,4.3054276,1.6687304,20.725727361882974,13170.303,9.485796
RP5-857K21.11,547.0,48.26,RP5-857K21.11,False,,4.7669172932330826,16.76350949315739,0.6352431659253901,1103436.5,2618,False,2618,4.893078,1.7737784,14.416475972540043,14967.925,9.613731
RP11-206L10.1,1236.0,65.99,RP11-206L10.1,False,,0.08499509643674404,0.11311356276208218,0.749904296751647,19161.57,219,False,219,0.30533773,0.2664618,92.84079764628964,934.02814,6.8405766
RP11-206L10.2,1317.0,46.79,RP11-206L10.2,False,,0.15593331153971887,0.22453231209795743,0.7730315021487901,31267.818,375,False,375,0.51477855,0.41526926,87.74109186008499,1574.7075,7.3624597
RP11-206L10.9,704.0,40.41999999999999,RP11-206L10.9,False,,0.07518796992481203,0.1159930565458776,0.8787827530857408,15637.541,183,False,183,0.25459367,0.22681175,94.01765282772148,778.80206,6.65904
LINC00115,1307.5,52.7,LINC00115,False,,0.07551487414187644,0.12150296405272286,0.9161886609382175,14754.383,173,False,173,0.23960394,0.21479192,94.34455704478589,732.9484,6.5984387
LINC01128,1197.3636363636363,46.34000000000001,LINC01128,True,6153.0,0.17652827721477607,0.3893638751811704,1.17339555349981,31868.066,333,False,333,0.46019205,0.37856796,89.11408957175547,1407.7275,7.250442
NOC2L,1749.0,59.550000000000004,NOC2L,True,4628.0,0.9846355017979732,3.1413596692559302,1.2424290689899418,196577.81,1172,False,1172,1.8076351,1.0323426,61.68682576005231,5529.5557,8.618044
KLHL17,1235.75,67.87,KLHL17,True,4576.0,0.18306636155606407,0.43083153614408254,1.2480912509681517,46324.47,331,False,331,0.4949339,0.402082,89.17947041516837,1514.0028,7.3231726
ISG15,711.0,64.58,ISG15,True,4624.0,1.4409937888198758,5.312001104931969,1.242899376821043,317303.6,1625,False,1625,2.568647,1.2721865,46.878064727034975,7857.491,8.96935
C1orf159,1529.8181818181818,54.65,C1orf159,False,,0.07126511932003923,0.1296482027430451,1.0412597838160038,16473.885,160,False,160,0.2188189,0.19788228,94.7695325269696,669.367,6.5078254
SDF4,1803.75,61.35000000000001,SDF4,False,,0.17195161817587448,0.2464203560626189,0.7639745085540419,37411.48,406,False,406,0.56979966,0.450948,86.72768878718536,1743.0171,7.4639463
B3GALT6,2793.0,64.2,B3GALT6,True,6711.0,0.18208564890487086,0.3929294615958092,1.1449724903474547,34029.332,340,False,340,0.47605702,0.38937435,88.88525661981039,1456.2584,7.2843122
UBE2J2,1020.5,56.33,UBE2J2,False,,0.8983327884929716,2.4543431972600978,1.0967711997557672,167743.86,1170,False,1170,1.7875961,1.0251796,61.75220660346519,5468.2563,8.606898
ACAP3,1794.5384615384614,67.29999999999998,ACAP3,False,,0.2291598561621445,0.4370042317954016,0.9919705596041825,57086.47,461,False,461,0.67029667,0.51300126,84.92971559333115,2050.4375,7.626296
PUSL1,1131.2,66.76,PUSL1,False,,0.16083687479568487,0.3102904701113539,1.033493541003998,36080.18,315,False,315,0.42890927,0.35691142,89.7025171624714,1312.0334,7.180095
CPSF3L,1229.875,60.46000000000003,CPSF3L,False,,1.044132069303694,2.4614264783008397,0.8996574960036879,211512.25,1427,False,1427,2.1841006,1.1581699,53.3507682249101,6681.164,8.807198
GLTPD1,1358.0,65.26,GLTPD1,False,,0.08662961752206604,0.1582874922683628,1.0278629283414884,20149.541,193,False,193,0.2747395,0.24274185,93.69074861065708,840.4281,6.7351007
DVL1,2268.0,66.24,DVL1,False,,0.13533834586466165,0.24655654833617657,0.9883101037805953,32694.31,295,False,295,0.42403468,0.35349417,90.3563255966002,1297.1221,7.168674
AURKAIP1,849.1666666666666,66.87,AURKAIP1,True,6597.0,1.929715593331154,7.5022527313819625,1.1504890727345618,333034.38,1736,False,1736,2.8378236,1.3449055,43.24942791762014,8680.902,9.068995
CCNL2,1673.75,51.36999999999999,CCNL2,False,,1.0173259235044132,2.253787353189765,0.8531541138417024,257975.08,1442,False,1442,2.2599905,1.1817243,52.8604118993135,6913.3105,8.841349
RP4-758J18.2,1346.125,59.37,RP4-758J18.2,True,2103.0,0.5214122262177182,1.617183616475707,1.4396850524967846,94551.54,695,False,695,1.0407693,0.7133269,77.28015691402419,3183.7134,8.066117
MRPL20,811.5,53.09000000000001,MRPL20,True,1680.0,3.7218045112781954,26.92617908407394,1.5125039123560269,619450.06,2151,False,2151,3.7966583,1.5679195,29.682902909447527,11613.978,9.360051
ATAD3B,2459.3333333333335,58.82999999999999,ATAD3B,True,4175.0,0.4602811376266754,1.2341151596539175,1.2759865304835198,102077.62,672,False,672,0.9956186,0.6909541,78.03203661327231,3045.5972,8.021781
ATAD3A,1610.0,59.87,ATAD3A,True,1481.0,0.4341288002615234,1.4000905667928918,1.5507996846719045,62417.12,607,False,607,0.8691135,0.62546426,80.15691402419091,2658.6182,7.8859377
SSU72,1706.5,53.87,SSU72,False,,1.4354364171297809,4.048397217914681,0.9524467323135013,303606.3,1671,False,1671,2.64148,1.2923902,45.37430532853873,8080.287,8.997307
MIB2,2003.9714285714285,66.41000000000001,MIB2,False,,0.2337365152010461,0.38256324121362084,0.8499571830363749,50011.305,496,False,496,0.71075577,0.53693527,83.78555083360575,2174.202,7.684877
CDK11B,2011.1666666666667,52.93,CDK11B,False,,1.2987904543968618,2.980675449536047,0.8073050637651323,263816.2,1691,False,1691,2.6380315,1.2914428,44.72049689440993,8069.7383,8.996
