gene_name,transcript_length,GC_content,gene_name,TSS,start,end,chr,dir,ENSG,highly_variable,highly_variable_rank,means,variances,variances_norm,mt,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,F_pval
MTND2P28,1044.0,43.1,MTND2P28,565020,565020,566063,1,1,ENSG00000225630,False,,37.642857142857146,388.7546583850929,0.06928065738941677,False,67,2.9142728,1.3646295,4.285714285714281,203.9991,5.3230057,0.5003085704983651
hsa-mir-6723,1543.0,45.76,hsa-mir-6723,566454,566454,567996,1,1,ENSG00000237973,False,,13.585714285714285,137.75341614906833,0.08710794232635853,False,63,1.5294676,0.92800885,9.999999999999998,107.06273,4.682712,0.02121836417844248
MTATP6P1,681.0,43.91,MTATP6P1,569076,569076,569756,1,1,ENSG00000248527,False,,312.72857142857146,25071.186128364378,0.41184460738283435,False,69,5.431723,1.8612425,1.4285714285714235,380.2206,5.9433784,9.61546821701676e-05
RP11-206L10.9,704.0,40.41999999999999,RP11-206L10.9,714150,714150,745440,1,1,ENSG00000237491,False,,1.4,34.76521739130435,0.6359875301128489,False,5,0.18566823,0.17030652,92.85714285714286,12.996776,2.638827,0.7042431657756139
LINC01128,1197.3636363636363,46.34000000000001,LINC01128,762988,762988,794826,1,1,ENSG00000228794,False,,2.4857142857142858,114.34037267080747,0.8370899720669507,False,4,0.17443204,0.16078466,94.28571428571428,12.210242,2.5809925,0.6671577095416992
NOC2L,1749.0,59.550000000000004,NOC2L,882440,879584,894689,1,1,ENSG00000188976,False,,41.857142857142854,3838.414078674949,0.6022179515775098,False,31,1.4593613,0.8999017,55.714285714285715,102.15529,4.6362357,0.29313479527502595
ISG15,711.0,64.58,ISG15,948803,948803,949920,1,1,ENSG00000187608,True,20.0,1028.6857142857143,1379771.6244306418,3.9535694473391425,False,69,6.1326523,1.9646832,1.4285714285714235,429.28568,6.0644493,2.753478837866512e-06
RP11-465B22.3,741.3333333333334,64.27,RP11-465B22.3,995114,995114,1004735,1,1,ENSG00000217801,True,682.0,10.214285714285714,2010.8374741200828,1.692562584456458,False,7,0.39890638,0.33569077,90.0,27.923447,3.3646526,0.00044930995815139433
TNFRSF18,865.5,67.46,TNFRSF18,1141951,1138888,1142071,1,-1,ENSG00000186891,True,5248.0,143.0142857142857,27771.5215320911,1.09855841335684,False,51,3.0990574,1.4107571,27.142857142857146,216.93402,5.3841925,0.023826402390931607
TNFRSF4,1056.0,70.39,TNFRSF4,1149512,1146706,1149518,1,-1,ENSG00000186827,True,1879.0,15.614285714285714,2777.4577639751556,1.4167308304779136,False,18,0.6984602,0.5297221,74.28571428571429,48.892216,3.909865,0.6868290157536505
SDF4,1803.75,61.35000000000001,SDF4,1167381,1152288,1167411,1,-1,ENSG00000078808,False,,23.757142857142856,2843.1140786749484,0.8736486454399043,False,23,0.8830458,0.6328906,67.14285714285715,61.813206,4.1401653,0.09141906374672783
UBE2J2,1020.5,56.33,UBE2J2,1209233,1189289,1209265,1,-1,ENSG00000160087,True,5466.0,53.24285714285714,9217.519875776397,1.0879655563982653,False,27,1.506526,0.91889775,61.42857142857143,105.45682,4.6677394,0.0027841074484184674
PUSL1,1131.2,66.76,PUSL1,1243947,1243947,1247057,1,1,ENSG00000169972,True,1092.0,8.014285714285714,1161.0577639751555,1.5675987519002337,False,4,0.2428184,0.2173817,94.28571428571428,16.997288,2.890221,0.6022904137379104
CPSF3L,1229.875,60.46000000000003,CPSF3L,1250813,1246965,1260071,1,1,ENSG00000127054,True,735.0,39.6,10000.069565217393,1.6772439823767658,False,19,1.0314493,0.7087495,72.85714285714286,72.201454,4.2932153,0.6459799718538968
AURKAIP1,849.1666666666666,66.87,AURKAIP1,1310537,1309110,1310875,1,-1,ENSG00000175756,False,,179.02857142857144,20458.897722567286,0.6324870957319048,False,61,4.035271,1.6164674,12.857142857142856,282.469,5.647103,0.3180066328934769
CCNL2,1673.75,51.36999999999999,CCNL2,1326476,1321091,1334708,1,1,ENSG00000221978,True,4716.0,104.84285714285714,20425.264803312628,1.1314529705704945,False,50,2.3319912,1.2035701,28.57142857142857,163.23938,5.101325,0.6109852338710108
RP4-758J18.2,1346.125,59.37,RP4-758J18.2,1334902,1334902,1337426,1,1,ENSG00000224870,True,1383.0,6.514285714285714,825.151966873706,1.5004013765623252,False,5,0.24060053,0.21559556,92.85714285714286,16.842037,2.8815572,0.17791452739877847
MRPL20,811.5,53.09000000000001,MRPL20,1342693,1337288,1342693,1,-1,ENSG00000242485,False,,279.4,29921.489855072476,0.5604421347442241,False,68,5.047444,1.7996356,2.857142857142858,353.32108,5.8702035,0.9008858177744271
SSU72,1706.5,53.87,SSU72,1510249,1477053,1510249,1,-1,ENSG00000160075,False,,344.2,61532.85797101449,0.9025353986524339,False,63,4.2462764,1.6575185,9.999999999999998,297.23935,5.6978965,0.6876804416187594
CDK11B,2011.1666666666667,52.93,CDK11B,1580623,1570603,1590473,1,-1,ENSG00000248333,False,,15.485714285714286,627.5577639751554,0.33246128625378196,False,41,1.0371176,0.7115359,41.42857142857142,72.59823,4.298621,0.6210765634232805
