PeakID,pvalue,logp,chr,mid,in_gene
Interval_56307,8.201987658495634e-09,8.086080888529548,4,140872073.5,MAML3
Interval_33405,8.050504654902381e-08,7.094176894542715,18,64933329.0,nan
Interval_31015,1.3293433143312162e-07,6.876362844290653,17,61523867.5,CYB561
Interval_21644,3.4586759912371264e-07,6.4610901207866505,14,52753677.0,RP11-452D12.1
Interval_10688,6.567299414240509e-07,6.1826131830441895,10,124304091.5,nan
Interval_7272,1.2282348288956559e-06,5.9107185915469715,1,248645343.5,nan
Interval_43678,1.2331192919696434e-06,5.908994907720468,20,13201891.5,ISM1
Interval_8941,1.5166486017955065e-06,5.819115030933266,10,64616207.5,EGR2
Interval_33082,1.5242947527194244e-06,5.81693104539656,18,48678328.5,nan
Interval_61654,1.5487174625725108e-06,5.810027804731233,5,175080264.0,nan
Interval_27708,1.848358221165855e-06,5.733213856492971,16,68104074.0,DUS2
Interval_18622,1.8522360641676037e-06,5.732303664073088,12,125198368.5,nan
Interval_58023,2.1352467798373512e-06,5.670551924419745,5,35811373.0,SPEF2
Interval_59533,2.596243419048985e-06,5.585654591303964,5,96221810.0,ERAP2
Interval_59842,3.3346484510872693e-06,5.476949943996431,5,110568624.0,CAMK4
Interval_29789,3.5822197222507124e-06,5.4458477793930555,17,34443363.5,CTB-91J4.1
Interval_30868,4.008813661997956e-06,5.396984130191689,17,56595535.5,MTMR4
Interval_39143,4.420225179189698e-06,5.354555605857124,2,95688799.5,nan
Interval_43681,4.7880782268497455e-06,5.319838762774471,20,13228343.0,ISM1
Interval_20859,6.163000284371318e-06,5.210207812230238,13,111956753.5,ARHGEF7
Interval_17266,6.5866282676927754e-06,5.1813368463270235,12,80581126.0,nan
Interval_71728,6.591372213391849e-06,5.18102416315001,8,17554941.5,MTUS1
Interval_60334,6.811948961788755e-06,5.166728614628483,5,132024325.5,AC004237.1
Interval_17264,7.11449887148456e-06,5.147855685181065,12,80572694.5,nan
Interval_53489,7.191031581180065e-06,5.1432088039316906,4,6894153.5,nan
Interval_39152,9.869807858262674e-06,5.005691301931023,2,95740401.5,nan
Interval_55952,9.965679239835456e-06,5.001493095351929,4,123499137.5,nan
Interval_25730,1.2670766579451097e-05,4.89719710957161,15,94850411.5,MCTP2
Interval_21429,1.2937211336993234e-05,4.888159327336171,14,38547838.5,CTD-2058B24.2
Interval_34952,1.4637538621938306e-05,4.8345319460085605,19,18315198.0,AC068499.10
Interval_62938,1.5357389464435375e-05,4.813682601853005,6,30431560.5,nan
Interval_8240,1.616482144495804e-05,4.791429088200443,10,30707784.0,nan
Interval_24785,2.119588374137521e-05,4.673748471240067,15,67358280.5,SMAD3
Interval_63388,2.131878558859756e-05,4.671237538256742,6,36880278.0,C6orf89
Interval_48488,2.177423137178514e-05,4.662057166602,3,27902882.5,AC098973.2
Interval_5478,2.184860770576052e-05,4.660576233062943,1,192127529.5,RGS18
Interval_76298,2.3553468921952947e-05,4.6279451215407414,9,87366978.5,NTRK2
Interval_30617,2.387677197824067e-05,4.622024388045142,17,47841349.5,FAM117A
Interval_27265,2.4536717059234977e-05,4.610183545049759,16,49497620.5,nan
Interval_68339,2.642012960372136e-05,4.5780650562883745,7,36911355.5,ELMO1
Interval_59202,2.8565958166017555e-05,4.544151204152524,5,81972734.5,nan
Interval_68732,2.9560028959364612e-05,4.5292951448074525,7,50861033.5,GRB10
Interval_8384,3.0018213206839705e-05,4.522615162109549,10,33537701.5,NRP1
Interval_62582,3.065787348240709e-05,4.51345797234156,6,20409916.5,E2F3
Interval_26360,3.2773381611561855e-05,4.484478745084772,16,11188481.5,CLEC16A
Interval_7267,3.389717932333858e-05,4.469836439120689,1,248100597.5,RP11-438H8.8
Interval_38447,3.478982256443437e-05,4.458547786241878,2,65283499.5,CEP68
Interval_33404,3.511053726208334e-05,4.454562524901697,18,64911432.5,nan
Interval_68735,3.883341731692863e-05,4.410794390123996,7,50900652.5,nan
Interval_54277,3.9618207853404606e-05,4.4021051738499875,4,48049580.0,nan
Interval_78182,4.145119289701285e-05,4.382462966654467,X,3626060.0,PRKX
Interval_34043,4.239240108065198e-05,4.3727119845512386,19,4065577.5,ZBTB7A
Interval_35597,4.550034196210541e-05,4.34198533934954,19,41257024.5,C19orf54
Interval_77943,4.572145291425889e-05,4.339879977257081,9,139001911.0,RP11-83N9.5
Interval_66611,5.181132283675668e-05,4.285575319247915,6,155272731.0,TIAM2
Interval_77584,5.2785024312729134e-05,4.27748927407348,9,131843366.5,DOLPP1
Interval_39144,5.5467141653699034e-05,4.255964213713925,2,95691468.0,MAL
Interval_15695,5.559501903469772e-05,4.254964116738937,12,25743289.0,RP11-685B13.2
Interval_24257,5.659045493795057e-05,4.247256814701403,15,52263905.5,LEO1
Interval_24397,5.67338018964346e-05,4.246158112128632,15,58750078.0,RP11-355N15.1
Interval_11999,5.71175895849033e-05,4.243230128473897,11,36430628.5,PRR5L
Interval_11829,5.790738499932061e-05,4.237266046636433,11,32017304.5,RCN1
Interval_66290,5.8460060642056514e-05,4.233140738474018,6,144881411.5,UTRN
