gene_name,transcript_length,GC_content,gene_name,highly_variable,highly_variable_rank,means,variances,variances_norm,mt,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,on_ratio,F_pval,K_pval,chi2_pval,pathway
WASH7P,1560.4,54.65999999999999,WASH7P,False,,6.058171745152355,209.8882733148661,0.11038650893391685,False,98,0.5720305,0.45236808,72.85318559556787,206.503,5.335146,0.11931818181818182,0.00011907338043774693,0.0016896515006131715,0.002128551893730954,
MTND2P28,1044.0,43.1,MTND2P28,False,,27.570637119113574,602.6123576485073,0.046248504837477035,False,321,2.5986617,1.280562,11.080332409972304,938.1168,6.8449397,0.7073863636363636,0.02142008537332915,0.023608369177797364,0.9587396719761301,
hsa-mir-6723,1543.0,45.76,hsa-mir-6723,False,,23.429362880886426,638.2679132040629,0.05901022315674239,False,338,2.0166922,1.1041609,6.371191135734067,728.0259,6.591709,0.42613636363636365,0.04314996025244566,0.05232532885056062,0.3534542590494756,
MTATP6P1,681.0,43.91,MTATP6P1,False,,491.8116343490305,101458.60330871031,0.3086249731249595,False,359,6.1715503,1.9701219,0.5540166204986097,2227.9297,7.7092767,1.0,8.537575946037385e-08,2.96011684552727e-08,1.0,
NOC2L,1749.0,59.550000000000004,NOC2L,False,,29.808864265927976,14044.927254539858,0.9889943610912454,False,35,0.37770367,0.3204181,90.30470914127424,136.35103,4.9225397,0.07102272727272728,0.3779565264370788,0.2833118861950542,0.4160318135009554,
ISG15,711.0,64.58,ISG15,False,,425.45429362880884,236143.6430440136,0.8646930944892411,False,255,4.2115903,1.6508851,29.36288088642659,1520.3842,7.327376,0.6477272727272727,1.411325510614828e-09,4.0365990064822315e-08,0.02248677222213193,
RP11-465B22.3,741.3333333333334,64.27,RP11-465B22.3,True,7489.0,25.83656509695291,12649.014881502,1.0441609297380445,False,36,0.45489502,0.37493375,90.02770083102493,164.2171,5.10726,0.07954545454545454,7.958882913440753e-20,1.135798631989193e-17,1.2191326366418517e-14,
TNFRSF18,865.5,67.46,TNFRSF18,True,1860.0,241.53462603878117,200568.40504770697,1.4471742976246258,False,164,2.3317747,1.2035052,54.57063711911358,841.7706,6.736695,0.3778409090909091,8.736329548529898e-07,1.1870065508505121e-08,0.010461700954019194,
TNFRSF4,1056.0,70.39,TNFRSF4,False,,24.40443213296399,10248.219313634965,0.9035280384542802,False,31,0.38488275,0.32561547,91.41274238227147,138.94267,4.9412327,0.07102272727272728,0.17453529075667756,0.1306866198445758,0.20603090838209853,
SDF4,1803.75,61.35000000000001,SDF4,True,4856.0,84.01939058171745,51573.42462296091,1.170905332125173,False,83,0.96338964,0.67467237,77.00831024930747,347.78366,5.8544517,0.18181818181818182,0.20360308115893141,0.08589634151063133,0.5063456539530087,
UBE2J2,1020.5,56.33,UBE2J2,False,,85.73684210526316,45113.99444444445,1.002236371690586,False,78,1.1104244,0.74688905,78.39335180055403,400.8632,5.996112,0.19602272727272727,0.8351154076974248,0.7832192268969627,0.9684382590739224,
CPSF3L,1229.875,60.46000000000003,CPSF3L,True,2198.0,49.850415512465375,34939.69422899354,1.3998278932715749,False,48,0.54896945,0.43758982,86.70360110803324,198.17798,5.294199,0.10227272727272728,0.1465482051235795,0.21066057207952282,0.34461820841842805,
AURKAIP1,849.1666666666666,66.87,AURKAIP1,False,,157.4349030470914,61078.94088950446,0.709165593348526,False,150,2.1696153,1.1536102,58.448753462603875,783.23114,6.664704,0.36363636363636365,0.0216705460314738,0.021496422231496694,0.08295326287582444,
