PeakID,PeakID,chr,end,in_ensg,in_gene,itype,mid,start,quality_p,clonal_p,replicate_foldchange,max_height,good_peak
Interval_13433,Interval_13433,11,82997741,ENSG00000137500,CCDC90B,promoter-TSS,82997180.5,82996620,0.010913268236645624,0.010109132682365907,1.248479252066415,301.37402,True
Interval_27763,Interval_27763,16,68564473,ENSG00000184939,ZFP90,promoter-TSS,68564084.5,68563696,0.10776152980877385,0.024385690616759215,1.3757726532474224,55.443855,True
Interval_4280,Interval_4280,1,153644524,ENSG00000143621,ILF2,promoter-TSS,153643788.5,153643053,0.016621302848847774,0.0007984031936126845,1.3144708144175328,189.03622,True
Interval_72287,Interval_72287,8,38035060,ENSG00000175324,LSM1,promoter-TSS,38034258.0,38033456,0.38588277989475595,0.042714570858282896,1.0994158734089825,226.68549,True
Interval_38287,Interval_38287,2,61293623,ENSG00000162929,KIAA1841,promoter-TSS,61293026.5,61292430,0.0018145527127563232,0.019960079840319556,1.4460579098851634,152.42264,True
Interval_49328,Interval_49328,3,50273847,ENSG00000114353,GNAI2,promoter-TSS,50273529.0,50273211,0.4370168753402286,0.021157684630737972,1.124738285045454,269.87604,True
Interval_53006,Interval_53006,3,195342103,ENSG00000224769,AC069213.1,promoter-TSS,195341775.0,195341447,0.03104977821586985,0.0027106949236080924,4.3020144008376064,16.17339,True
Interval_15823,Interval_15823,12,29471150,ENSG00000257176,RP11-996F15.2,promoter-TSS,29470792.5,29470435,0.5759280089988752,0.002853860123790408,2.3084165171105444,33.06678,True
Interval_42401,Interval_42401,2,217215469,ENSG00000207303,Y_RNA-424,promoter-TSS,217215274.5,217215080,0.33449235048678716,0.01721140472878957,1.9824050788834033,16.28562,True
Interval_79135,Interval_79135,X,53450047,ENSG00000158423,RIBC1-1,promoter-TSS,53449488.5,53448930,0.3719701321079839,0.16806433084434236,1.0758643755011066,260.4732,True
Interval_36547,Interval_36547,19,56652642,ENSG00000167685,ZNF444,promoter-TSS,56652213.0,56651784,0.06768281618581018,0.003992015968063423,1.2257585483356297,224.89668,True
Interval_70543,Interval_70543,7,130419559,ENSG00000174595,KLF14,promoter-TSS,130418979.5,130418400,0.4108930529951229,0.002038471516993323,1.8808147219375217,22.489662,True
Interval_58925,Interval_58925,5,74349984,ENSG00000250889,RP11-229C3.2,promoter-TSS,74349149.0,74348314,0.05299985542865404,0.0002566914801763742,1.3486717075631511,123.74446,True
Interval_63840,Interval_63840,6,45983693,ENSG00000112782,CLIC5,promoter-TSS,45983251.0,45982809,0.30317772778402696,0.03799033906610949,1.2276789226271079,63.318573,True
Interval_51334,Interval_51334,3,134205812,ENSG00000182923,CEP63,promoter-TSS,134204954.5,134204097,0.39760479041916164,0.11297405189620768,1.097159755473416,250.60577,True
Interval_4337,Interval_4337,1,154582302,ENSG00000160710,ADAR,promoter-TSS,154581973.5,154581645,0.15737521293725065,0.04303465445573207,1.6661370812739549,28.089745,True
Interval_34847,Interval_34847,19,17187700,ENSG00000131351,HAUS8,promoter-TSS,17186695.5,17185691,0.7308655416439848,0.0455089820359279,1.124241765124003,260.33835,True
Interval_22369,Interval_22369,14,73603868,ENSG00000080815,PSEN1,promoter-TSS,73603361.0,73602854,0.0453375740928148,0.30119994217146173,1.345903769340555,113.86996,True
Interval_4054,Interval_4054,1,147807586,ENSG00000202408,RNU1-122P,promoter-TSS,147806941.5,147806297,0.10738759577851675,0.000618672665916864,1.4317823937950278,80.1307,True
Interval_65726,Interval_65726,6,130537152,ENSG00000164483,SAMD3,promoter-TSS,130536677.5,130536203,0.07381812924678333,0.099606299212598,1.3045661992389592,95.176895,True
Interval_26024,Interval_26024,16,1756769,ENSG00000138834,MAPK8IP3,promoter-TSS,1756095.0,1755421,0.11675581899667486,0.012722278444412205,1.2940764066568022,157.80228,True
Interval_19287,Interval_19287,13,35517392,ENSG00000172915,NBEA,promoter-TSS,35516729.0,35516066,0.08795183534408324,0.013046217708758245,1.553337505860446,57.548817,True
Interval_4855,Interval_4855,1,167523499,ENSG00000143162,CREG1,promoter-TSS,167522951.0,167522403,0.3658233338152378,0.09541708833309215,1.206958641316965,130.01393,True
Interval_61727,Interval_61727,5,176740082,ENSG00000213347,MXD3,promoter-TSS,176739344.0,176738606,0.23995952002313137,0.014630620211073975,1.229967050705788,132.84824,True
Interval_65945,Interval_65945,6,136173388,ENSG00000171408,PDE7B,promoter-TSS,136172821.5,136172255,0.27497187851518556,0.0009561891515998955,2.5298142611203986,39.534954,True
Interval_40762,Interval_40762,2,160472949,ENSG00000123636,BAZ2B,promoter-TSS,160472275.5,160471602,0.05971577252467741,0.017605085913708685,1.6263192027486977,42.05491,True
Interval_16663,Interval_16663,12,56710456,ENSG00000257727,CNPY2,promoter-TSS,56709883.0,56709310,0.18377789874795858,0.2327345309381238,1.1583615058942838,193.60896,True
